Right	Right	av-jn	Right	right	0
Honourable	Honourable	j	Honourable	honourable	0
,	,	,	,	,	0
THAT	THAT	cst	THAT	that	0
pious	pious	j	pious	pious	0
and	and	cc	and	and	0
devout	devout	j	devout	devout	0
Priest	Priest	n1	Priest	priest	0
old	old	j	old	old	0
Zachary	Zachary	np1	Zachary	Zachary	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
walked	walked	vvd	walked	walk	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
the	the	dt	the	the	0
Commandments	Commandments	n2	Commandments	commandment	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
blameless	blameless	j	blameless	blameless	0
,	,	,	,	,	0
being	being	vbg	being	be	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
Father	Father	n1	Father	father	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Voice	Voice	n1	Voice	voice	0
John	John	np1	John	John	0
the	the	dt	the	the	0
Baptist	Baptist	n1	Baptist	baptist	0
,	,	,	,	,	0
was	was	vbds	was	be	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
infidelity	infidelity	n1	infidelity	infidelity	0
for	for	p-acp	for	for	0
seven	seven	crd	seven	seven	0
moneths	moneths	n2	months	month	0
at	at	p-acp	at	at	0
least	least	ds	least	least	0
struck	struck	j-vvn	struck	strike	0
dumb	dumb	j	dumb	dumb	0
;	;	;	;	;	0
neither	neither	dx	neither	neither	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
benefit	benefit	n1	benefit	benefit	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
tongue	tongue	n1	tongue	tongue	0
restored	restored	vvn	restored	restore	0
,	,	,	,	,	0
till	till	c-acp	till	till	0
he	he	pns31	he	he	0
made	made	vvd	made	make	0
signs	signs	n2	signs	sign	0
for	for	p-acp	for	for	0
writing	writing	vvg	writing	write	0
Tables	Tables	n2	Tables	table	0
,	,	,	,	,	0
and	and	cc	and	and	0
wrote	wrote	vvd	wrote	write	0
in	in	p-acp	in	in	0
them	them	pno32	them	they	0
,	,	,	,	,	0
that	that	cst	that	that	0
Word	Word	n1	Word	word	0
of	of	pp-f	of	of	0
Grace	Grace	n1	Grace	grace	0
,	,	,	,	,	0
His	His	po31	His	his	0
Name	Name	n1	Name	name	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
called	called	vvn	called	call	0
John	John	np1	John	John	0
,	,	,	,	,	0
a	a	dt	a	a	0
man	man	n1	man	man	0
who	who	r-crq	who	who	0
was	was	vbds	was	be	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
voice	voice	n1	voice	voice	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Cryer	Cryer	n1	Crier	crier	0
,	,	,	,	,	0
and	and	cc	and	and	0
first	first	ord	first	first	0
to	to	pc-acp	to	to	0
proclaim	proclaim	vvi	proclaim	proclaim	0
the	the	dt	the	the	0
glad	glad	j	glad	glad	0
tydings	tydings	n2	tidings	tiding	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Gospel	Gospel	n1	Gospel	gospel	0
.	.	.	.	.	1
Some	Some	d	Some	some	0
such	such	d	such	such	0
thing	thing	n1	thing	thing	0
hath	hath	vhz	hath	have	0
been	been	vbn	been	be	0
imposed	imposed	vvn	imposed	impose	0
upon	upon	p-acp	upon	upon	0
me	me	pno11	me	i	0
for	for	p-acp	for	for	0
more	more	dc	more	more	0
than	than	cs	than	than	0
these	these	d	these	these	0
seven	seven	crd	seven	seven	0
