VVHen	VVHen	q-crq	When	when	0
the	the	dt	the	the	0
Princes	Princes	n2	Princes	prince	0
and	and	cc	and	and	0
people	people	n1	people	people	0
of	of	pp-f	of	of	0
Judah	Judah	np1	Judah	Judah	0
,	,	,	,	,	0
hur	hur	po31	hur	her	0
∣	∣	sy	∣	∣	0
ried	ried	zz	ried	ried	0
with	with	p-acp	with	with	0
their	their	po32	their	their	0
sinnes	sinnes	n2	sins	sin	0
,	,	,	,	,	0
and	and	cc	and	and	0
driven	driven	vvn	driven	drive	0
on	on	a-acp	on	on	0
by	by	p-acp	by	by	0
their	their	po32	their	their	0
false	false	j	false	false	0
Prophets	Prophets	n2	Prophets	prophet	0
,	,	,	,	,	0
were	were	vbdr	were	be	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
ready	ready	j	ready	ready	0
way	way	n1	way	way	0
to	to	pc-acp	to	to	0
utter	utter	vvi	utter	utter	0
ruine	ruine	n1	ruin	ruin	0
,	,	,	,	,	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
called	called	vvn	called	call	0
unto	unto	p-acp	unto	unto	0
them	them	pno32	them	they	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
Prophet	Prophet	n1	Prophet	prophet	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
a	a	dt	a	a	0
stand	stand	n1	stand	stand	0
,	,	,	,	,	0
and	and	cc	and	and	0
looke	looke	vvi	look	look	0
about	about	p-acp	about	about	0
them	them	pno32	them	they	0
,	,	,	,	,	0
advising	advising	vvg	advising	advise	0
them	them	pno32	them	they	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
safety	safety	n1	safety	safety	0
and	and	cc	and	and	0
quiet	quiet	j-jn	quiet	quiet	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
midst	midst	n1	midst	midst	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
distempers	distempers	n2	distempers	distemper	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
aske	aske	vvi	ask	ask	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
old	old	j	old	old	0
paths	paths	n2	paths	path	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
the	the	dt	the	the	0
good	good	j	good	good	0
way	way	n1	way	way	0
was	was	vbds	was	be	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
walke	walke	vvi	walk	walk	0
therein	therein	av	therein	therein	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
they	they	pns32	they	they	0
should	should	vmd	should	shall	0
finde	finde	vvi	find	find	0
rest	rest	n1	rest	rest	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
soules	soules	n2	souls	soul	0
,	,	,	,	,	0
Ierem.	Ierem.	np1	Ierem.	Ierem.	1
6.	6.	crd	6.	6.	1
To	To	p-acp	To	to	0
tell	tell	vvi	tell	tell	0
you	you	pn22	you	you	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Princes	Princes	n2	Princes	prince	0
and	and	cc	and	and	0
People	People	n1	People	people	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Nation	Nation	n1	Nation	nation	0
,	,	,	,	,	0
too	too	av	too	too	0
many	many	d	many	many	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
at	at	p-acp	at	at	0
least	least	ds	least	least	0
,	,	,	,	,	0
are	are	vbr	are	be	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
like	like	j	like	like	0
dange	dange	n1	dange	dange	0
∣	∣	sy	∣	∣	0
rous	rous	fw-la	rous	rous	0
condition	condition	n1	condition	condition	0
,	,	,	,	,	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
like	like	j	like	like	0
cause	cause	n1	cause	cause	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
like	like	j	like	like	0
instru	instru	fw-fr	instru	instru	0
∣	∣	sy	∣	∣	0
ments	ments	n2	ments	ment	0
,	,	,	,	,	0
were	were	vbdr	were	be	0
to	to	pc-acp	to	to	0
tell	tell	vvi	tell	tell	0
you	you	pn22	you	you	0
,	,	,	,	,	0
not	not	xx	not	not	0
what	what	r-crq	what	what	0
you	you	pn22	you	you	0
dream	dream	vvb	dream	dream	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
what	what	q-crq	what	what	0
this	this	d	this	this	0
whole	whole	j-jn	whole	whole	0
Nation	Nation	n1	Nation	nation	0
feels	feels	vvz	feels	feel	0
and	and	cc	and	and	0
groanes	groanes	vvz	groans	groan	0
under	under	p-acp	under	under	0
;	;	;	;	;	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
to	to	pc-acp	to	to	0
call	call	vvi	call	call	0
upon	upon	p-acp	upon	upon	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
use	use	vvi	use	use	0
the	the	dt	the	the	0
like	like	j	like	like	0
meanes	meanes	n2	means	mean	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
deliverance	deliverance	n1	deliverance	deliverance	0
and	and	cc	and	and	0
presevation	presevation	n1	presevation	presevation	0
,	,	,	,	,	0
cannot	cannot	vmbx	cannot	can	0
but	but	p-acp	but	but	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
likely	likely	j	likely	likely	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
doing	doing	vdg	doing	do	0
you	you	pn22	you	you	0
much	much	d	much	much	0
good	good	j	good	good	0
,	,	,	,	,	0
if	if	cs	if	if	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
but	but	p-acp	but	but	0
so	so	av	so	so	0
much	much	d	much	much	0
grace	grace	n1	grace	grace	0
as	as	c-acp	as	as	0
to	to	pc-acp	to	to	0
hearken	hearken	vvi	harken	hearken	0
thereunto	thereunto	av	thereunto	thereunto	0
.	.	.	.	.	1
But	But	cc-acp	But	but	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
Judah's	Judah's	npg1	Judah's	judah	0
grand	grand	j	grand	grand	0
error	error	n1	error	error	0
,	,	,	,	,	0
if	if	cs	if	if	0
not	not	xx	not	not	0
the	the	dt	the	the	0
complement	complement	n1	compliment	compliment	0
of	of	pp-f	of	of	0
her	her	po31	her	her	0
iniquity	iniquity	n1	iniquity	iniquity	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
refuse	refuse	vvi	refuse	refuse	0
to	to	pc-acp	to	to	0
walke	walke	vvi	walk	walk	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
an	an	zz	an	an	0
∣	∣	sy	∣	∣	0
cient	cient	n1	cient	cient	0
paths	paths	n2	paths	path	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
way	way	n1	way	way	0
whereunto	whereunto	c-crq	whereunto	whereunto	0
the	the	dt	the	the	0
Prophets	Prophets	n2	Prophets	prophet	0
invited	invited	vvd	invited	invite	0
them	them	pno32	them	they	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
chuse	chuse	vvi	choose	choose	0
rather	rather	av-c	rather	rather	0
to	to	pc-acp	to	to	0
walke	walke	vvi	walk	walk	0
in	in	p-acp	in	in	0
[	[	[	[	[	0
new	new	j	new	new	0
]	]	]	]	]	0
paths	paths	n2	paths	path	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
way	way	n1	way	way	0
not	not	xx	not	not	0
cast	cast	vvn	cast	cast	0
up	up	a-acp	up	up	0
