BEloved	BEloved	j-vvn	BEloved	belove	0
,	,	,	,	,	0
What	What	q-crq	What	what	0
is	is	vbz	is	be	0
here	here	av	here	here	0
presented	presented	vvn	presented	present	0
to	to	p-acp	to	to	0
Publick	Publick	j	Public	public	0
view	view	n1	view	view	0
is	is	vbz	is	be	0
yours	yours	png22	yours	you	0
:	:	:	:	:	0
for	for	p-acp	for	for	0
looking	looking	vvg	looking	look	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
poor-Penman	poor-Penman	n1	poor-Penman	poor-penman	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
Relating	Relating	vvg	Relating	relate	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
:	:	:	:	:	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
external	external	j	external	external	0
moving	moving	j-vvg	moving	move	0
Cause	Cause	n1	Cause	cause	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
arising	arising	vvg	arising	arise	0
firstly	firstly	av-j	firstly	first	0
&	&	cc	&	and	0
freely	freely	av-j	freely	free	0
from	from	p-acp	from	from	0
you	you	pn22	you	you	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
End	End	vvb	End	end	0
&	&	cc	&	and	0
use	use	vvi	use	use	0
as	as	p-acp	as	as	0
centering	centering	vvg	centering	center	0
in	in	p-acp	in	in	0
you	you	pn22	you	you	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
reason	reason	n1	reason	reason	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Publishing	Publishing	vvg	Publishing	publish	0
therof	therof	av	thereof	thereof	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
resting	resting	vvg	resting	rest	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
care	care	n1	care	care	0
&	&	cc	&	and	0
costs	costs	n2	costs	cost	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
to	to	p-acp	to	to	0
that	that	d	that	that	0
end	end	n1	end	end	0
expended	expended	vvd	expended	expend	0
by	by	p-acp	by	by	0
you	you	pn22	you	you	0
:	:	:	:	:	0
It	It	pn31	It	it	0
must	must	vmb	must	must	0
not	not	xx	not	not	0
otherwise	otherwise	av	otherwise	otherwise	0
be	be	vbi	be	be	0
determined	determined	vvn	determined	determine	0
but	but	p-acp	but	but	0
YOƲRS	YOƲRS	n2	YOƲRS	yoʋr	0
.	.	.	.	.	1
Which	Which	r-crq	Which	which	0
being	being	vbg	being	be	0
so	so	av	so	so	0
,	,	,	,	,	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
saved	saved	vvn	saved	save	0
me	me	pno11	me	i	0
the	the	dt	the	the	0
labour	labour	n1	labour	labour	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
prefacing	prefacing	vvg	prefacing	preface	0
on	on	p-acp	on	on	0
behalfe	behalfe	n1	behalf	behalf	0
