My	My	po11	My	my	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
PVrchas	PVrchas	n1	PVrchas	pvrchas	0
,	,	,	,	,	0
a	a	dt	a	a	0
Writer	Writer	n1	Writer	writer	0
of	of	pp-f	of	of	0
good	good	j	good	good	0
credit	credit	n1	credit	credit	0
here	here	av	here	here	0
in	in	p-acp	in	in	0
England	England	np1	England	England	0
,	,	,	,	,	0
gives	gives	vvz	gives	give	0
this	this	d	this	this	0
testimony	testimony	n1	testimony	testimony	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Au	Au	fw-fr	Au	au	0
∣	∣	sy	∣	∣	0
thor	thor	n1	thor	thor	0
,	,	,	,	,	0
that	that	cst	that	that	0
no	no	dx	no	no	0
man	man	n1	man	man	0
before	before	p-acp	before	before	0
him	him	pno31	him	he	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
knowledg	knowledg	n1	knowledge	knowledge	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
spoken	spoken	vvn	spoken	speak	0
so	so	av	so	so	0
much	much	av-d	much	much	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
truly	truly	av-j	truly	true	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
Oriental	Oriental	jp	Oriental	oriental	0
parts	parts	n2	parts	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
World	World	n1	World	world	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
so	so	av	so	so	0
little	little	av-j	little	little	0
known	known	vvn	known	know	0
to	to	p-acp	to	to	0
us	us	pno12	us	we	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
done	done	vdn	done	do	0
:	:	:	:	:	0
And	And	cc	And	and	0
that	that	cst	that	that	0
too	too	av	too	too	0
,	,	,	,	,	0
not	not	xx	not	not	0
upon	upon	p-acp	upon	upon	0
hearsay	hearsay	n1	hearsay	hearsay	0
,	,	,	,	,	0
and	and	cc	and	and	0
report	report	n1	report	report	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
part	part	n1	part	part	0
as	as	p-acp	as	as	0
an	an	dt	and	a	0
ocular	ocular	j	ocular	ocular	0
Witness	Witness	n1	Witness	witness	0
,	,	,	,	,	0
and	and	cc	and	and	0
personal	personal	j	personal	personal	0
Actor	Actor	n1	Actor	actor	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
,	,	,	,	,	0
all	all	d	all	all	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
related	related	vvn	related	relate	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
so	so	av	so	so	0
full	full	j	full	full	0
of	of	pp-f	of	of	0
Variety	Variety	n1	Variety	variety	0
,	,	,	,	,	0
and	and	cc	and	and	0
strange	strange	j	strange	strange	0
Occurrences	Occurrences	n2	Occurrences	occurrence	0
,	,	,	,	,	0
that	that	cst	that	that	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
another	another	j-jn	another	another	0
Writer	Writer	n1	Writer	writer	0
af	af	pp-f	of	of	0
∣	∣	sy	∣	∣	0
firms	firms	vvz	firms	firm	0
,	,	,	,	,	0
the	the	dt	the	the	0
like	like	j	like	like	0
will	will	n1	will	will	0
hardly	hardly	av	hardly	hardly	0
be	be	vbi	be	be	0
met	met	vvn	met	meet	0
withall	withall	av	withal	withal	0
elsewhere	elsewhere	av	elsewhere	elsewhere	0
:	:	:	:	:	0
So	So	av	So	so	0
that	that	cst	that	that	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
curious	curious	j	curious	curious	0
Wits	Wits	n2	Wits	wit	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
delight	delight	n1	delight	delight	0
in	in	p-acp	in	in	0
reading	reading	vvg	reading	read	0
of	of	pp-f	of	of	0
rare	rare	j	rare	rare	0
Books	Books	n2	Books	book	0
,	,	,	,	,	0
will	will	n1	will	will	0
,	,	,	,	,	0
I	I	pns11	I	i	0
beleeve	beleeve	vvb	believe	believe	0
,	,	,	,	,	0
find	find	vvb	find	find	0
all	all	d	all	all	0
the	the	dt	the	the	0
satisfaction	satisfaction	n1	satisfaction	satisfaction	0
they	they	pns32	they	they	0
can	can	vmb	can	can	0
desire	desire	vvi	desire	desire	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
same	same	d	same	same	0
of	of	pp-f	of	of	0
his	his	png31	his	he	0
;	;	;	;	;	0
where	where	c-crq	where	where	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
so	so	av	so	so	0
much	much	av-d	much	much	0
as	as	c-acp	as	as	0
stirring	stirring	vvg	stirring	stir	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
Studies	Studies	n2	Studies	study	0
,	,	,	,	,	0
or	or	cc	or	or	0
running	running	vvg	running	run	0
the	the	dt	the	the	0
danger	danger	n1	danger	danger	0
of	of	pp-f	of	of	0
Shipwrack	Shipwrack	n1	Shipwreck	shipwreck	0
,	,	,	,	,	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
traverse	traverse	vvi	traverse	traverse	0
the	the	dt	the	the	0
Seas	Seas	n2	Seas	sea	0
,	,	,	,	,	0
view	view	vvb	view	view	0
the	the	dt	the	the	0
good	good	j	good	good	0
∣	∣	sy	∣	∣	0
liest	liest	vv2	liest	lie	0
Provinces	Provinces	n2	Provinces	province	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
World	World	n1	World	world	0
,	,	,	,	,	0
entertain	entertain	vvi	entertain	entertain	0
themselves	themselves	px32	themselves	themselves	0
with	with	p-acp	with	with	0
stupendious	stupendious	j	stupendious	stupendous	0
and	and	cc	and	and	0
unheardof	unheardof	j	unheardof	unheardof	0
things	things	n2	things	thing	0
,	,	,	,	,	0
consider	consider	vvb	consider	consider	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
man	man	n1	man	man	0
∣	∣	sy	∣	∣	0
ner	ner	zz	ner	ner	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
peoples	peoples	ng1	peoples	people	0
living	living	vvg	living	live	0
,	,	,	,	,	0
whom	whom	ro-crq	whom	who	0
we	we	pns12	we	we	0
term	term	vvi	term	term	0
Barbarians	Barbarians	n2-jn	Barbarians	barbarian	0
,	,	,	,	,	0
their	their	po32	their	their	0
Laws	Laws	n2	Laws	law	0
,	,	,	,	,	0
their	their	po32	their	their	0
Riches	Riches	n2	Riches	riches	0
,	,	,	,	,	0
their	their	po32	their	their	0
Government	Government	n1	Government	government	0
in	in	p-acp	in	in	0
time	time	n1	time	time	0
of	of	pp-f	of	of	0
Peace	Peace	n1	Peace	peace	0
and	and	cc	and	and	0
War	War	n1	War	war	0
;	;	;	;	;	0
and	and	cc	and	and	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
word	word	n1	word	word	0
,	,	,	,	,	0
represent	represent	vvi	represent	represent	0
unto	unto	p-acp	unto	unto	0
them	them	pno32	them	they	0
∣	∣	sy	∣	∣	0
selves	selves	n2	selves	self	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
picture	picture	n1	picture	picture	0
,	,	,	,	,	0
all	all	d	all	all	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
most	most	av-ds	most	most	0
exquisite	exquisite	j	exquisite	exquisite	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
greatest	greatest	js	greatest	great	0
marvel	marvel	n1	marvel	marvel	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
extent	extent	n1	extent	extent	0
of	of	pp-f	of	of	0
Europe	Europe	np1	Europe	Europe	0
,	,	,	,	,	0
Affrica	Affrica	np1	Affrica	Africa	0
,	,	,	,	,	0
and	and	cc	and	and	0
Asia	Asia	np1	Asia	Asia	0
.	.	.	.	.	1
These	These	np1	These	Theise	0
,	,	,	,	,	0
together	together	av	together	together	0
with	with	p-acp	with	with	0
many	many	d	many	many	0
other	other	j-jn	other	other	0
remarkable	remarkable	j	remarkable	remarkable	0
matters	matters	n2	matters	matter	0
,	,	,	,	,	0
are	are	vbr	are	be	0
contained	contained	vvn	contained	contain	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
Work	Work	n1	Work	work	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
taken	taken	vvn	taken	take	0
the	the	dt	the	the	0
presumption	presumption	n1	presumption	presumption	0
to	to	pc-acp	to	to	0
present	present	vvi	present	present	0
unto	unto	p-acp	unto	unto	0
your	your	po22	your	your	0
Honor	Honor	n1	Honour	honour	0
,	,	,	,	,	0
being	being	vbg	being	be	0
invited	invited	vvn	invited	invite	0
thereunto	thereunto	av	thereunto	thereunto	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
example	example	n1	example	example	0
of	of	pp-f	of	of	0
two	two	crd	two	two	0
Translators	Translators	n2	Translators	translator	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
Spanish	Spanish	jp	Spanish	spanish	0
and	and	cc	and	and	0
French	French	jp	French	french	0
Tongues	Tongues	n2	Tongues	tongue	0
,	,	,	,	,	0
whereof	whereof	c-crq	whereof	whereof	0
the	the	dt	the	the	0
one	one	pi	one	one	0
dedicated	dedicated	vvn	dedicated	dedicate	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Archbishop	Archbishop	n1	Archbishop	archbishop	0
of	of	pp-f	of	of	0
Toledo	Toledo	np1	Toledo	Toledo	0
in	in	p-acp	in	in	0
Spain	Spain	np1	Spain	Spain	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Cardinal	Cardinal	n1	Cardinal	cardinal	0
Richelieu	Richelieu	np1	Richelieu	Richelieu	0
of	of	pp-f	of	of	0
France	France	np1	France	France	0
,	,	,	,	,	0
both	both	d	both	both	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
,	,	,	,	,	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
eminent	eminent	j	eminent	eminent	0
persons	persons	n2	persons	person	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
time	time	n1	time	time	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
those	those	d	those	those	0
Kingdoms	Kingdoms	n2	Kingdoms	kingdom	0
:	:	:	:	:	0
And	And	cc	And	and	0
with	with	p-acp	with	with	0
whom	whom	ro-crq	whom	who	0
your	your	po22	your	your	0
Honor	Honor	n1	Honour	honour	0
may	may	vmb	may	may	0
justly	justly	av-j	justly	just	0
be	be	vbi	be	be	0
ranked	ranked	vvn	ranked	rank	0
,	,	,	,	,	0
especially	especially	av-j	especially	especial	0
in	in	p-acp	in	in	0
respect	respect	n1	respect	respect	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Nobility	Nobility	n1	Nobility	nobility	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Birth	Birth	n1	Birth	birth	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
as	as	c-acp	as	as	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
great	great	j	great	great	0
Hope	Hope	n1	Hope	hope	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
your	your	po22	your	your	0
many	many	d	many	many	0
present	present	j	present	present	0
Vertues	Vertues	n2	Virtues	virtue	0
,	,	,	,	,	0
and	and	cc	and	and	0
Abilities	Abilities	n2	Abilities	ability	0
,	,	,	,	,	0
do	do	vdb	do	do	0
give	give	vvi	give	give	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
World	World	n1	World	world	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
future	future	j-jn	future	future	0
Worth	Worth	n1	Worth	worth	0
,	,	,	,	,	0
and	and	cc	and	and	0
Estimation	Estimation	n1	Estimation	estimation	0
.	.	.	.	.	1
Be	Be	vbb	Be	be	0
pleased	pleased	vvn	pleased	please	0
then	then	av	then	then	0
,	,	,	,	,	0
my	my	po11	my	my	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
receive	receive	vvi	receive	receive	0
it	it	pn31	it	it	0
favorably	favorably	av-j	favorably	favorable	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
tender	tender	j	tender	tender	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
great	great	j	great	great	0
desire	desire	n1	desire	desire	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
to	to	pc-acp	to	to	0
appear	appear	vvi	appear	appear	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
occasions	occasions	n2	occasions	occasion	0
,	,	,	,	,	1
