DEar	DEar	av-jn	DEar	dear	0
friends	friends	n2	friends	friend	0
,	,	,	,	,	0
and	and	cc	and	and	0
fellow	fellow	n1	fellow	fellow	0
brethren	brethren	n2	brothers	brethren	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
and	and	cc	and	and	0
patience	patience	n1	patience	patience	0
of	of	pp-f	of	of	0
Jesus	Jesus	np1	Jesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
:	:	:	:	:	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
,	,	,	,	,	0
and	and	cc	and	and	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
object	object	n1	object	object	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
worlds	worlds	n2	world's	world	0
ha	ha	vhb	would	have	0
∣	∣	sy	∣	∣	0
tred	tred	vvi	tread	tread	0
and	and	cc	and	and	0
reproach	reproach	n1	reproach	reproach	0
;	;	;	;	;	0
not	not	xx	not	not	0
simply	simply	av-j	simply	simple	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
men	men	n2	men	man	0
and	and	cc	and	and	0
women	women	n2	women	woman	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
cause	cause	vvi	cause	cause	0
the	the	dt	the	the	0
light	light	n1	light	light	0
&	&	cc	&	and	0
beauty	beauty	n1	beauty	beauty	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Father	Father	n1	Father	father	0
shines	shines	vvz	shines	shine	0
forth	forth	av	forth	forth	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
cannot	cannot	vmbx	cannot	can	0
behold	behold	vvi	behold	behold	0
:	:	:	:	:	0
therefore	therefore	av	therefore	therefore	0
they	they	pns32	they	they	0
brand	brand	vvb	brand	brand	0
you	you	pn22	you	you	0
for	for	p-acp	for	for	0
wicked	wicked	j	wicked	wicked	0
ones	ones	pi2	ones	one	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
principles	principles	n2	principles	principle	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
errour	errour	n1	error	error	0
.	.	.	.	.	1
1	1	crd	1	1	0
.	.	.	.	.	1
Kin	Kin	n1	Kin	kin	0
18.	18.	crd	18.	18.	1
And	And	cc	And	and	0
under	under	p-acp	under	under	0
that	that	d	that	that	0
name	name	n1	name	name	0
of	of	pp-f	of	of	0
deceivers	deceivers	n2	deceivers	deceiver	0
&	&	cc	&	and	0
trou	trou	fw-fr	trou	trou	0
∣	∣	sy	∣	∣	0
blers	blers	ng1	blers	blers	0
(	(	(	(	(	0
though	though	cs	though	though	0
indeed	indeed	av	indeed	indeed	0
they	they	pns32	they	they	0
themselves	themselves	px32	themselves	themselves	0
are	are	vbr	are	be	0
the	the	av	the	then	0
only	only	j	only	only	0
deceivers	deceivers	n2	deceivers	deceiver	0
&	&	cc	&	and	0
troublers	troublers	n2	troublers	troubler	0
)	)	)	)	)	0
they	they	pns32	they	they	0
threaten	threaten	vvb	threaten	threaten	0
your	your	po22	your	your	0
ruine	ruine	n1	ruin	ruin	0
&	&	cc	&	and	0
death	death	n1	death	death	0
:	:	:	:	:	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
signes	signes	n2	signs	sign	0
and	and	cc	and	and	0
wonders	wonders	n2	wonders	wonder	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
;	;	;	;	;	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
object	object	n1	object	object	0
of	of	pp-f	of	of	0
every	every	d	every	every	0
ones	ones	pig	ones	one	0
laugh	laugh	n1	laugh	laugh	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
and	and	cc	and	and	0
reproach	reproach	n1	reproach	reproach	0
;	;	;	;	;	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
men	men	n2	men	man	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
would	would	vmd	would	will	0
