HE	HE	pns31	HE	he	0
GIVETH	GIVETH	vvz	GIVES	give	0
twise	twise	av	twice	twice	0
that	that	cst	that	that	0
gyueth	gyueth	vvz	gyveth	give	0
quyckly	quyckly	av-j	quickly	quick	0
(	(	(	(	(	0
sayth	sayth	vvz	say	say	0
Se	Se	fw-la	Se	se	0
∣	∣	sy	∣	∣	0
nek	nek	n1	nek	nek	0
.	.	.	.	.	0
)	)	)	)	)	1
Bis	Bis	np1	Bis	Bis	0
dat	dat	cst	that	that	0
qui	qui	fw-la	qui	qui	0
cito	cito	fw-la	cito	cito	0
dat	dat	d	that	that	0
.	.	.	.	.	1
The	The	dt	The	the	0
griefe	griefe	n1	grief	grief	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
lordshyps	lordshyps	n2	lordships	lordship	0
dis	dis	fw-fr	dis	dis	0
∣	∣	sy	∣	∣	0
ease	ease	n1	ease	ease	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
desyre	desyre	n1	desire	desire	0
that	that	cst	that	that	0
ye	ye	pn22	you	you	0
mought	mought	vmd	might	may	0
lyue	lyue	vvi	live	live	0
longe	longe	av-j	long	long	0
with	with	p-acp	with	with	0
out	out	av	out	out	0
syckenes	syckenes	n1	sickness	sickness	0
,	,	,	,	,	0
caused	caused	vvd	caused	cause	0
suche	suche	d	such	such	0
spede	spede	n1	speed	speed	0
in	in	p-acp	in	in	0
buyldynge	buyldynge	n1	building	building	0
the	the	dt	the	the	0
Ca	Ca	zz	Ca	ca	0
∣	∣	sy	∣	∣	0
stell	stell	n1	stell	stell	0
of	of	pp-f	of	of	0
helthe	helthe	n1	health	health	0
,	,	,	,	,	0
that	that	cst	that	that	0
therein	therein	av	therein	therein	0
lacked	lacked	vvd	lacked	lack	0
som	som	d	some	some	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
perfectiō	perfectiō	n1	perfection	perfection	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
yet	yet	av	yet	yet	0
the	the	dt	the	the	0
prompt	prompt	j	prompt	prompt	0
∣	∣	sy	∣	∣	0
nes	nes	zz	nes	nes	0
in	in	p-acp	in	in	0
gyuyng	gyuyng	vvg	gyving	give	0
that	that	d	that	that	0
thynge	thynge	n1	thing	thing	0
,	,	,	,	,	0
whyche	whyche	r-crq	which	which	0
I	I	pns11	I	i	0
thoughte	thoughte	vvd	thought	think	0
necessary	necessary	j	necessary	necessary	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
declare	declare	vvi	declare	declare	0
myn	myn	po11	mine	my	0
affection	affection	n1	affection	affection	0
,	,	,	,	,	0
I	I	pns11	I	i	0
doubt	doubt	vvb	doubt	doubt	0
not	not	xx	not	not	0
,	,	,	,	,	0
was	was	vbds	was	be	0
no	no	dx	no	no	0
lasse	lasse	n1	lass	lass	0
estemed	estemed	vvn	esteemed	esteem	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
good	good	j	good	good	0
lordshyp	lordshyp	n1	lordship	lordship	0
,	,	,	,	,	0
thā	thā	cs	than	than	0
afore	afore	a-acp	afore	afore	0
is	is	vbz	is	be	0
rehersed	rehersed	vvd	rehearsed	rehearse	0
.	.	.	.	.	1
Not	Not	xx	Not	not	0
withstandynge	withstandynge	vvg	withstanding	withstand	0
,	,	,	,	,	0
whan	whan	c-crq	when	when	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
eftesones	eftesones	av	eftsoons	eftsoons	0
pervsed	pervsed	vvn	perused	peruse	0
that	that	cst	that	that	0
lyttell	lyttell	j	little	little	0
fortresse	fortresse	n1	fortress	fortress	0
,	,	,	,	,	0
and	and	cc	and	and	0
founde	founde	vvd	found	find	0
here	here	av	here	here	0
and	and	cc	and	and	0
