BEcause	BEcause	p-acp	BEcause	because	0
there	there	a-acp	there	there	0
can	can	vmb	can	can	0
not	not	xx	not	not	0
bee	bee	vbi	be	be	0
a	a	dt	a	a	0
better	better	jc	better	better	0
worke	worke	n1	work	work	0
taken	taken	vvn	taken	take	0
in	in	p-acp	in	in	0
hand	hand	n1	hand	hand	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
mat	mat	n1	mat	mat	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
may	may	vmb	may	may	0
haue	haue	vhi	have	have	0
so	so	av	so	so	0
good	good	j	good	good	0
successe	successe	n1	success	success	0
,	,	,	,	,	0
or	or	cc	or	or	0
any	any	d	any	any	0
time	time	n1	time	time	0
be	be	vbb	be	be	0
so	so	av	so	so	0
well	well	av	well	well	0
bestovved	bestovved	vvn	bestowed	bestow	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
spent	spent	vvn	spent	spend	0
in	in	p-acp	in	in	0
seeking	seeking	vvg	seeking	seek	0
to	to	pc-acp	to	to	0
set	set	vvi	set	set	0
forth	forth	av	forth	forth	0
the	the	dt	the	the	0
glory	glory	n1	glory	glory	0
of	of	pp-f	of	of	0
god	god	n1	god	god	0
:	:	:	:	:	0
therfore	therfore	av	therefore	therefore	0
for	for	p-acp	for	for	0
mine	mine	po11	mine	my	0
own	own	d	own	own	0
part	part	n1	part	part	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
I	I	pns11	I	i	0
did	did	vdd	did	do	0
see	see	vvi	see	see	0
the	the	dt	the	the	0
slackneesse	slackneesse	n1	slackneesse	slackneesse	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
,	,	,	,	,	0
the	the	dt	the	the	0
loose	loose	j	lose	loose	0
líuing	líuing	n-vvg	líuing	líue	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
part	part	n1	part	part	0
,	,	,	,	,	0
and	and	cc	and	and	0
fewe	fewe	d	few	few	0
or	or	cc	or	or	0
none	none	pix	none	none	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
seke	seke	vvi	seek	seek	0
for	for	p-acp	for	for	0
,	,	,	,	,	0
or	or	cc	or	or	0
set	set	vvd	set	set	0
forth	forth	av	forth	forth	0
those	those	d	those	those	0
things	things	n2	things	thing	0
that	that	cst	that	that	0
might	might	vmd	might	may	0
redound	redound	vvi	redound	redound	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
praise	praise	n1	praise	praise	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
:	:	:	:	:	0
although	although	cs	although	although	0
of	of	pp-f	of	of	0
al	al	d	all	all	0
others	others	n2-jn	others	other	0
most	most	av-ds	most	most	0
vnable	vnable	j-u	unable	able	0
,	,	,	,	,	0
(	(	(	(	(	0
yet	yet	av	yet	yet	0
as	as	c-acp	as	as	0
one	one	pi	one	one	0
lamenting	lamenting	vvg	lamenting	lament	0
the	the	dt	the	the	0
miserable	miserable	j	miserable	miserable	0
condition	condition	n1	condition	condition	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
multitude	multitude	n1	multitude	multitude	0
)	)	)	)	)	0
haue	haue	vhb	have	have	0
done	done	vdn	done	do	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
in	in	p-acp	in	in	0
me	me	pno11	me	i	0
didly	didly	av-j	didly	did	0
,	,	,	,	,	0
that	that	cst	that	that	0
God	God	np1	God	God	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
honoured	honoured	vvn	honoured	honour	0
,	,	,	,	,	0
true	true	j	true	true	0
re	re	fw-mi	re	re	0
∣	∣	sy	∣	∣	0
ligion	ligion	n1	ligion	ligion	0
imbraced	imbraced	vvd	embraced	embrace	0
,	,	,	,	,	0
and	and	cc	and	and	0
vice	vice	n1	vice	vice	0
suppressed	suppressed	vvn	suppressed	suppress	0
and	and	cc	and	and	0
troden	troden	vvn	trodden	tread	0
vn	vn	p-acp	un	unto	0
∣	∣	sy	∣	∣	0
der	der	zf	der	there	0
foot	foot	n1	foot	foot	0
:	:	:	:	:	0
and	and	cc	and	and	0
sory	sory	j	sorry	sorry	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
ath	ath	a-acp|dt	ath	as|the	0
now	now	av	now	now	0
fallen	fallen	vvn	fallen	fall	0
out	out	av	out	out	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
lot	lot	n1	lot	lot	0
to	to	pc-acp	to	to	0
play	play	vvi	play	play	0
this	this	d	this	this	0
part	part	n1	part	part	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
rather	rather	av-c	rather	rather	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
scene	scene	vvn	scene	see	0
it	it	pn31	it	it	0
of	of	pp-f	of	of	0
some	some	d	some	some	0
other	other	n-jn	other	other	0
that	that	cst	that	that	0
might	might	vmd	might	may	0
haue	haue	vhi	have	have	0
done	done	vdn	done	do	0
it	it	pn31	it	it	0
bet	bet	vvd	bet	bet	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
then	then	av	then	then	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
I	I	pns11	I	i	0
do	do	vdb	do	do	0
vvel	vvel	av	well	well	0
perceiue	perceiue	vvi	perceive	perceive	0
it	it	pn31	it	it	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
solly	solly	n1	solly	folly	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
that	that	cst	that	that	0
thinke	thinke	vvb	think	think	0
them	them	pno32	them	they	0
selues	selues	n2	selves	self	0
vvise	vvise	j	wise	wise	0
men	men	n2	men	man	0
,	,	,	,	,	0
rather	rather	av-c	rather	rather	0
to	to	pc-acp	to	to	0
bestovve	bestovve	vvi	bestow	bestow	0
their	their	po32	their	their	0
