IN	IN	p-acp	IN	in	0
the	the	dt	the	the	0
feteful	feteful	j	feteful	feteful	0
tyme	tyme	n1	time	time	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
sweate	sweate	n1	sweat	sweat	0
(	(	(	(	(	0
ryghte	ryghte	j-jn	right	right	0
honourable	honourable	j	honourable	honourable	0
)	)	)	)	)	0
many	many	d	many	many	0
re	re	fw-mi	re	re	0
∣	∣	sy	∣	∣	0
sorted	sorted	vvn	sorted	sort	0
vnto	vnto	p-acp	unto	unto	0
me	me	pno11	me	i	0
for	for	p-acp	for	for	0
counseil	counseil	n1	counsel	counsel	0
,	,	,	,	,	0
among	among	p-acp	among	among	0
whōe	whōe	ro-crq	whom	who	0
some	some	d	some	some	0
beinge	beinge	vbg	being	be	0
my	my	po11	my	my	0
fren	fren	j	fren	fren	0
∣	∣	sy	∣	∣	0
des	des	fw-fr	des	des	0
&	&	cc	&	and	0
aquaintance	aquaintance	n1	acquaintance	acquaintance	0
,	,	,	,	,	0
desired	desired	vvd	desired	desire	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
write	write	vvi	write	write	0
vnto	vnto	p-acp	unto	unto	0
them	them	pno32	them	they	0
some	some	d	some	some	0
litle	litle	j	little	little	0
counseil	counseil	n1	counsel	counsel	0
howe	howe	c-crq	how	how	0
to	to	pc-acp	to	to	0
gouerne	gouerne	vvi	govern	govern	0
themselues	themselues	px32	themselves	themselves	0
therin	therin	av	therein	therein	0
:	:	:	:	:	0
saiyng	saiyng	vvg	saying	say	0
al	al	d	all	all	0
∣	∣	sy	∣	∣	0
so	so	av	so	so	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
do	do	vdi	do	do	0
a	a	dt	a	a	0
greate	greate	j	great	great	0
pleasure	pleasure	n1	pleasure	pleasure	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
my	my	po11	my	my	0
frendes	frendes	n2	friends	friend	0
and	and	cc	and	and	0
contrimen	contrimen	n2	contrimen	countryman	0
,	,	,	,	,	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
would	would	vmd	would	will	0
deuise	deuise	vvi	devise	devise	0
at	at	p-acp	at	at	0
my	my	po11	my	my	0
laisure	laisure	n1	laisure	laisure	0
some	some	d	some	some	0
thīg	thīg	n1	thing	thing	0
,	,	,	,	,	0
whiche	whiche	r-crq	which	which	0
from	from	p-acp	from	from	0
tyme	tyme	n1	time	time	0
to	to	p-acp	to	to	0
tyme	tyme	n1	time	time	0
might	might	vmd	might	may	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
maine	maine	n1	main	main	0
,	,	,	,	,	0
wherto	wherto	c-crq	whereto	whereto	0
men	men	n2	men	man	0
might	might	vmd	might	may	0
in	in	p-acp	in	in	0
such	such	d	such	such	0
cases	cases	n2	cases	case	0
haue	haue	vhb	have	have	0
a	a	dt	a	a	0
recourse	recourse	n1	recourse	recourse	0
&	&	cc	&	and	0
present	present	j	present	present	0
refuge	refuge	n1	refuge	refuge	0
at	at	p-acp	at	at	0
all	all	d	all	all	0
nedes	nedes	av	needs	needs	0
,	,	,	,	,	0
as	as	p-acp	as	as	0
thē	thē	pno32	them	they	0
they	they	pns32	they	they	0
had	had	vhd	had	have	0
none	none	pix	none	none	0
.	.	.	.	.	1
At	At	p-acp	At	at	0
whose	whose	rg-crq	whose	who	0
requeste	requeste	n1	request	request	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
that	that	d	that	that	0
tyme	tyme	n1	time	time	0
I	I	pns11	I	i	0
wrate	wrate	vvd	wrote	write	0
diuerse	diuerse	j	diverse	diverse	0
counseiles	counseiles	n2	counsels	counsel	0
so	so	av	so	so	0
shortly	shortly	av-j	shortly	short	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
for	for	p-acp	for	for	0
