THEMISTOCLES	THEMISTOCLES	npg1	THEMISTOCLES	Themistocles	0
THE	THE	dt	THE	the	0
NOBLE	NOBLE	j	NOBLE	noble	0
A	A	dt	A	a	0
∣	∣	sy	∣	∣	0
THENIEN	THENIEN	np1	THENIEN	THENIEN	0
IN	IN	p-acp	IN	in	0
HIS	HIS	po31	HIS	his	0
BANISHEMENT	BANISHEMENT	n1	BANISHEMENT	banishment	0
EN	EN	fw-fr	EN	en	0
∣	∣	sy	∣	∣	0
tertayned	tertayned	vvn	tertayned	tertayn	0
moste	moste	av-ds	most	most	0
honourablie	honourablie	av-j	honourably	honourable	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
Per	Per	np1	Per	Per	0
∣	∣	sy	∣	∣	0
sia	sia	n1	siam	siam	0
,	,	,	,	,	0
willed	willed	vvd	willed	will	0
vpon	vpon	p-acp	upon	upon	0
a	a	dt	a	a	0
time	time	n1	time	time	0
to	to	pc-acp	to	to	0
tell	tell	vvi	tell	tell	0
his	his	po31	his	his	0
cause	cause	n1	cause	cause	0
by	by	p-acp	by	by	0
a	a	dt	a	a	0
spokes	spokes	n2	spokes	spoke	0
∣	∣	sy	∣	∣	0
man	man	n1	man	man	0
,	,	,	,	,	0
compared	compared	vvn	compared	compare	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
piece	piece	n1	piece	piece	0
of	of	pp-f	of	of	0
tapistrie	tapistrie	n1	tapestry	tapestry	0
,	,	,	,	,	0
that	that	cst	that	that	0
beyng	beyng	vbg	being	be	0
spred	spred	vvn	spread	spread	0
abrode	abrode	av	abroad	abroad	0
,	,	,	,	,	0
discloseth	discloseth	vvz	discloseth	disclose	0
the	the	dt	the	the	0
beautie	beautie	n1	beauty	beauty	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
woorke	woorke	n1	work	work	0
∣	∣	sy	∣	∣	0
manship	manship	n1	manship	manship	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
foulded	foulded	vvn	folded	fold	0
together	together	av	together	together	0
,	,	,	,	,	0
hideth	hideth	vvz	hideth	hide	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
therfore	therfore	av	therefore	therefore	0
demaunded	demaunded	vvd	demanded	demand	0
res	res	fw-la	res	res	0
∣	∣	sy	∣	∣	0
pite	pite	n1	pite	pite	0
to	to	p-acp	to	to	0
learne	learne	vvi	learn	learn	0
the	the	dt	the	the	0
Persian	Persian	jp	Persian	persian	0
tunge	tunge	n1	tongue	tongue	0
to	to	pc-acp	to	to	0
tell	tell	vvi	tell	tell	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
cause	cause	n1	cause	cause	0
:	:	:	:	:	0
Right	Right	av-jn	Right	right	0
so	so	av	so	so	0
[	[	[	[	[	0
ho	ho	uh	ho	ho	0
∣	∣	sy	∣	∣	0
norable	norable	j	norable	norable	0
Lorde	Lorde	n1	Lord	lord	0
]	]	]	]	]	0
this	this	d	this	this	0
Courtier	Courtier	n1	Courtier	courtier	0
hath	hath	vhz	hath	have	0
long	long	av-j	long	long	0
straid	straid	vvn	strayed	stray	0
about	about	p-acp	about	about	0
this	this	d	this	this	0
realme	realme	n1	realm	realm	0
,	,	,	,	,	0
&	&	cc	&	and	0
the	the	dt	the	the	0
fruite	fruite	n1	fruit	fruit	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
either	either	av-d	either	either	0
little	little	j	little	little	0
,	,	,	,	,	0
or	or	cc	or	or	0
vnperfectly	vnperfectly	av-j	unperfectly	unperfect	0
receiued	receiued	vvn	received	receive	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
commune	commune	j	commune	common	0
be	be	vbi	be	be	0
∣	∣	sy	∣	∣	0
nefite	nefite	n1	nefite	nefite	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
either	either	d	either	either	0
men	men	n2	men	man	0
skilful	skilful	j	skilful	skilful	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
