Right	Right	av-jn	Right	right	0
Honourable	Honourable	j	Honourable	honourable	0
and	and	cc	and	and	0
truly	truly	av-j	truly	true	0
Noble	Noble	j	Noble	noble	0
:	:	:	:	:	0
IT	IT	pn31	IT	it	0
was	was	vbds	was	be	0
not	not	xx	not	not	0
so	so	av	so	so	0
much	much	av-d	much	much	0
the	the	dt	the	the	0
Nobility	Nobility	n1	Nobility	nobility	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
blood	blood	n1	blood	blood	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
that	that	d	that	that	0
of	of	pp-f	of	of	0
Grace	Grace	n1	Grace	grace	0
given	given	vvn	given	give	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
divine	divine	j-jn	divine	divine	0
hand	hand	n1	hand	hand	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
did	did	vdd	did	do	0
so	so	av	so	so	0
much	much	d	much	much	0
interest	interest	n1	interest	interest	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
love	love	n1	love	love	0
and	and	cc	and	and	0
esteeme	esteeme	n1	esteem	esteem	0
of	of	pp-f	of	of	0
that	that	cst	that	that	0
worthy	worthy	j	worthy	worthy	0
Servant	Servant	n1	Servant	servant	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
and	and	cc	and	and	0
Author	Author	n1	Author	author	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
worke	worke	n1	work	work	0
;	;	;	;	;	0
in	in	p-acp	in	in	0
whom	whom	ro-crq	whom	who	0
▪	▪	▪	▪	▪	0
Vrim	Vrim	j	Urim	urim	0
and	and	cc	and	and	0
Thummim	Thummim	np1	Thummim	Thummim	0
met	met	vvd	met	meet	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
whole	whole	j-jn	whole	whole	0
course	course	n1	course	course	0
being	being	vbg	being	be	0
a	a	dt	a	a	0
reall	reall	j	real	real	0
,	,	,	,	,	0
and	and	cc	and	and	0
vitall	vitall	j	vital	vital	0
sermon	sermon	n1	sermon	sermon	0
,	,	,	,	,	0
sweetly	sweetly	av-j	sweetly	sweet	0
consonant	consonant	j	consonant	consonant	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
tenour	tenour	n1	tenor	tenor	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
teaching	teaching	n-vvg	teaching	teach	0
,	,	,	,	,	0
made	made	vvd	made	make	0
him	him	pno31	him	he	0
amiable	amiable	j	amiable	amiable	0
living	living	n-vvg	living	live	0
,	,	,	,	,	0
and	and	cc	and	and	0
honourable	honourable	j	honourable	honourable	0
dead	dead	j	dead	dead	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
opinion	opinion	n1	opinion	opinion	0
of	of	pp-f	of	of	0
as	as	p-acp	as	as	0
many	many	d	many	many	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
knew	knew	vvd	knew	know	0
him	him	pno31	him	he	0
:	:	:	:	:	0
This	This	d	This	this	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
thing	thing	n1	thing	thing	0
(	(	(	(	(	0
I	I	pns11	I	i	0
suppose	suppose	vvb	suppose	suppose	0
)	)	)	)	)	0
which	which	r-crq	which	which	0
wrought	wrought	vvd	wrought	wrought	0
unto	unto	p-acp	unto	unto	0
him	him	pno31	him	he	0
from	from	p-acp	from	from	0
you	you	pn22	you	you	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
as	as	c-acp	as	as	0
from	from	p-acp	from	from	0
many	many	d	many	many	0
others	others	n2-jn	others	other	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Noble	Noble	j	Noble	noble	0
Stock	Stock	n1	Stock	stock	0
and	and	cc	and	and	0
Ranke	Ranke	n1	Rank	rank	0
)	)	)	)	)	0
more	more	av-dc	more	more	0
then	then	cs	then	than	0
an	an	dt	and	a	0
ordinary	ordinary	j	ordinary	ordinary	0
esteeme	esteeme	n1	esteem	esteem	0
:	:	:	:	:	0
and	and	cc	and	and	0
this	this	d	this	this	0
is	is	vbz	is	be	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
maketh	maketh	vvz	makes	make	0
me	me	pno11	me	i	0
in	in	p-acp	in	in	0
nothing	nothing	pix	nothing	nothing	0
to	to	p-acp	to	to	0
doubt	doubt	n1	doubt	doubt	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
his	his	po31	his	his	0
labours	labours	n2	labours	labour	0
made	made	vvd	made	make	0
publique	publique	j	public	public	0
under	under	p-acp	under	under	0
your	your	po22	your	your	0
names	names	n2	names	name	0
,	,	,	,	,	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
very	very	av	very	very	0
welcome	welcome	j-jn	welcome	welcome	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
:	:	:	:	:	0
the	the	dt	the	the	0
worke	worke	n1	work	work	0
is	is	vbz	is	be	0
answering	answering	vvg	answering	answer	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
man	man	n1	man	man	0
;	;	;	;	;	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
worthy	worthy	j	worthy	worthy	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
acceptance	acceptance	n1	acceptance	acceptance	0
:	:	:	:	:	0
onely	onely	av-j	only	only	0
this	this	d	this	this	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
disadvantage	disadvantage	n1	disadvantage	disadvantage	0
;	;	;	;	;	0
that	that	cst	that	that	0
though	though	cs	though	though	0
these	these	d	these	these	0
Sermons	Sermons	n2	Sermons	sermon	0
had	had	vhd	had	have	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
toung	toung	n1	tongue	tongue	0
to	to	pc-acp	to	to	0
preach	preach	vvi	preach	preach	0
them	them	pno32	them	they	0
;	;	;	;	;	0
yet	yet	av	yet	yet	0
they	they	pns32	they	they	0
want	want	vvb	want	want	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
pen	pen	n1	pen	pen	0
to	to	pc-acp	to	to	0
commend	commend	vvi	commend	commend	0
them	them	pno32	them	they	0
unto	unto	p-acp	unto	unto	0
your	your	po22	your	your	0
Honours	Honours	ng1	Honours	honour	0
:	:	:	:	:	0
I	I	pns11	I	i	0
well	well	av	well	well	0
know	know	vvb	know	know	0
that	that	cst	that	that	0
the	the	dt	the	the	0
expressions	expressions	n2	expressions	expression	0
of	of	pp-f	of	of	0
holy	holy	j	holy	holy	0
truthes	truthes	ng1	truths	truth	0
from	from	p-acp	from	from	0
a	a	dt	a	a	0
gratious	gratious	j	gracious	gracious	0
heart	heart	n1	heart	heart	0
by	by	p-acp	by	by	0
lively	lively	j	lively	lively	0
voice	voice	n1	voice	voice	0
doe	doe	vdb	do	do	0
breed	breed	vvi	breed	breed	0
deeper	deeper	avc-jn	deeper	deep	0
impressions	impressions	n2	impressions	impression	0
in	in	p-acp	in	in	0
thirsting	thirsting	vvg	thirsting	thirst	0
and	and	cc	and	and	0
reverent	reverent	j	reverend	reverent	0
hearers	hearers	n2	hearers	hearer	0
,	,	,	,	,	0
then	then	cs	then	than	0
any	any	d	any	any	0
publishing	publishing	vvg	publishing	publish	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
in	in	p-acp	in	in	0
dead	dead	j	dead	dead	0
letters	letters	n2	letters	letter	0
can	can	vmb	can	can	0
doe	doe	vdi	do	do	0
;	;	;	;	;	0
yet	yet	av	yet	yet	0
this	this	d	this	this	0
we	we	pns12	we	we	0
finde	finde	vvb	find	find	0
in	in	p-acp	in	in	0
experience	experience	n1	experience	experience	0
,	,	,	,	,	0
that	that	cst	that	that	0
holy	holy	j	holy	holy	0
and	and	cc	and	and	0
necessary	necessary	j	necessary	necessary	0
truths	truths	n2	truths	truth	0
,	,	,	,	,	0
this	this	d	this	this	0
way	way	n1	way	way	0
comming	comming	vvg	coming	come	0
abroad	abroad	av	abroad	abroad	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
Churches	Churches	n2	Churches	church	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
doe	doe	vdb	do	do	0
get	get	vvi	get	get	0
the	the	dt	the	the	0
advantage	advantage	n1	advantage	advantage	0
to	to	pc-acp	to	to	0
continue	continue	vvi	continue	continue	0
longer	longer	av-jc	longer	long	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
become	become	vvi	become	become	0
a	a	dt	a	a	0
more	more	av-dc	more	more	0
generall	generall	j	general	general	0
good	good	j	good	good	0
;	;	;	;	;	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
stirre	stirre	vvi	stir	stir	0
up	up	a-acp	up	up	0
the	the	dt	the	the	0
affections	affections	n2	affections	affection	0
,	,	,	,	,	0
and	and	cc	and	and	0
