GREAT	GREAT	j	GREAT	great	0
SIR	SIR	n1	SIR	sir	0
,	,	,	,	,	0
AS	AS	p-acp	AS	as	0
You	You	pn22	You	you	0
are	are	vbr	are	be	0
God's	God's	npg1	God's	God	0
Vicegerent	Vicegerent	n1	Vicegerent	vicegerent	0
here	here	av	here	here	0
upon	upon	p-acp	upon	upon	0
Earth	Earth	n1	Earth	earth	0
,	,	,	,	,	0
so	so	av	so	so	0
You	You	pn22	You	you	0
are	are	vbr	are	be	0
most	most	av-ds	most	most	0
justly	justly	av-j	justly	just	0
and	and	cc	and	and	0
duely	duely	av-jn	duly	due	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
accounted	accounted	vvn	accounted	account	0
my	my	po11	my	my	0
Dread	Dread	j	Dread	dread	0
Soveraign	Soveraign	n-jn	Sovereign	sovereign	0
;	;	;	;	;	0
and	and	cc	and	and	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
just	just	j	just	just	0
Cause	Cause	n1	Cause	cause	0
,	,	,	,	,	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
not	not	xx	not	not	0
presume	presume	vvi	presume	presume	0
thus	thus	av	thus	thus	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
mine	mine	po11	mine	my	0
Approach	Approach	n1	Approach	approach	0
to	to	p-acp	to	to	0
Your	Your	po22	Your	your	0
most	most	av-ds	most	most	0
Sacred	Sacred	j	Sacred	sacred	0
MAJESTY	MAJESTY	n1	MAJESTY	majesty	0
.	.	.	.	.	1
Now	Now	av	Now	now	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
Life	Life	n1	Life	life	0
,	,	,	,	,	0
and	and	cc	and	and	0
an	an	dt	and	a	0
honest	honest	j	honest	honest	0
Reputation	Reputation	n1	Reputation	reputation	0
,	,	,	,	,	0
are	are	vbr	are	be	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
of	of	pp-f	of	of	0
an	an	dt	and	a	0
equal	equal	j-jn	equal	equal	0
Value	Value	vvi	Valve	value	0
,	,	,	,	,	0
and	and	cc	and	and	0
one	one	crd	one	one	0
Sir	Sir	n1	Sir	sir	0
Richard	Richard	np1	Richard	Richard	0
Blackam	Blackam	np1	Blackam	Blackam	0
hath	hath	vhz	hath	have	0
blackened	blackened	vvn	blackened	blacken	0
and	and	cc	and	and	0
whispered	whispered	vvd	whispered	whisper	0
away	away	av	away	away	0
my	my	po11	my	my	0
Reputation	Reputation	n1	Reputation	reputation	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
Grounds	Grounds	n2	Grounds	ground	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Causeless	Causeless	j	Causeless	causeless	0
Statute	Statute	n1	Statute	statute	0
of	of	pp-f	of	of	0
Bankrupt	Bankrupt	j-jn	Bankrupt	bankrupt	0
,	,	,	,	,	0
maliciously	maliciously	av-j	maliciously	malicious	0
ta	ta	dt	ta	a	0
∣	∣	sy	∣	∣	0
ken	ken	vvb	ken	ken	0
out	out	av	out	out	0
against	against	p-acp	against	against	0
me	me	pno11	me	i	0
by	by	p-acp	by	by	0
one	one	crd	one	one	0
Samuel	Samuel	np1	Samuel	Samuel	0
Moyer	Moyer	np1	Moyer	Moyer	0
,	,	,	,	,	0
after	after	p-acp	after	after	0
a	a	dt	a	a	0
long	long	j	long	long	0
and	and	cc	and	and	0
wrongfull	wrongfull	j	wrongful	wrongful	0
Prosecu	Prosecu	n1	Prosecu	prosecu	0
∣	∣	sy	∣	∣	0
tion	tion	n1	cion	cion	0
of	of	pp-f	of	of	0
me	me	pno11	me	i	0
in	in	p-acp	in	in	0
Your	Your	po22	Your	your	0
MAJESTY's	MAJESTY's	ng1	MAJESTY's	majesty	0
High	High	j	High	high	0
Court	Court	n1	Court	court	0
of	of	pp-f	of	of	0
Chancery	Chancery	n1	Chancery	chancery	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
with	with	p-acp	with	with	0
most	most	ds	most	most	0
excessive	excessive	j	excessive	excessive	0
Charge	Charge	n1	Charge	charge	0
and	and	cc	and	and	0
Trouble	Trouble	vvb	Trouble	trouble	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
many	many	d	many	many	0
Years	Years	n2	Years	year	0
,	,	,	,	,	0
forc'd	forc'd	vvn	forced	force	0
to	to	pc-acp	to	to	0
defend	defend	vvi	defend	defend	0
my	my	po11	my	my	0
self	self	n1	self	self	0
;	;	;	;	;	0
and	and	cc	and	and	0
after	after	c-acp	after	after	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
bin	bin	vbn	been	be	0
in	in	p-acp	in	in	0
some	some	d	some	some	0
measure	measure	n1	measure	measure	0
Righted	Righted	vvn	Righted	right	0
by	by	p-acp	by	by	0
a	a	dt	a	a	0
Decree	Decree	n1	Decree	decree	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
Court	Court	n1	Court	court	0
,	,	,	,	,	0
Three	Three	crd	Three	three	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Counsel	Counsel	n1	Counsel	counsel	0
being	being	vbg	being	be	0
afterwards	afterwards	av	afterwards	afterward	0
made	made	vvn	made	make	0
Lords	Lords	n2	Lords	lord	0
Commissioners	Commissioners	n2	Commissioners	commissioner	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Custody	Custody	n1	Custody	custody	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Great	Great	j	Great	great	0
Seal	Seal	n1	Seal	seal	0
,	,	,	,	,	0
Reversed	Reversed	vvn	Reversed	reverse	0
my	my	po11	my	my	0
Decree	Decree	n1	Decree	decree	0
,	,	,	,	,	0
that	that	cst	that	that	0
had	had	vhd	had	have	0
bin	bin	vbn	been	be	0
Signed	Signed	vvn	Signed	sign	0
and	and	cc	and	and	0
Enrolled	Enrolled	vvn	Enrolled	enroll	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
any	any	d	any	any	0
man	man	n1	man	man	0
∣	∣	sy	∣	∣	0
ner	ner	zz	ner	ner	0
of	of	pp-f	of	of	0
Reason	Reason	n1	Reason	reason	0
,	,	,	,	,	0
only	only	av-j	only	only	0
for	for	c-acp	for	for	0
to	to	pc-acp	to	to	0
please	please	vvi	please	please	0
their	their	po32	their	their	0
Client	Client	n1	Client	client	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
whom	whom	ro-crq	whom	who	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
many	many	d	many	many	0
Years	Years	n2	Years	year	0
together	together	av	together	together	0
,	,	,	,	,	0
they	they	pns32	they	they	0
had	had	vhd	had	have	0
all	all	d	all	all	0
received	received	vvn	received	receive	0
extravagant	extravagant	j	extravagant	extravagant	0
great	great	j	great	great	0
Fees	Fees	n2	Fees	fee	0
;	;	;	;	;	0
and	and	cc	and	and	0
then	then	av	then	then	0
the	the	dt	the	the	0
most	most	ds	most	most	0
Reverend	Reverend	n-jn	Reverend	reverend	0
and	and	cc	and	and	0
Right	Right	n-jn	Right	right	0
Honourable	Honourable	j	Honourable	honourable	0
the	the	dt	the	the	0
Lords	Lords	n2	Lords	lord	0
Spiritual	Spiritual	j	Spiritual	spiritual	0
and	and	cc	and	and	0
Temporal	Temporal	j	Temporal	temporal	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
Reversing	Reversing	vvg	Reversing	reverse	0
their	their	po32	their	their	0
Decree	Decree	n1	Decree	decree	0
of	of	pp-f	of	of	0
Re	Re	zz	Re	re	0
∣	∣	sy	∣	∣	0
versal	versal	j	versal	versal	0
,	,	,	,	,	0
confirmed	confirmed	vvn	confirmed	confirm	0
again	again	av	again	again	0
unto	unto	p-acp	unto	unto	0
me	me	pno11	me	i	0
my	my	po11	my	my	0
Right	Right	n-jn	Right	right	0
upon	upon	p-acp	upon	upon	0
full	full	j	full	full	0
Hearing	Hearing	n-vvg	Hearing	hear	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Cause	Cause	n1	Cause	cause	0
,	,	,	,	,	0
brought	brought	vvn	brought	bring	0
before	before	p-acp	before	before	0
them	them	pno32	them	they	0
upon	upon	p-acp	upon	upon	0
mine	mine	po11	mine	my	0
Appeal	Appeal	n1	Appeal	appeal	0
;	;	;	;	;	0
(	(	(	(	(	0
for	for	c-acp	for	for	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
pray	pray	vvb	pray	pray	0
God	God	np1	God	God	0
to	to	pc-acp	to	to	0
reward	reward	vvi	reward	reward	0
them	them	pno32	them	they	0
.	.	.	.	.	0
)	)	)	)	)	1
But	But	p-acp	But	but	0
lea	lea	n1	lea	lea	0
∣	∣	sy	∣	∣	0
ving	ving	vhg	ving	ve	0
me	me	pno11	me	i	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Law	Law	n1	Law	law	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
Damages	Damages	n2	Damages	damage	0
sustained	sustained	vvn	sustained	sustain	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Statute	Statute	n1	Statute	statute	0
of	of	pp-f	of	of	0
Bankrupt	Bankrupt	j-jn	Bankrupt	bankrupt	0
,	,	,	,	,	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
there	there	pc-acp	there	there	0
had	had	vhd	had	have	0
a	a	dt	a	a	0
Tryal	Tryal	n1	Trial	trial	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Moyer	Moyer	np1	Moyer	Moyer	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
being	being	vbg	being	be	0
quitted	quitted	vvn	quit	quit	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
inge	inge	n1	inge	inge	0
∣	∣	sy	∣	∣	0
nuity	nuity	n1	nuity	nuity	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
favourite	favourite	n1	favourite	favourite	0
Counsel	Counsel	n1	Counsel	counsel	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
inclinations	inclinations	n2	inclinations	inclination	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Judge	Judge	n1	Judge	judge	0
,	,	,	,	,	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
forced	forced	vvn	forced	force	0
to	to	pc-acp	to	to	0
pay	pay	vvi	pay	pay	0
him	him	pno31	him	he	0
Costs	Costs	vvz	Costs	cost	0
;	;	;	;	;	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Court	Court	n1	Court	court	0
being	being	vbg	being	be	0
told	told	vvn	told	tell	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Judge	Judge	n1	Judge	judge	0
,	,	,	,	,	0
that	that	cst	that	that	0
my	my	po11	my	my	0
Remedy	Remedy	n1	Remedy	remedy	0
at	at	p-acp	at	at	0
Common-Law	Common-Law	n1	Common-Law	common-law	0
did	did	vdd	did	do	0
lie	lie	vvi	lie	lie	0
only	only	av-j	only	only	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
Lords	Lords	n2	Lords	lord	0
Commissioners	Commissioners	n2	Commissioners	commissioner	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Great	Great	j	Great	great	0
Seal	Seal	n1	Seal	seal	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
bringing	bringing	vvg	bringing	bring	0
mine	mine	po11	mine	my	0
Action	Action	n1	Actium	action	0
against	against	p-acp	against	against	0
them	them	pno32	them	they	0
;	;	;	;	;	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
Judge	Judge	n1	Judge	judge	0
knowing	knowing	vvg	knowing	know	0
very	very	av	very	very	0
well	well	av	well	well	0
,	,	,	,	,	0
is	is	vbz	is	be	0
an	an	dt	and	a	0
unpracticable	unpracticable	j	unpracticable	unpracticable	0
Thing	Thing	n1	Thing	thing	0
,	,	,	,	,	0
unless	unless	cs	unless	unless	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
a	a	dt	a	a	0
Million	Million	crd	Million	million	0
of	of	pp-f	of	of	0
Money	Money	n1	Money	money	0
to	to	pc-acp	to	to	0
spend	spend	vvi	spend	spend	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
left	left	vvn	left	leave	0
me	me	pno11	me	i	0
without	without	p-acp	without	without	0
Remedy	Remedy	n1	Remedy	remedy	0
;	;	;	;	;	0
for	for	p-acp	for	for	0
'tis	'tis	pn31|vbz	it's	it|be	0
Money	Money	n1	Money	money	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
Law	Law	n1	Law	law	0
,	,	,	,	,	0
that	that	cst	that	that	0
now	now	av	now	now	0
doth	doth	vdz	does	do	0
the	the	dt	the	the	0
Justice	Justice	n1	Justice	justice	0
in	in	p-acp	in	in	0
many	many	d	many	many	0
,	,	,	,	,	0
if	if	cs	if	if	0
not	not	xx	not	not	0
most	most	ds	most	most	0
Cau	Cau	vvd	Caused	cause	0
∣	∣	sy	∣	∣	0
ses	ses	fw-fr	ses	ses	0
;	;	;	;	;	0
and	and	cc	and	and	0
if	if	cs	if	if	0
a	a	dt	a	a	0
Man	Man	n1	Man	man	0
have	have	vhb	have	have	0
enough	enough	av-d	enough	enough	0
of	of	pp-f	of	of	0
That	That	d	That	that	0
,	,	,	,	,	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
sure	sure	j	sure	sure	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Cause	Cause	n1	Cause	cause	0
in	in	p-acp	in	in	0
any	any	d	any	any	0
Case	Case	n1	Case	case	0
.	.	.	.	.	1
But	But	cc-acp	But	but	0
as	as	c-acp	as	as	0
