NOBLE	NOBLE	j	NOBLE	noble	0
SIR	SIR	n1	SIR	sir	0
:	:	:	:	:	0
THAT	THAT	cst	THAT	that	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
life	life	n1	life	life	0
above	above	p-acp	above	above	0
that	that	d	that	that	0
of	of	pp-f	of	of	0
sensuall	sensuall	j	sensual	sensual	0
pleasure	pleasure	n1	pleasure	pleasure	0
;	;	;	;	;	0
the	the	dt	the	the	0
Heathen	Heathen	j-jn	Heathen	heathen	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
twy-light	twy-light	n1	twilight	twilight	0
of	of	pp-f	of	of	0
Nature	Nature	n1	Nature	nature	0
could	could	vmd	could	can	0
di	di	zz	di	di	0
∣	∣	sy	∣	∣	0
scerne	scerne	vvi	discern	discern	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
thought	thought	vvd	thought	think	0
him	him	pno31	him	he	0
not	not	xx	not	not	0
worthy	worthy	j	worthy	worthy	0
the	the	dt	the	the	0
name	name	n1	name	name	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
man	man	n1	man	man	0
,	,	,	,	,	0
that	that	cst	that	that	0
spent	spent	vvd	spent	spend	0
a	a	dt	a	a	0
whole	whole	j-jn	whole	whole	0
day	day	n1	day	day	0
together	together	av	together	together	0
in	in	p-acp	in	in	0
sensuall	sensuall	j	sensual	sensual	0
pleasure	pleasure	n1	pleasure	pleasure	0
;	;	;	;	;	0
reckoning	reckoning	vvg	reckoning	reckon	0
such	such	d	such	such	0
amongst	amongst	p-acp	among	among	0
beasts	beasts	n2	beasts	beast	0
in	in	p-acp	in	in	0
humane	humane	j	humane	humane	0
shape	shape	n1	shape	shape	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
life	life	n1	life	life	0
of	of	pp-f	of	of	0
faith	faith	n1	faith	faith	0
as	as	c-acp	as	as	0
far	far	av-j	far	far	0
above	above	p-acp	above	above	0
that	that	d	that	that	0
of	of	pp-f	of	of	0
reason	reason	n1	reason	reason	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
above	above	p-acp	above	above	0
the	the	dt	the	the	0
life	life	n1	life	life	0
of	of	pp-f	of	of	0
sense	sense	n1	sense	sense	0
,	,	,	,	,	0
that	that	cst	that	that	0
comming	comming	vvg	coming	come	0
from	from	p-acp	from	from	0
God	God	np1	God	God	0
,	,	,	,	,	0
returnes	returnes	n2	returns	return	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
againe	againe	av	again	again	0
,	,	,	,	,	0
moves	moves	vvz	moves	move	0
by	by	p-acp	by	by	0
higher	higher	jc	higher	high	0
principles	principles	n2	principles	principle	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
higher	higher	jc	higher	high	0
ends	ends	n2	ends	end	0
,	,	,	,	,	0
acts	acts	vvz	acts	act	0
all	all	d	all	all	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
honour	honour	n1	honour	honour	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
great	great	j	great	great	0
God	God	np1	God	God	0
,	,	,	,	,	0
aymes	aymes	vvz	aims	aim	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
setting	setting	n-vvg	setting	set	0
up	up	a-acp	up	up	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
and	and	cc	and	and	0
making	making	vvg	making	make	0
him	him	pno31	him	he	0
glorious	glorious	j	glorious	glorious	0
before	before	p-acp	before	before	0
the	the	dt	the	the	0
world	world	n1	world	world	0
;	;	;	;	;	0
this	this	d	this	this	0
is	is	vbz	is	be	0
such	such	d	such	such	0
a	a	dt	a	a	0
dark	dark	j	dark	dark	0
and	and	cc	and	and	0
hidden	hidden	j-vvn	hidden	hide	0
path	path	n1	path	path	0
,	,	,	,	,	0
that	that	cst	that	that	0
had	had	vhd	had	have	0
we	we	pns12	we	we	0
not	not	xx	not	not	0
the	the	dt	the	the	0
fiery	fiery	j	fiery	fiery	0
Pillar	Pillar	n1	Pillar	pillar	0
of	of	pp-f	of	of	0
Gods	Gods	npg1	Gods	God	0
truth	truth	n1	truth	truth	0
to	to	pc-acp	to	to	0
cleare	cleare	vvi	clear	clear	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
us	us	pno12	us	we	0
,	,	,	,	,	0
together	together	av	together	together	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
cloud	cloud	n1	cloud	cloud	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
witnesses	witnesses	n2	witnesses	witness	0
,	,	,	,	,	0
especially	especially	av-j	especially	especial	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
last	last	ord	last	last	0
dayes	dayes	n2	days	day	0
,	,	,	,	,	0
that	that	cst	that	that	0
have	have	vhb	have	have	0
beaten	beaten	vvn	beaten	beat	0
it	it	pn31	it	it	0
out	out	av	out	out	0
before	before	p-acp	before	before	0
us	us	pno12	us	we	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
life	life	n1	life	life	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
in	in	p-acp	in	in	0
carnall	carnall	j	carnal	carnal	0
pleasure	pleasure	n1	pleasure	pleasure	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
civill	civill	j	civil	civil	0
trans	trans	ng1	trans	trans	0
∣	∣	sy	∣	∣	0
actions	actions	n2	actions	action	0
,	,	,	,	,	0
no	no	uh-dx	no	no	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
yet	yet	av	yet	yet	0
in	in	p-acp	in	in	0
philosophicall	philosophicall	j	philosophical	philosophical	0
specula	specula	fw-la	specula	specula	0
∣	∣	sy	∣	∣	0
tions	tions	n1	tions	tions	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
lay	lay	vvd	lay	lie	0
out	out	av	out	out	0
all	all	d	all	all	0
their	their	po32	their	their	0
strength	strength	n1	strength	strength	0
,	,	,	,	,	0
are	are	vbr	are	be	0
ready	ready	j	ready	ready	0
to	to	pc-acp	to	to	0
exhaust	exhaust	vvi	exhaust	exhaust	0
all	all	d	all	all	0
their	their	po32	their	their	0
bloud	bloud	n1	blood	blood	0
from	from	p-acp	from	from	0
Christ	Christ	np1	Christ	Christ	0
and	and	cc	and	and	0
his	his	po31	his	his	0
truth	truth	n1	truth	truth	0
;	;	;	;	;	0
we	we	pns12	we	we	0
must	must	vmb	must	must	0
have	have	vhi	have	have	0
been	been	vbn	been	be	0
for	for	p-acp	for	for	0
ever	ever	av	ever	ever	0
ignorant	ignorant	j	ignorant	ignorant	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
.	.	.	.	.	1
This	This	d	This	this	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
found	found	vvn	found	find	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Schoole	Schoole	n1	School	school	0
of	of	pp-f	of	of	0
So	So	av	So	so	0
∣	∣	sy	∣	∣	0
crates	crates	vvz	crates	crate	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
pit	pit	n1	pit	pit	0
of	of	pp-f	of	of	0
Democritus	Democritus	np1	Democritus	Democritus	0
.	.	.	.	.	1
What	What	q-crq	What	what	0
those	those	d	those	those	0
Masters	Masters	n2	Master's	master	0
of	of	pp-f	of	of	0
morality	morality	n1	morality	morality	0
groped	groped	vvd	groped	grope	0
after	after	a-acp	after	after	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
darke	darke	j	dark	dark	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
could	could	vmd	could	can	0
never	never	av-x	never	never	0
reach	reach	vvi	reach	reach	0
;	;	;	;	;	0
viz.	viz.	n1	viz.	viz.	0
the	the	dt	the	the	0
right	right	j-jn	right	right	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
li	li	n1	li	livre	0
∣	∣	sy	∣	∣	0
ving	ving	vhg	ving	ve	0
;	;	;	;	;	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
adventured	adventured	vvn	adventured	adventure	0
to	to	pc-acp	to	to	0
present	present	vvi	present	present	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
and	and	cc	and	and	0
the	the	dt	the	the	0
publique	publique	j	public	public	0
view	view	n1	view	view	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
poore	poore	j	poor	poor	0
and	and	cc	and	and	0
plaine	plaine	j	plain	plain	0
Ser	Ser	zz	Ser	ser	0
∣	∣	sy	∣	∣	0
mon	mon	fw-fr	mon	mon	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
confesse	confesse	vvb	confess	confess	0
hath	hath	vhz	hath	have	0
no	no	dx	no	no	0
other	other	j-jn	other	other	0
argument	argument	n1	argument	argument	0
to	to	pc-acp	to	to	0
procure	procure	vvi	procure	procure	0
either	either	d	either	either	0
your	your	po22	your	your	0
view	view	n1	view	view	0
,	,	,	,	,	0
or	or	cc	or	or	0
patronage	patronage	n1	patronage	patronage	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
this	this	d	this	this	0
one	one	pi	one	one	0
;	;	;	;	;	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
the	the	dt	the	the	0
Name	Name	n1	Name	name	0
of	of	pp-f	of	of	0
Jesus	Jesus	np1	Jesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
;	;	;	;	;	0
the	the	dt	the	the	0
want	want	n1	want	want	0
whereof	whereof	c-crq	whereof	whereof	0
when	when	c-crq	when	when	0
Austin	Austin	np1	Austin	Austin	0
espied	espied	vvd	espied	espy	0
,	,	,	,	,	0
after	after	p-acp	after	after	0
conversion	conversion	n1	conversion	conversion	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
Tullies	Tullies	npg1	Tullies	Tully	0
Booke	Booke	n1	Book	book	0
,	,	,	,	,	0
abated	abated	vvd	abated	abate	0
the	the	dt	the	the	0
heat	heat	n1	heat	heat	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
delight	delight	n1	delight	delight	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
once	once	a-acp	once	once	0
took	took	vvd	took	take	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
.	.	.	.	.	1
When	When	c-crq	When	when	0
you	you	pn22	you	you	0
meet	meet	vvb	meet	meet	0
with	with	p-acp	with	with	0
weaknesses	weaknesses	n2	weaknesses	weakness	0
,	,	,	,	,	0
may	may	vmb	may	may	0
you	you	pn22	you	you	0
be	be	vbi	be	be	0
pleased	pleased	vvn	pleased	please	0
to	to	pc-acp	to	to	0
Remember	Remember	vvi	Remember	remember	0
,	,	,	,	,	0
that	that	cst	that	that	0
not	not	xx	not	not	0
any	any	d	any	any	0
selfe-forwardnesse	selfe-forwardnesse	n1	selfe-forwardnesse	selfe-forwardnesse	0
,	,	,	,	,	0
or	or	cc	or	or	0
over-valuing	over-valuing	j-vvg	overvaluing	over-value	0
hath	hath	vhz	hath	have	0
obtruded	obtruded	vvd	obtruded	obtrude	0
these	these	d	these	these	0
unpolished	unpolished	j	unpolished	unpolished	0
Meditations	Meditations	n2	Meditations	meditation	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
publique	publique	j	public	public	0
light	light	n1	light	light	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
my	my	po11	my	my	0
willingnesse	willingnesse	n1	willingness	willingness	0
to	to	pc-acp	to	to	0
put	put	vvi	put	put	0
a	a	dt	a	a	0
stop	stop	n1	stop	stop	0
,	,	,	,	,	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
false	false	j	false	false	0
and	and	cc	and	and	0
slanderous	slanderous	j	slanderous	slanderous	0
aspersions	aspersions	n2	aspersions	aspersion	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
dead	dead	j	dead	dead	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
perceive	perceive	vvb	perceive	perceive	0
have	have	vhb	have	have	0
already	already	av	already	already	0
cankered	cankered	vvn	cankered	canker	0
the	the	dt	the	the	0
hearts	hearts	n2	hearts	heart	0
and	and	cc	and	and	0
mouths	mouths	n2	mouths	mouth	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
raise	raise	vvi	raise	raise	0
,	,	,	,	,	0
though	though	cs	though	though	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
ruines	ruines	n2	ruins	ruin	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
own	own	d	own	own	0
credit	credit	n1	credit	credit	0
,	,	,	,	,	0
a	a	dt	a	a	0
monument	monument	n1	monument	monument	0
of	of	pp-f	of	of	0
de	de	fw-fr	de	de	0
∣	∣	sy	∣	∣	0
served	served	vvn	served	serve	0
praise	praise	n1	praise	praise	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
whose	whose	rg-crq	whose	who	0
fidelity	fidelity	n1	fidelity	fidelity	0
and	and	cc	and	and	0
