Renowned	Renowned	j-vvn	Renowned	renown	0
Worthies	Worthies	n2-j	Worthies	worthy	0
,	,	,	,	,	0
WHEN	WHEN	c-crq	WHEN	when	0
I	I	pns11	I	i	0
received	received	vvd	received	receive	0
your	your	po22	your	your	0
Message	Message	n1	Message	message	0
,	,	,	,	,	0
sent	sent	vvn	sent	send	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
by	by	p-acp	by	by	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
Your	Your	po22	Your	your	0
Worthy	Worthy	j	Worthy	worthy	0
Members	Members	n2	Members	member	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
had	had	vhd	had	have	0
appoynted	appoynted	vvn	appointed	appoint	0
mee	mee	pno11	me	i	0
to	to	pc-acp	to	to	0
Preach	Preach	vvi	Preach	preach	0
before	before	p-acp	before	before	0
You	You	pn22	You	you	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
Monethly	Monethly	j	Monthly	monthly	0
Fast	Fast	av-j	Fast	fast	0
then	then	av	then	then	0
next	next	ord	next	next	0
to	to	p-acp	to	to	0
come	come	vvi	come	come	0
,	,	,	,	,	0
mine	mine	po11	mine	my	0
Insufficiency	Insufficiency	n1	Insufficiency	insufficiency	0
,	,	,	,	,	0
63	63	crd	63	63	0
years	years	n2	years	year	0
▪	▪	▪	▪	▪	0
Age	Age	n1	Age	age	0
,	,	,	,	,	0
and	and	cc	and	and	0
Weaknesse	Weaknesse	n1	Weakness	weakness	0
of	of	pp-f	of	of	0
Body	Body	n1	Body	body	0
,	,	,	,	,	0
began	began	vvd	began	begin	0
immediately	immediately	av-j	immediately	immediate	0
to	to	pc-acp	to	to	0
put	put	vvi	put	put	0
a	a	dt	a	a	0
just	just	j	just	just	0
excuse	excuse	n1	excuse	excuse	0
••	••	••	••	••	0
my	my	po11	my	my	0
mouth	mouth	n1	mouth	mouth	0
:	:	:	:	:	0
But	But	cc-acp	But	but	0
the	the	dt	the	the	0
strong	strong	j	strong	strong	0
obligation	obligation	n1	obligation	obligation	0
in	in	p-acp	in	in	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
Land	Land	n1	Land	land	0
is	is	vbz	is	be	0
obliged	obliged	vvn	obliged	oblige	0
unto	unto	p-acp	unto	unto	0
You	You	pn22	You	you	0
,	,	,	,	,	0
(	(	(	(	(	0
being	being	vbg	being	be	0
the	the	dt	the	the	0
onely	onely	j	only	only	0
powerfull	powerfull	j	powerful	powerful	0
Nehem	Nehem	np1	Nehem	Nehem	0
9.27	9.27	crd	9.27	9.27	0
.	.	.	.	.	0
and	and	cc	and	and	0
Obad.	Obad.	np1	Obad.	Obad.	1
21.	21.	crd	21.	21.	1
Saviours	Saviours	ng1	Saviours	saviour	0
under	under	p-acp	under	under	0
God	God	np1	God	God	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
Church	Church	n1	Church	church	0
and	and	cc	and	and	0
State	State	n1	State	state	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
ruine	ruine	n1	ruin	ruin	0
and	and	cc	and	and	0
destruction	destruction	n1	destruction	destruction	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
allready	allready	av	already	already	0
over-runne	over-runne	j	overrun	overrun	0
,	,	,	,	,	0
and	and	cc	and	and	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
poynt	poynt	n1	point	point	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
swallowed	swallowed	vvn	swallowed	swallow	0
up	up	a-acp	up	up	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Bands	Bands	n2	Bans	band	0
of	of	pp-f	of	of	0
Antichrist	Antichrist	np1	Antichrist	Antichrist	0
)	)	)	)	)	0
did	did	vdd	did	do	0
silence	silence	vvi	silence	silence	0
all	all	d	all	all	0
Excuses	Excuses	n2	Excuses	excuse	0
.	.	.	.	.	1
Besides	Besides	p-acp	Beside	beside	0
,	,	,	,	,	0
