IT's	IT's	pn31|vbz	IT's	it|be	0
not	not	xx	not	not	0
in	in	p-acp	in	in	0
expectation	expectation	n1	expectation	expectation	0
of	of	pp-f	of	of	0
Reward	Reward	n1	Reward	reward	0
,	,	,	,	,	0
That	That	cst	That	that	0
I	I	pns11	I	i	0
this	this	d	this	this	0
Book	Book	n1	Book	book	0
into	into	p-acp	into	into	0
your	your	po22	your	your	0
hands	hands	n2	hands	hand	0
do	do	vdb	do	do	0
tender	tender	vvi	tender	tender	0
,	,	,	,	,	0
But	But	cc-acp	But	but	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
humble	humble	j	humble	humble	0
Duty	Duty	n1	Duty	duty	0
in	in	p-acp	in	in	0
regard	regard	n1	regard	regard	0
,	,	,	,	,	0
That	That	cst	That	that	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
bound	bound	vvn	bound	bind	0
my	my	po11	my	my	0
dayly	dayly	j	daily	daily	0
thanks	thanks	n2	thanks	thank	0
to	to	pc-acp	to	to	0
render	render	vvi	render	render	0
;	;	;	;	;	0
If	If	cs	If	if	0
my	my	po11	my	my	0
Verse	Verse	n1	Verse	verse	0
be	be	vbi	be	be	0
defective	defective	j	defective	defective	0
,	,	,	,	,	0
and	and	cc	and	and	0
my	my	po11	my	my	0
accent	accent	n1	accent	accent	0
rude	rude	j	rude	rude	0
,	,	,	,	,	0
My	My	po11	My	my	0
Stile	Stile	n1	Style	stile	0
be	be	vbi	be	be	0
harsh	harsh	j	harsh	harsh	0
,	,	,	,	,	0
and	and	cc	and	and	0
my	my	po11	my	my	0
Learning	Learning	n1	Learning	learning	0
slender	slender	j	slender	slender	0
,	,	,	,	,	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
defended	defended	vvn	defended	defend	0
against	against	p-acp	against	against	0
a	a	dt	a	a	0
multitude	multitude	n1	multitude	multitude	0
,	,	,	,	,	0
If	If	cs	If	if	0
that	that	cst	that	that	0
your	your	po22	your	your	0
Patronage	Patronage	n1	Patronage	patronage	0
be	be	vbb	be	be	0
but	but	p-acp	but	but	0
my	my	po11	my	my	0
Defender	Defender	n1	Defender	defender	0
.	.	.	.	.	1
This	This	np1	This	This	0
to	to	pc-acp	to	to	0
avoid	avoid	vvi	avoid	avoid	0
Hells-hatcht	Hells-hatcht	j	Hells-hatched	hells-hatched	0
ingratitude	ingratitude	n1	ingratitude	ingratitude	0
,	,	,	,	,	0
My	My	po11	My	my	0
duteous	duteous	j	duteous	duteous	0
Love	Love	n1	Love	love	0
,	,	,	,	,	0
my	my	po11	my	my	0
Lines	Lines	n2	Lines	line	0
and	and	cc	and	and	0
Life	Life	n1	Life	life	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
,	,	,	,	,	0
To	To	p-acp	To	to	0
you	you	pn22	you	you	0
devoted	devoted	vvn	devoted	devote	0
,	,	,	,	,	0
ever	ever	av	ever	ever	0
to	to	pc-acp	to	to	0
conclude	conclude	vvi	conclude	conclude	0
;	;	;	;	;	0
May	May	vmb	May	may	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
most	most	av-ds	most	most	0
vertuous	vertuous	j	virtuous	virtuous	0
Lady	Lady	n1	Lady	lady	0
see	see	vvi	see	see	0
,	,	,	,	,	0
Long	Long	av-j	Long	long	0
happy	happy	j	happy	happy	0
dayes	dayes	n2	days	day	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
honour	honour	n1	honour	honour	0
still	still	av	still	still	0
encreasing	encreasing	j-vvg	increasing	increase	0
,	,	,	,	,	0
And	And	cc	And	and	0
after	after	p-acp	after	after	0
death	death	n1	death	death	0
true	true	j	true	true	0
honour	honour	n1	honour	honour	0
never	never	av-x	never	never	0
ceasing	ceasing	vvg	ceasing	cease	0
.	.	.	.	.	1
Your	Your	po22	Your	your	0
Worships	Worships	ng1	Worships	worship	0
Parents	Parents	n2	Parents	parent	0
were	were	vbdr	were	be	0
so	so	av	so	so	0
well	well	av	well	well	0
known	known	vvn	known	know	0
by	by	p-acp	by	by	0
me	me	pno11	me	i	0
,	,	,	,	,	0
That	That	cst	That	that	0
I'm	I'm	pns11|vbm	I'm	I|be	0
bold	bold	j	bold	bold	0
to	to	pc-acp	to	to	0
show	show	vvi	show	show	0
them	them	pno32	them	they	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
fourth	fourth	ord	fourth	four	0
Degree	Degree	n1	Degree	degree	0
,	,	,	,	,	0
These	These	d	These	these	0
worthy	worthy	j	worthy	worthy	0
Families	Families	n2	Families	family	0
I	I	pns11	I	i	0
must	must	vmb	must	must	0
needs	needs	av	needs	needs	0
commend	commend	vvi	commend	commend	0
,	,	,	,	,	0
From	From	p-acp	From	from	0
whom	whom	ro-crq	whom	who	0
Sir	Sir	n1	Sir	sir	0
William	William	np1	William	William	0
Elliot	Elliot	np1	Elliot	Elliot	0
of	of	pp-f	of	of	0
Stobs	Stobs	np1	Stobs	Stobs	0
did	did	vdd	did	do	0
descend	descend	vvi	descend	descend	0
:	:	:	:	:	0
I	I	pns11	I	i	0
here	here	av	here	here	0
set	set	vvd	set	set	0
down	down	a-acp	down	down	0
the	the	dt	the	the	0
number	number	n1	number	number	0
what	what	r-crq	what	what	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
.	.	.	.	.	1
And	And	cc	And	and	0
then	then	av	then	then	0
I'le	I'le	pns11|vmb	I'll	I|will	0
nominate	nominate	vvi	nominate	nominate	0
them	them	pno32	them	they	0
in	in	p-acp	in	in	0
particular	particular	j	particular	particular	0
.	.	.	.	.	1
Thy	Thy	po21	Thy	thy	0
thirty	thirty	crd	thirty	thirty	0
Ancestors	Ancestors	n2	Ancestors	ancestor	0
I	I	pns11	I	i	0
would	would	vmd	would	will	0
have	have	vhi	have	have	0
men	men	n2	men	man	0
to	to	pc-acp	to	to	0
ken	ken	vvi	ken	ken	0
,	,	,	,	,	0
Thy	Thy	po21	Thy	thy	0
eight	eight	crd	eight	eight	0
great	great	j	great	great	0
Grandsirs	Grandsirs	n2	Grandsires	grandsire	0
,	,	,	,	,	0
and	and	cc	and	and	0
thy	thy	po21	thy	thy	0
eight	eight	crd	eight	eight	0
great	great	j	great	great	0
Grandames	Grandames	n2	Grandames	grandame	0
,	,	,	,	,	0
Thy	Thy	po21	Thy	thy	0
Grandsirs	Grandsirs	n2	Grandsires	grandsire	0
and	and	cc	and	and	0
Grandames	Grandames	n2	Grandames	grandame	0
eight	eight	crd	eight	eight	0
,	,	,	,	,	0
that	that	cst	that	that	0
makes	makes	vvz	makes	make	0
twenty	twenty	crd	twenty	twenty	0
four	four	crd	four	four	0
,	,	,	,	,	0
Thy	Thy	po21	Thy	thy	0
Goodsirs	Goodsirs	n2	Goodsirs	goodsir	0
and	and	cc	and	and	0
Goodames	Goodames	n2	Goodames	goodame	0
four	four	crd	four	four	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
Father	Father	n1	Father	father	0
and	and	cc	and	and	0
Mother	Mother	n1	Mother	mother	0
,	,	,	,	,	0
Thy	Thy	po21	Thy	thy	0
thirty	thirty	crd	thirty	thirty	0
Ancestors	Ancestors	n2	Ancestors	ancestor	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
set	set	vvn	set	set	0
down	down	a-acp	down	down	0
,	,	,	,	,	0
And	And	cc	And	and	0
thou	thou	pns21	thou	thou	0
thy	thy	po21	thy	thy	0
self	self	n1	self	self	0
makes	makes	vvz	makes	make	0
thirty	thirty	crd	thirty	thirty	0
and	and	cc	and	and	0
one	one	crd	one	one	0
;	;	;	;	;	0
This	This	d	This	this	0
true	true	j	true	true	0
account	account	n1	account	account	0
from	from	p-acp	from	from	0
whence	whence	c-crq	whence	whence	0
your	your	po22	your	your	0
worship	worship	n1	worship	worship	0
sprung	sprung	vvn	sprung	spring	0
,	,	,	,	,	0
Is	Is	vbz	Is	be	0
just	just	j	just	just	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
sourth	sourth	ord	sourth	four	0
Generation	Generation	n1	Generation	generation	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Kin	Kin	n1	Kin	kin	0
:	:	:	:	:	0
Thy	Thy	po21	Thy	thy	0
first	first	ord	first	first	0
great	great	j	great	great	0
Grandsir	Grandsir	n1	Grandsir	grandsire	0
and	and	cc	and	and	0
Grandam	Grandam	n1	Grandam	grandam	0
,	,	,	,	,	0
it's	it's	pn31|vbz	it's	it|be	0
of	of	pp-f	of	of	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
Was	Was	vbds	Was	be	0
Elliot	Elliot	np1	Elliot	Elliot	0
of	of	pp-f	of	of	0
Lariston	Lariston	np1	Lariston	Lariston	0
,	,	,	,	,	0
and	and	cc	and	and	0
Scot	Scot	n1	Scot	scot	0
of	of	pp-f	of	of	0
Buckcleugh	Buckcleugh	np1	Buckcleugh	Buckcleugh	0
,	,	,	,	,	0
To	To	p-acp	To	to	0
thy	thy	po21	thy	thy	0
second	second	ord	second	second	0
great	great	j	great	great	0
Grandsir	Grandsir	n1	Grandsir	grandsire	0
and	and	cc	and	and	0
Grandam	Grandam	n1	Grandam	grandam	0
now	now	av	now	now	0
I	I	pns11	I	i	0
trot	trot	vvi	trot	trot	0
,	,	,	,	,	0
They	They	pns32	They	they	0
were	were	vbdr	were	be	0
Scot	Scot	n1	Scot	scot	0
of	of	pp-f	of	of	0
Hardin	Hardin	np1	Hardin	Hardin	0
,	,	,	,	,	0
and	and	cc	and	and	0
Scot	Scot	n1	Scot	scot	0
of	of	pp-f	of	of	0
Dryhop	Dryhop	n1	Dryhop	dryhop	0
;	;	;	;	;	0
Thy	Thy	po21	Thy	thy	0
third	third	ord	third	three	0
great	great	j	great	great	0
Grandsir	Grandsir	n1	Grandsir	grandsire	0
and	and	cc	and	and	0
Grandam	Grandam	n1	Grandam	grandam	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
name	name	n1	name	name	0
,	,	,	,	,	0
Was	Was	vbds	Was	be	0
Dowglas	Dowglas	np1	Dowglas	Dowglas	0
of	of	pp-f	of	of	0
Cavers	Cavers	np1	Cavers	Cavers	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
Sister	Sister	n1	Sister	sister	0
of	of	pp-f	of	of	0
Cranston	Cranston	np1	Cranston	Cranston	0
,	,	,	,	,	0
Thy	Thy	po21	Thy	thy	0
fourth	fourth	ord	fourth	four	0
great	great	j	great	great	0
Grandsir	Grandsir	n1	Grandsir	grandsire	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
name	name	n1	name	name	0
,	,	,	,	,	0
Was	Was	vbds	Was	be	0
Dowglas	Dowglas	np1	Dowglas	Dowglas	0
the	the	dt	the	the	0
Laird	Laird	np1	Laird	Laird	0
of	of	pp-f	of	of	0
Whittinghame	Whittinghame	np1	Whittinghame	Whittinghame	0
,	,	,	,	,	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
not	not	xx	not	not	0
certain	certain	j	certain	certain	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
have	have	vhb	have	have	0
heard	heard	vvn	herd	hear	0
some	some	d	some	some	0
mean	mean	n1	mean	mean	0
,	,	,	,	,	0
He	He	pns31	He	he	0
was	was	vbds	was	be	0
married	married	vvn	married	marry	0
to	to	p-acp	to	to	0
Hepburn	Hepburn	np1	Hepburn	Hepburn	0
a	a	dt	a	a	0
daughter	daughter	n1	daughter	daughter	0
of	of	pp-f	of	of	0
Waughton	Waughton	np1	Waughton	Waughton	0
;	;	;	;	;	0
Thy	Thy	po21	Thy	thy	0
fifth	fifth	ord	fifth	five	0
great	great	j	great	great	0
Grandsir	Grandsir	n1	Grandsir	grandsire	0
to	to	p-acp	to	to	0
whom	whom	ro-crq	whom	who	0
I	I	pns11	I	i	0
flee	flee	vvb	flee	flee	0
,	,	,	,	,	0
Was	Was	vbds	Was	be	0
Sir	Sir	n1	Sir	sir	0
Iohn	Iohn	np1	Iohn	John	0
of	of	pp-f	of	of	0
Cranston	Cranston	np1	Cranston	Cranston	0
,	,	,	,	,	0
and	and	cc	and	and	0
Ramsey	Ramsey	np1	Ramsey	Ramsey	0
of	of	pp-f	of	of	0
Dalhousie	Dalhousie	np1	Dalhousie	Dalhousie	0
;	;	;	;	;	0
Thy	Thy	po21	Thy	thy	0
sixth	sixth	ord	sixth	six	0
great	great	j	great	great	0
Grandsir	Grandsir	n1	Grandsir	grandsire	0
and	and	cc	and	and	0
Grandam	Grandam	n1	Grandam	grandam	0
I	I	pns11	I	i	0
set	set	vvb	set	set	0
down	down	a-acp	down	down	0
,	,	,	,	,	0
Was	Was	vbds	Was	be	0
Cranston	Cranston	np1	Cranston	Cranston	0
of	of	pp-f	of	of	0
Moriston	Moriston	np1	Moriston	Moriston	0
,	,	,	,	,	0
and	and	cc	and	and	0
Cockburn	Cockburn	np1	Cockburn	Cockburn	0
of	of	pp-f	of	of	0
Lanton	Lanton	np1	Lanton	Lanton	0
,	,	,	,	,	0
Thy	Thy	po21	Thy	thy	0
seventh	seventh	ord	seventh	seven	0
great	great	j	great	great	0
Grandsir	Grandsir	n1	Grandsir	grandsire	0
and	and	cc	and	and	0
Grandam	Grandam	n1	Grandam	grandam	0
I	I	pns11	I	i	0
reveal	reveal	vvb	reveal	reveal	0
,	,	,	,	,	0
Was	Was	vbds	Was	be	0
Lord	Lord	n1	Lord	lord	0
Seton	Seton	np1	Seton	Seton	0
of	of	pp-f	of	of	0
Seton	Seton	np1	Seton	Seton	0
,	,	,	,	,	0
and	and	cc	and	and	0
Maxwel	Maxwel	np1	Maxwel	Maxwel	0
of	of	pp-f	of	of	0
Maxwel	Maxwel	np1	Maxwel	Maxwel	0
,	,	,	,	,	0
Thy	Thy	po21	Thy	thy	0
eight	eight	crd	eight	eight	0
great	great	j	great	great	0
Grandsir	Grandsir	n1	Grandsir	grandsire	0
and	and	cc	and	and	0
Grandam	Grandam	n1	Grandam	grandam	0
no	no	av-dx	no	no	0
less	less	av-dc	less	less	0
,	,	,	,	,	0
Then	Then	cs	Then	than	0
Earl	Earl	n1	Earl	earl	0
Bothwel	Bothwel	np1	Bothwel	Bothwel	0
and	and	cc	and	and	0
Dowglas	Dowglas	np1	Dowglas	Dowglas	0
sister	sister	n1	sister	sister	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Earl	Earl	n1	Earl	earl	0
Angus	Angus	np1	Angus	Angus	0
.	.	.	.	.	1
Now	Now	av	Now	now	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
first	first	ord	first	first	0
Grandsir	Grandsir	n1	Grandsir	grandsire	0
and	and	cc	and	and	0
Grandam	Grandam	n1	Grandam	grandam	0
I	I	pns11	I	i	0
come	come	vvb	come	come	0
,	,	,	,	,	0
Elliot	Elliot	np1	Elliot	Elliot	0
of	of	pp-f	of	of	0
Stobs	Stobs	np1	Stobs	Stobs	0
,	,	,	,	,	0
and	and	cc	and	and	0
Scot	Scot	n1	Scot	scot	0
of	of	pp-f	of	of	0
Hardin	Hardin	np1	Hardin	Hardin	0
;	;	;	;	;	0
To	To	p-acp	To	to	0
the	the	dt	the	the	0
second	second	ord	second	second	0
Grandsir	Grandsir	n1	Grandsir	grandsire	0
and	and	cc	and	and	0
Grandam	Grandam	n1	Grandam	grandam	0
now	now	av	now	now	0
I	I	pns11	I	i	0
run	run	vvb	run	run	0
,	,	,	,	,	0
Sir	Sir	n1	Sir	sir	0
William	William	np1	William	William	0
of	of	pp-f	of	of	0
Cavers	Cavers	np1	Cavers	Cavers	0
,	,	,	,	,	0
and	and	cc	and	and	0
Dowglas	Dowglas	np1	Dowglas	Dowglas	0
of	of	pp-f	of	of	0
Whittinghame	Whittinghame	np1	Whittinghame	Whittinghame	0
;	;	;	;	;	0
Thy	Thy	po21	Thy	thy	0
third	third	ord	third	three	0
Grandsir	Grandsir	n1	Grandsir	grandsire	0
and	and	cc	and	and	0
Grandam	Grandam	n1	Grandam	grandam	0
I	I	pns11	I	i	0
must	must	vmb	must	must	0
proclaim	proclaim	vvi	proclaim	proclaim	0
,	,	,	,	,	0
Was	Was	vbds	Was	be	0
William	William	np1	William	William	0
Lord	Lord	n1	Lord	lord	0
Cranston	Cranston	np1	Cranston	Cranston	0
,	,	,	,	,	0
and	and	cc	and	and	0
Sarah	Sarah	np1	Sarah	Sarah	0
daughter	daughter	n1	daughter	daughter	0
to	to	p-acp	to	to	0
Sir	Sir	n1	Sir	sir	0
Iohn	Iohn	np1	Iohn	John	0
:	:	:	:	:	0
Thy	Thy	po21	Thy	thy	0
fourth	fourth	ord	fourth	four	0
Grandsir	Grandsir	n1	Grandsir	grandsire	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
Coldinghame	Coldinghame	np1	Coldinghame	Coldinghame	0
.	.	.	.	.	1
Now	Now	av	Now	now	0
to	to	p-acp	to	to	0
thy	thy	po21	thy	thy	0
