THou	THou	pns21	THou	thou	0
City	City	n1	City	city	0
of	of	pp-f	of	of	0
London	London	np1	London	London	0
,	,	,	,	,	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
one	one	pi	one	one	0
of	of	pp-f	of	of	0
thy	thy	po21	thy	thy	0
sons	sons	n2	sons	son	0
by	by	p-acp	by	by	0
freedome	freedome	n1	freedom	freedom	0
,	,	,	,	,	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
do	do	vdb	do	do	0
truly	truly	av-j	truly	true	0
love	love	vvi	love	love	0
thy	thy	po21	thy	thy	0
peace	peace	n1	peace	peace	0
;	;	;	;	;	0
while	while	cs	while	while	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
an	an	dt	and	a	0
estate	estate	n1	estate	estate	0
in	in	p-acp	in	in	0
thee	thee	pno21	thee	thou	0
,	,	,	,	,	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
free	free	j	free	free	0
to	to	pc-acp	to	to	0
offer	offer	vvi	offer	offer	0
my	my	po11	my	my	0
Mite	Mite	n1	Mite	mite	0
into	into	p-acp	into	into	0
thy	thy	po21	thy	thy	0
publike	publike	j	public	public	0
Treasury	Treasury	n1	Treasury	treasury	0
Guild-hall	Guild-hall	np1	Guild-hall	Guildhall	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
preservation	preservation	n1	preservation	preservation	0
to	to	p-acp	to	to	0
thee	thee	pno21	thee	thou	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
Land	Land	n1	Land	land	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
by	by	p-acp	by	by	0
thy	thy	po21	thy	thy	0
cheating	cheating	vvg	cheating	cheat	0
sons	sons	n2	sons	son	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
theeving	theeving	vvg	thieving	thieve	0
art	art	n1	art	art	0
of	of	pp-f	of	of	0
buying	buying	vvg	buying	buy	0
and	and	cc	and	and	0
sel	sel	vvd	sell	fall	0
∣	∣	sy	∣	∣	0
ling	ling	n1	ling	ling	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
burdens	burdens	n2	burdens	burden	0
of	of	pp-f	of	of	0
,	,	,	,	,	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Souldiery	Souldiery	n1	Soldiery	soldiery	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
beginning	beginning	n-vvg	beginning	begin	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
war	war	n1	war	war	0
,	,	,	,	,	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
beaten	beaten	vvn	beaten	beat	0
out	out	av	out	out	0
both	both	d	both	both	0
of	of	pp-f	of	of	0
estate	estate	n1	estate	estate	0
and	and	cc	and	and	0
trade	trade	n1	trade	trade	0
,	,	,	,	,	0
and	and	cc	and	and	0
forced	forced	vvd	forced	force	0
to	to	pc-acp	to	to	0
accept	accept	vvi	accept	accept	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
good	good	j	good	good	0
will	will	n1	will	will	0
of	of	pp-f	of	of	0
friends	friends	n2	friends	friend	0
crediting	crediting	vvg	crediting	credit	0
of	of	pp-f	of	of	0
me	me	pno11	me	i	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
live	live	vvi	live	live	0
a	a	dt	a	a	0
Countrey-life	Countrey-life	n1	Country-life	country-life	0
,	,	,	,	,	0
and	and	cc	and	and	0
there	there	a-acp	there	there	0
likewise	likewise	av	likewise	likewise	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
burthen	burthen	n1	burden	burden	0
of	of	pp-f	of	of	0
Taxes	Taxes	n2	Taxes	tax	0
and	and	cc	and	and	0
much	much	d	much	much	0
Free-quarter	Free-quarter	n1	Freequarter	freequarter	0
,	,	,	,	,	0
my	my	po11	my	my	0
weak	weak	j	weak	weak	0
back	back	n1	back	back	0
found	found	vvd	found	find	0
the	the	dt	the	the	0
burthen	burthen	n1	burden	burden	0
heavier	heavier	jc	heavier	heavy	0
then	then	cs	then	than	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
bear	bear	vvi	bear	bear	0
;	;	;	;	;	0
yet	yet	av	yet	yet	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
the	the	dt	the	the	0
passages	passages	n2	passages	passage	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
eight	eight	crd	eight	eight	0
yeers	yeers	ng2	years	year	0
troubles	troubles	n2	troubles	trouble	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
willing	willing	j	willing	willing	0
to	to	pc-acp	to	to	0
lay	lay	vvi	lay	lay	0
out	out	av	out	out	0
what	what	q-crq	what	what	0
my	my	po11	my	my	0
Talent	Talent	n1	Talon	talon	0
was	was	vbds	was	be	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
procure	procure	vvi	procure	procure	0
En	En	fw-fr	En	en	0
∣	∣	sy	∣	∣	0
glands	glands	n2	glands	gland	0
peace	peace	n1	peace	peace	0
inward	inward	j	inward	inward	0
and	and	cc	and	and	0
outward	outward	j	outward	outward	0
,	,	,	,	,	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
all	all	d	all	all	0
along	along	a-acp	along	along	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
found	found	vvn	found	find	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
in	in	p-acp	in	in	0
words	words	n2	words	word	0
have	have	vhb	have	have	0
professed	professed	vvn	professed	profess	0
the	the	dt	the	the	0
same	same	d	same	same	0
cause	cause	n1	cause	cause	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
enemies	enemies	n2	enemies	enemy	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
.	.	.	.	.	1
Not	Not	xx	Not	not	0
a	a	dt	a	a	0
full	full	j	full	full	0
yeere	yeere	n1	year	year	0
since	since	a-acp	since	since	0
,	,	,	,	,	0
being	being	vbg	being	be	0
quiet	quiet	j-jn	quiet	quiet	0
at	at	p-acp	at	at	0
my	my	po11	my	my	0
work	work	n1	work	work	0
,	,	,	,	,	0
my	my	po11	my	my	0
heart	heart	n1	heart	heart	0
was	was	vbds	was	be	0
filled	filled	vvn	filled	fill	0
with	with	p-acp	with	with	0
sweet	sweet	j	sweet	sweet	0
thoughts	thoughts	n2	thoughts	thought	0
,	,	,	,	,	0
and	and	cc	and	and	0
many	many	d	many	many	0
things	things	n2	things	thing	0
were	were	vbdr	were	be	0
revealed	revealed	vvn	revealed	reveal	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
never	never	av-x	never	never	0
read	read	vvd	read	read	0
in	in	p-acp	in	in	0
books	books	n2	books	book	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
heard	heard	vvd	herd	hear	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
mouth	mouth	n1	mouth	mouth	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
flesh	flesh	n1	flesh	flesh	0
,	,	,	,	,	0
and	and	cc	and	and	0
when	when	c-crq	when	when	0
I	I	pns11	I	i	0
began	began	vvd	began	begin	0
to	to	pc-acp	to	to	0
speak	speak	vvi	speak	speak	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
,	,	,	,	,	0
some	some	d	some	some	0
peo	peo	fw-la	peo	peo	0
∣	∣	sy	∣	∣	0
ple	ple	n1	ple	ple	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
bear	bear	vvi	bear	bear	0
my	my	po11	my	my	0
words	words	n2	words	word	0
,	,	,	,	,	0
