NOble	NOble	j	NOble	noble	0
and	and	cc	and	and	0
mighty	mighty	j	mighty	mighty	0
Lords	Lords	n2	Lords	lord	0
,	,	,	,	,	0
I	I	pns11	I	i	0
present	present	vvb	present	present	0
un	un	fw-fr	un	un	0
∣	∣	sy	∣	∣	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Lordships	Lordships	n2	Lordship's	lordship	0
a	a	dt	a	a	0
little	little	j	little	little	0
Book	Book	n1	Book	book	0
;	;	;	;	;	0
or	or	cc	or	or	0
ra	ra	zz	ra	ra	0
∣	∣	sy	∣	∣	0
ther	ther	zz	ther	ther	0
it	it	pn31	it	it	0
presents	presents	vvz	presents	present	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
though	though	cs	though	though	0
the	the	dt	the	the	0
quantity	quantity	n1	quantity	quantity	0
thereof	thereof	av	thereof	thereof	0
bee	bee	vbi	be	be	0
very	very	av	very	very	0
small	small	j	small	small	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
being	being	vbg	being	be	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
great	great	j	great	great	0
quality	quality	n1	quality	quality	0
,	,	,	,	,	0
and	and	cc	and	and	0
altoge	altoge	n1	altoge	altoge	0
∣	∣	sy	∣	∣	0
ther	ther	dt	there	the	0
appropiate	appropiate	vvi	appropiate	appropiate	0
unto	unto	p-acp	unto	unto	0
your	your	po22	your	your	0
Lordships	Lordships	n2	Lordship's	lordship	0
;	;	;	;	;	0
for	for	p-acp	for	for	0
it	it	pn31	it	it	0
maintaineth	maintaineth	vvz	maintaineth	maintain	0
your	your	po22	your	your	0
command	command	n1	command	command	0
,	,	,	,	,	0
your	your	po22	your	your	0
Right	Right	n-jn	Right	right	0
and	and	cc	and	and	0
Soveraignty	Soveraignty	n1	Sovereignty	sovereignty	0
.	.	.	.	.	1
The	The	dt	The	the	0
scope	scope	n1	scope	scope	0
and	and	cc	and	and	0
drift	drift	n1	drift	drift	0
thereof	thereof	av	thereof	thereof	0
is	is	vbz	is	be	0
to	to	p-acp	to	to	0
demon	demon	n1	demon	daemon	0
∣	∣	sy	∣	∣	0
strate	strate	n1	strate	strate	0
and	and	cc	and	and	0
prove	prove	vvi	prove	prove	0
,	,	,	,	,	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
cursively	cursively	av-j	cursively	cursive	0
,	,	,	,	,	0
and	and	cc	and	and	0
running	running	vvg	running	run	0
over	over	p-acp	over	over	0
the	the	dt	the	the	0
times	times	n2	times	time	0
past	past	j	past	past	0
,	,	,	,	,	0
even	even	av	even	even	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
beginning	beginning	n-vvg	beginning	begin	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
so	so	av	so	so	0
famous	famous	j	famous	famous	0
Nation	Nation	n1	Nation	nation	0
,	,	,	,	,	0
unto	unto	p-acp	unto	unto	0
this	this	d	this	this	0
very	very	j	very	very	0
