CONSIDERYNG	CONSIDERYNG	vvg	CONSIDERING	considere	0
with	with	p-acp	with	with	0
my	my	po11	my	my	0
self	self	n1	self	self	0
,	,	,	,	,	0
how	how	c-crq	how	how	0
greatelye	greatelye	av-j	greatly	great	0
wee	wee	pns12	we	we	0
are	are	vbr	are	be	0
bounde	bounde	vvn	bound	bind	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
render	render	vvi	render	render	0
thanks	thanks	n2	thanks	thank	0
vnto	vnto	p-acp	unto	unto	0
God	God	np1	God	God	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
great	great	j	great	great	0
benefits	benefits	n2	benefits	benefit	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
bestowed	bestowed	vvn	bestowed	bestow	0
vpon	vpon	p-acp	upon	upon	0
vs	vs	pno12	us	we	0
:	:	:	:	:	0
whiche	whiche	r-crq	which	which	0
benefits	benefits	n2	benefits	benefit	0
are	are	vbr	are	be	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
finit	finit	j	finit	finit	0
,	,	,	,	,	0
and	and	cc	and	and	0
wee	wee	pns12	we	we	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
yeelde	yeelde	vvi	yield	yield	0
vnto	vnto	p-acp	unto	unto	0
him	him	pno31	him	he	0
,	,	,	,	,	0
prayse	prayse	n1	praise	praise	0
,	,	,	,	,	0
honour	honour	n1	honour	honour	0
and	and	cc	and	and	0
glory	glory	n1	glory	glory	0
,	,	,	,	,	0
so	so	av	so	so	0
much	much	av-d	much	much	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
deser	deser	n1	desert	desert	0
∣	∣	sy	∣	∣	0
ueth	ueth	n1	ueth	ueth	0
,	,	,	,	,	0
whiche	whiche	r-crq	which	which	0
thinge	thinge	n1	thing	thing	0
I	I	pns11	I	i	0
did	did	vdd	did	do	0
well	well	av	well	well	0
perpend	perpend	vvb	perpend	perpend	0
,	,	,	,	,	0
therfore	therfore	av	therefore	therefore	0
I	I	pns11	I	i	0
thought	thought	vvd	thought	think	0
it	it	pn31	it	it	0
meete	meete	j	meet	meet	0
to	to	pc-acp	to	to	0
practise	practise	vvi	practise	practise	0
my	my	po11	my	my	0
pen	pen	n1	pen	pen	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
exercise	exercise	n1	exercise	exercise	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
litle	litle	j	little	little	0
talēt	talēt	n1	talon	talent	0
which	which	r-crq	which	which	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
lent	lent	vvn	lent	lend	0
vnto	vnto	p-acp	unto	unto	0
mee	mee	pno11	me	i	0
:	:	:	:	:	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
augmenting	augmenting	vvg	augmenting	augment	0
of	of	pp-f	of	of	0
Vertue	Vertue	n1	Virtue	virtue	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
abrogate	abrogate	vvi	abrogate	abrogate	0
vice	vice	n1	vice	vice	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
moo	moo	av	moo	moo	0
∣	∣	sy	∣	∣	0
ued	ued	zz	ued	ued	0
to	to	p-acp	to	to	0
diuulgate	diuulgate	vvi	divulgate	divulgate	0
,	,	,	,	,	0
or	or	cc	or	or	0
set	set	vvd	set	set	0
foorth	foorth	av	forth	forth	0
this	this	d	this	this	0
simple	simple	j	simple	simple	0
woorke	woorke	n1	work	work	0
,	,	,	,	,	0
accordinge	accordinge	vvg	according	accord	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
literature	literature	n1	literature	literature	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
far	far	av-j	far	far	0
as	as	c-acp	as	as	0
my	my	po11	my	my	0
capacitie	capacitie	n1	capacity	capacity	0
was	was	vbds	was	be	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
compasse	compasse	vvi	compass	compass	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
I	I	pns11	I	i	0
beyng	beyng	vbg	being	be	0
wholy	wholy	av-jn	wholly	whole	0
drowned	drowned	vvn	drowned	drown	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Lake	Lake	n1	Lake	lake	0
of	of	pp-f	of	of	0
ignorance	ignorance	n1	ignorance	ignorance	0
,	,	,	,	,	0
had	had	vhd	had	have	0
no	no	dx	no	no	0
∣	∣	sy	∣	∣	0
thing	thing	n1	thing	thing	0
more	more	av-dc	more	more	0
precious	precious	j	precious	precious	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
present	present	vvi	present	present	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
this	this	d	this	this	0
the	the	dt	the	the	0
paterne	paterne	n1	pattern	pattern	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
simplicitie	simplicitie	n1	simplicity	simplicity	0
,	,	,	,	,	0
whiche	whiche	r-crq	which	which	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
lent	lent	vvn	lent	lend	0
vnto	vnto	p-acp	unto	unto	0
mee	mee	pno11	me	i	0
.	.	.	.	.	1
I	I	pns11	I	i	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
much	much	d	much	much	0
more	more	av-dc	more	more	0
imboldened	imboldened	vvn	emboldened	embolden	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
dedi	dedi	fw-la	dedi	dedi	0
∣	∣	sy	∣	∣	0
cate	cate	zz	cate	cate	0
this	this	d	this	this	0
simple	simple	j	simple	simple	0
worke	worke	n1	work	work	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
sith	sith	c-acp	sith	sith	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
knowen	knowen	vvn	known	know	0
your	your	po22	your	your	0
zelous	zelous	j	zealous	zealous	0
affection	affection	n1	affection	affection	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
yet	yet	av	yet	yet	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
euer	euer	av	ever	ever	0
borne	borne	vvn	born	bear	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
encrease	encrease	n1	increase	increase	0
of	of	pp-f	of	of	0
learnyng	learnyng	n1	learning	learning	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
your	your	po22	your	your	0
stu	stu	fw-la	stu	stu	0
∣	∣	sy	∣	∣	0
die	die	n1	die	die	0
hath	hath	vhz	hath	have	0
euer	euer	av	ever	ever	0
bin	bin	vbn	been	be	0
prest	prest	vvn	pressed	press	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
serche	serche	vvi	search	search	0
and	and	cc	and	and	0
looke	looke	vvi	look	look	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
preseruation	preseruation	n1	preservation	preservation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
.	.	.	.	.	1
And	And	cc	And	and	0
moreouer	moreouer	av	moreover	moreover	0
because	because	c-acp	because	because	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
a	a	dt	a	a	0
good	good	j	good	good	0
hope	hope	n1	hope	hope	0
and	and	cc	and	and	0
affection	affection	n1	affection	affection	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
woulde	woulde	vmd	would	will	0
as	as	a-acp	as	as	0
well	well	av	well	well	0
esteeme	esteeme	vvi	esteem	esteem	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
my	my	po11	my	my	0
sim	sim	fw-la	sim	sim	0
∣	∣	sy	∣	∣	0
ple	ple	n1	ple	ple	0
woorke	woorke	n1	work	work	0
,	,	,	,	,	0
beyng	beyng	vbg	being	be	0
the	the	dt	the	the	0
first	first	ord	first	first	0
fru	fru	fw-fr	fru	fru	0
∣	∣	sy	∣	∣	0
tes	tes	fw-fr	tes	tes	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
labour	labour	n1	labour	labour	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
though	though	cs	though	though	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
a	a	dt	a	a	0
greate	greate	j	great	great	0
deale	deale	n1	deal	deal	0
more	more	av-dc	more	more	0
bet	bet	vvn	bet	bet	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
.	.	.	.	.	1
And	And	np1	And	And	0
according	according	vvg	according	accord	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
per	per	fw-la	per	per	0
∣	∣	sy	∣	∣	0
ceiue	ceiue	n1	ceiue	ceiue	0
and	and	cc	and	and	0
vnderstand	vnderstand	vvb	understand	understand	0
how	how	c-crq	how	how	0
that	that	d	that	that	0
you	you	pn22	you	you	0
doo	doo	vdb	do	do	0
take	take	vvi	take	take	0
this	this	d	this	this	0
simple	simple	j	simple	simple	0
woorke	woorke	n1	work	work	0
being	being	vbg	being	be	0
presented	presented	vvn	presented	present	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
it	it	pn31	it	it	0
wil	wil	vmb	will	will	0
animate	animate	vvi	animate	animate	0
and	and	cc	and	and	0
encourage	encourage	vvi	encourage	encourage	0
me	me	pno11	me	i	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
employ	employ	vvi	employ	employ	0
my	my	po11	my	my	0
studie	studie	n1	study	study	0
,	,	,	,	,	0
more	more	av-dc	more	more	0
then	then	cs	then	than	0
yet	yet	av	yet	yet	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
doone	doone	vdn	done	do	0
hitherto	hitherto	av	hitherto	hitherto	0
.	.	.	.	.	1
And	And	cc	And	and	0
although	although	cs	although	although	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
want	want	vvb	want	want	0
the	the	dt	the	the	0
flow	flow	n1	flow	flow	0
∣	∣	sy	∣	∣	0
ers	ers	n1	ers	ers	0
of	of	pp-f	of	of	0
rethorike	rethorike	n1	rhetoric	rhetoric	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
beutyfi	beutyfi	n2	beutyfi	beutyfi	0
and	and	cc	and	and	0
set	set	vvi	set	set	0
forth	forth	av	forth	forth	0
this	this	d	this	this	0
simple	simple	j	simple	simple	0
worke	worke	n1	work	work	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
desyre	desyre	vvi	desire	desire	0
ye	ye	pn22	you	you	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
don	don	vdn	dONE	do	0
before	before	a-acp	before	before	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
accept	accept	vvi	accept	accept	0
it	it	pn31	it	it	0
:	:	:	:	:	0
and	and	cc	and	and	0
if	if	cs	if	if	0
that	that	cst	that	that	0
any	any	d	any	any	0
fault	fault	n1	fault	fault	0
you	you	pn22	you	you	0
