GEntlemen	GEntlemen	n2	GEntlemen	gentleman	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
so	so	av	so	so	0
you	you	pn22	you	you	0
all	all	d	all	all	0
write	write	vvb	write	write	0
your	your	po22	your	your	0
selves	selves	n2	selves	self	0
;	;	;	;	;	0
and	and	cc	and	and	0
indeed	indeed	av	indeed	indeed	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
your	your	po22	your	your	0
own	own	d	own	own	0
Heralds	Heralds	n2	Heralds	herald	0
,	,	,	,	,	0
and	and	cc	and	and	0
Blazon	Blazon	n1	Blazon	blazon	0
all	all	av-d	all	all	0
your	your	po22	your	your	0
Coats	Coats	n2	Coats	coat	0
with	with	p-acp	with	with	0
Honour	Honour	n1	Honour	honour	0
and	and	cc	and	and	0
Loyalty	Loyalty	n1	Loyalty	loyalty	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
Supporters	Supporters	n2	Supporters	supporter	0
;	;	;	;	;	0
nay	nay	uh-x	nay	nay	0
,	,	,	,	,	0
and	and	cc	and	and	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
so	so	av	so	so	0
unconscionable	unconscionable	j	unconscionable	unconscionable	0
too	too	av	too	too	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
point	point	n1	point	point	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
allow	allow	vvi	allow	allow	0
neither	neither	dx	neither	neither	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
in	in	p-acp	in	in	0
any	any	d	any	any	0
other	other	j-jn	other	other	0
Scutcheons	Scutcheons	n2	Scutcheons	scutcheon	0
but	but	p-acp	but	but	0
your	your	po22	your	your	0
own	own	d	own	own	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
who	who	r-crq	who	who	0
has	has	vhz	has	have	0
'em	'em	pno32	they	they	0
,	,	,	,	,	0
or	or	cc	or	or	0
has	has	vhz	has	have	0
'em	'em	pno32|av	they	they|so	0
not	not	xx	not	not	0
,	,	,	,	,	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
my	my	po11	my	my	0
present	present	j	present	present	0
business	business	n1	business	business	0
;	;	;	;	;	0
onely	onely	av-j	only	only	0
