KIng	KIng	n1	KIng	king	0
Henry	Henry	np1	Henry	Henry	0
the	the	dt	the	the	0
Second	Second	ord	Second	second	0
(	(	(	(	(	0
my	my	po11	my	my	0
most	most	av-ds	most	most	0
hono	hono	fw-it	hono	hono	0
∣	∣	sy	∣	∣	0
rable	rable	n1	rabble	rabble	0
good	good	j	good	good	0
Lord	Lord	n1	Lord	lord	0
)	)	)	)	)	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
first	first	ord	first	first	0
King	King	n1	King	king	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
after	after	p-acp	after	after	0
the	the	dt	the	the	0
Norman	Norman	jp	Norman	norman	0
Conquest	Conquest	n1	Conquest	conquest	0
,	,	,	,	,	0
that	that	cst	that	that	0
was	was	vbds	was	be	0
styled	styled	vvn	styled	style	0
Lord	Lord	n1	Lord	lord	0
of	of	pp-f	of	of	0
Ireland	Ireland	np1	Ireland	Ireland	0
.	.	.	.	.	1
Yet	Yet	av	Yet	yet	0
are	are	vbr	are	be	0
there	there	pc-acp	there	there	0
no	no	dx	no	no	0
recordes	recordes	n2	records	record	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
kings	kings	ng1	kings	king	0
time	time	n1	time	time	0
remaining	remaining	vvg	remaining	remain	0
,	,	,	,	,	0
whereby	whereby	c-crq	whereby	whereby	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
appeare	appeare	vvi	appear	appear	0
,	,	,	,	,	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
establi	establi	vvn	establi	establi	0
∣	∣	sy	∣	∣	0
shed	shed	vvb	shed	shed	0
any	any	d	any	any	0
forme	forme	n1	form	form	0
of	of	pp-f	of	of	0
Civill	Civill	j	Civil	civil	0
gouernment	gouernment	n1	government	government	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
land	land	n1	land	land	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
manifest	manifest	j	manifest	manifest	0
by	by	p-acp	by	by	0
many	many	d	many	many	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
cordes	cordes	n2	cords	cord	0
,	,	,	,	,	0
and	and	cc	and	and	0
stories	stories	n2	stories	story	0
,	,	,	,	,	0
that	that	cst	that	that	0
his	his	po31	his	his	0
sonne	sonne	n1	son	son	0
King	King	n1	King	king	0
Iohn	Iohn	np1	Iohn	John	0
made	made	vvd	made	make	0
the	the	dt	the	the	0
first	first	ord	first	first	0
division	division	n1	division	division	0
of	of	pp-f	of	of	0
Counties	Counties	n2	Counties	county	0
in	in	p-acp	in	in	0
Ireland	Ireland	np1	Ireland	Ireland	0
,	,	,	,	,	0
published	published	vvn	published	publish	0
the	the	dt	the	the	0
lawes	lawes	n2	laws	law	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
and	and	cc	and	and	0
commaunded	commaunded	vvd	commanded	command	0
the	the	dt	the	the	0
due	due	j-jn	due	due	0
execution	execution	n1	execution	execution	0
thereof	thereof	av	thereof	thereof	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
those	those	d	those	those	0
countries	countries	n2	countries	country	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
had	had	vhd	had	have	0
made	made	vvn	made	make	0
,	,	,	,	,	0
erected	erected	vvd	erected	erect	0
the	the	dt	the	the	0
Courts	Courts	n2	Courts	court	0
of	of	pp-f	of	of	0
Iustice	Iustice	n1	Justice	justice	0
,	,	,	,	,	0
made	made	vvd	made	make	0
the	the	dt	the	the	0
Stan	Stan	np1	Stan	Stan	0
∣	∣	sy	∣	∣	0
dard	dard	n1	dard	dard	0
of	of	pp-f	of	of	0
Irish	Irish	jp	Irish	irish	0
moneys	moneys	n2	moneys	money	0
equall	equall	vvb	equal	equal	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
English	English	jp	English	english	0
:	:	:	:	:	0
Breefely	Breefely	av-j	Briefly	brief	0
,	,	,	,	,	0
hee	hee	pns31	he	he	0
did	did	vdd	did	do	0
order	order	vvi	order	order	0
&	&	cc	&	and	0
settle	settle	vvi	settle	settle	0
the	the	dt	the	the	0
government	government	n1	government	government	0
heere	heere	av	here	here	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
pointes	pointes	n2	points	point	0
,	,	,	,	,	0
according	according	vvg	according	accord	0
