Gentlemen	Gentlemen	np1	Gentlemen	Gentlemen	0
,	,	,	,	,	0
I	I	pns11	I	i	0
Was	Was	vbds	Was	be	0
not	not	xx	not	not	0
ignorant	ignorant	j	ignorant	ignorant	0
when	when	c-crq	when	when	0
first	first	ord	first	first	0
I	I	pns11	I	i	0
undertook	undertook	vvd	undertook	undertake	0
this	this	d	this	this	0
task	task	n1	task	task	0
,	,	,	,	,	0
and	and	cc	and	and	0
busied	busied	vvd	busied	busy	0
my	my	po11	my	my	0
self	self	n1	self	self	0
to	to	pc-acp	to	to	0
compass	compass	vvi	compass	compass	0
this	this	d	this	this	0
Work	Work	n1	Work	work	0
,	,	,	,	,	0
how	how	c-crq	how	how	0
difficult	difficult	j	difficult	difficult	0
it	it	pn31	it	it	0
would	would	vmd	would	will	0
prove	prove	vvi	prove	prove	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
self	self	n1	self	self	0
;	;	;	;	;	0
what	what	r-crq	what	what	0
slender	slender	j	slender	slender	0
furtherances	furtherances	n2	furtherances	furtherance	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
to	to	pc-acp	to	to	0
accomplish	accomplish	vvi	accomplish	accomplish	0
the	the	dt	the	the	0
same	same	d	same	same	0
;	;	;	;	;	0
and	and	cc	and	and	0
how	how	c-crq	how	how	0
weak	weak	j	weak	weak	0
my	my	po11	my	my	0
own	own	d	own	own	0
abilities	abilities	n2	abilities	ability	0
were	were	vbdr	were	be	0
to	to	pc-acp	to	to	0
give	give	vvi	give	give	0
it	it	pn31	it	it	0
perfection	perfection	n1	perfection	perfection	0
:	:	:	:	:	0
Yet	Yet	av	Yet	yet	0
notwithstand	notwithstand	vvi	notwithstand	notwithstand	0
∣	∣	sy	∣	∣	0
ing	ing	n1	king	king	0
all	all	d	all	all	0
these	these	d	these	these	0
obstacles	obstacles	n2	obstacles	obstacle	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
duly	duly	av-jn	duly	due	0
consider'd	consider'd	vvn	considered	consider	0
the	the	dt	the	the	0
general	general	n1	general	general	0
want	want	vvb	want	want	0
there	there	a-acp	there	there	0
∣	∣	sy	∣	∣	0
of	of	pp-f	of	of	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
common	common	j	common	common	0
benefit	benefit	n1	benefit	benefit	0
and	and	cc	and	and	0
advantage	advantage	n1	advantage	advantage	0
that	that	cst	that	that	0
would	would	vmd	would	will	0
