MAN	MAN	n1	MAN	man	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
dignitie	dignitie	n1	dignity	dignity	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
creation	creation	n1	creation	creation	0
(	(	(	(	(	0
right	right	j-jn	right	right	0
woorshyp	woorshyp	n1	woorshyp	woorshyp	0
∣	∣	sy	∣	∣	0
full	full	av-j	full	full	0
,	,	,	,	,	0
and	and	cc	and	and	0
my	my	po11	my	my	0
very	very	j	very	very	0
good	good	j	good	good	0
Pa	Pa	wd	Pa	pa	0
∣	∣	sy	∣	∣	0
trons	trons	n2	trons	tron	0
)	)	)	)	)	0
hath	hath	vhz	hath	have	0
this	this	d	this	this	0
excellent	excellent	j	excellent	excellent	0
denomination	denomination	n1	denomination	denomination	0
,	,	,	,	,	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
termed	termed	vvn	termed	term	0
,	,	,	,	,	0
a	a	dt	a	a	0
litle	litle	j	little	little	0
world	world	n1	world	world	0
within	within	p-acp	within	within	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
carry	carry	vvi	carry	carry	0
∣	∣	sy	∣	∣	0
in	in	p-acp	in	in	0
within	within	p-acp	within	within	0
the	the	dt	the	the	0
litle	litle	j	little	little	0
compasse	compasse	n1	compass	compass	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
smale	smale	j	small	small	0
brayne	brayne	n1	brain	brain	0
,	,	,	,	,	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
order	order	n1	order	order	0
,	,	,	,	,	0
and	and	cc	and	and	0
disposition	disposition	n1	disposition	disposition	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
common	common	j	common	common	0
wealth	wealth	n1	wealth	wealth	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
if	if	cs	if	if	0
by	by	p-acp	by	by	0
inuersion	inuersion	n1	inversion	inversion	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
alowed	alowed	av	aloud	aloud	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
returne	returne	vvi	return	return	0
vnto	vnto	p-acp	unto	unto	0
smaller	smaller	jc	smaller	small	0
thinges	thinges	n2	things	thing	0
,	,	,	,	,	0
the	the	dt	the	the	0
greatest	greatest	js	greatest	great	0
,	,	,	,	,	0
we	we	pns12	we	we	0
may	may	vmb	may	may	0
then	then	av	then	then	0
right	right	vvi	right	right	0
wel	wel	av	well	well	0
resemble	resemble	vvi	resemble	resemble	0
the	the	dt	the	the	0
world	world	n1	world	world	0
vnto	vnto	p-acp	unto	unto	0
mankind	mankind	n1	mankind	mankind	0
,	,	,	,	,	0
saying	saying	vvg	saying	say	0
,	,	,	,	,	0
The	The	dt	The	the	0
worlde	worlde	n1	world	world	0
is	is	vbz	is	be	0
lyke	lyke	av-j	like	like	0
vnto	vnto	p-acp	unto	unto	0
a	a	dt	a	a	0
man	man	n1	man	man	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
good	good	j	good	good	0
right	right	n-jn	right	right	0
and	and	cc	and	and	0
reason	reason	n1	reason	reason	0
,	,	,	,	,	0
the	the	dt	the	the	0
greatest	greatest	js	greatest	great	0
time	time	n1	time	time	0
&	&	cc	&	and	0
age	age	n1	age	age	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
worlde	worlde	n1	world	world	0
being	being	vbg	being	be	0
now	now	av	now	now	0
consumed	consumed	vvn	consumed	consume	0
,	,	,	,	,	0
and	and	cc	and	and	0
gone	gone	vvn	gone	go	0
.	.	.	.	.	1
This	This	d	This	this	0
face	face	n1	face	face	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
worlde	worlde	n1	world	world	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
lying	lying	vvg	lying	lie	0
sicke	sicke	j	sick	sick	0
of	of	pp-f	of	of	0
age	age	n1	age	age	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
age	age	n1	age	age	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
in	in	p-acp	in	in	0
deede	deede	n1	deed	deed	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
malady	malady	n1	malady	malady	0
vareco	vareco	n1	vareco	vareco	0
∣	∣	sy	∣	∣	0
uerable	uerable	j	uerable	uerable	0
)	)	)	)	)	0
this	this	d	this	this	0
same	same	d	same	same	0
last	last	ord	last	last	0
age	age	n1	age	age	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
may	may	vmb	may	may	0
best	best	av-js	best	best	0
be	be	vbi	be	be	0
likened	likened	vvn	likened	liken	0
then	then	av	then	then	0
vnto	vnto	p-acp	unto	unto	0
an	an	dt	and	a	0
old	old	j	old	old	0
man	man	n1	man	man	0
:	:	:	:	:	0
But	But	cc-acp	But	but	0
an	an	dt	and	a	0
old	old	j	old	old	0
man	man	n1	man	man	0
is	is	vbz	is	be	0
twyse	twyse	av	twice	twice	0
a	a	dt	a	a	0
childe	childe	n1	child	child	0
,	,	,	,	,	0
children	children	n2	children	child	0
be	be	vbb	be	be	0
foolish	foolish	j	foolish	foolish	0
,	,	,	,	,	0
&	&	cc	&	and	0
froward	froward	j	froward	froward	0
,	,	,	,	,	0
and	and	cc	and	and	0
besides	besides	p-acp	beside	beside	0
the	the	dt	the	the	0
infirmitie	infirmitie	n1	infirmity	infirmity	0
of	of	pp-f	of	of	0
sicknesse	sicknesse	n1	sickness	sickness	0
,	,	,	,	,	0
they	they	pns32	they	they	0
be	be	vbb	be	be	0
na	na	fw-la	na	na	0
∣	∣	sy	∣	∣	0
stie	stie	n1	sty	sty	0
and	and	cc	and	and	0
noysome	noysome	j	noisome	noisome	0
,	,	,	,	,	0
full	full	j	full	full	0
of	of	pp-f	of	of	0
vncleannesse	vncleannesse	n1	uncleanness	uncleanness	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
whose	whose	rg-crq	whose	who	0
frowarde	frowarde	j	forward	forward	0
follie	follie	n1	folly	folly	0
,	,	,	,	,	0
this	this	d	this	this	0
aboue	aboue	p-acp	above	above	0
al	al	d	all	all	0
thinges	thinges	n2	things	thing	0
must	must	vmb	must	must	0
