Illustrious	Illustrious	j	Illustrious	illustrious	0
,	,	,	,	,	0
Right	Right	av-jn	Right	right	0
Honourable	Honourable	j	Honourable	honourable	0
,	,	,	,	,	0
and	and	cc	and	and	0
Honourable	Honourable	j	Honourable	honourable	0
,	,	,	,	,	0
FOr	FOr	p-acp	FOr	for	0
as	as	c-acp	as	as	0
much	much	d	much	much	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
Esteemed	Esteemed	j-vvn	Esteemed	esteem	0
(	(	(	(	(	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
Body	Body	n1	Body	body	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
People	People	n1	People	people	0
)	)	)	)	)	0
the	the	dt	the	the	0
wisest	wisest	js	wisest	wise	0
and	and	cc	and	and	0
honestest	honestest	js	honestest	honest	0
,	,	,	,	,	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
able	able	j	able	able	0
and	and	cc	and	and	0
proper	proper	j	proper	proper	0
)	)	)	)	)	0
Healers	Healers	n2	Healers	healer	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
present	present	j	present	present	0
Breaches	Breaches	n2	Breaches	breach	0
and	and	cc	and	and	0
Distractions	Distractions	n2	Distractions	distraction	0
,	,	,	,	,	0
so	so	av	so	so	0
you	you	pn22	you	you	0
cannot	cannot	vmbx	cannot	can	0
bet	bet	vvb	bet	bet	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
approve	approve	vvb	approve	approve	0
your	your	po22	your	your	0
selves	selves	n2	selves	self	0
such	such	d	such	such	0
,	,	,	,	,	0
than	than	cs	than	than	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
best	best	js	best	best	0
Testi	Testi	n1	Testi	testi	0
∣	∣	sy	∣	∣	0
monal	monal	j	monal	monal	0
thereof	thereof	av	thereof	thereof	0
(	(	(	(	(	0
that	that	cst	that	that	0
Possibly	Possibly	av-j	Possibly	possible	0
can	can	vmb	can	can	0
be	be	vbi	be	be	0
,	,	,	,	,	0
viz.	viz.	n1	viz.	viz.	0
)	)	)	)	)	1
Moderation	Moderation	n1	Moderation	moderation	0
:	:	:	:	:	0
For	For	c-acp	For	for	0
no	no	dx	no	no	0
Extreams	Extreams	n2-jn	Extremes	extreme	0
last	last	vvi	last	last	0
long	long	av-j	long	long	0
.	.	.	.	.	1
When	When	c-crq	When	when	0
Passion	Passion	n1	Passion	passion	0
,	,	,	,	,	0
Pride	Pride	n1	Pride	pride	0
,	,	,	,	,	0
and	and	cc	and	and	0
Self-Interest	Self-Interest	n1	Self-Interest	self-interest	0
(	(	(	(	(	0
the	the	dt	the	the	0
boldest	boldest	js	boldest	bold	0
and	and	cc	and	and	0
worst	worst	js	worst	worst	0
of	of	pp-f	of	of	0
Usurpers	Usurpers	n2	Usurpers	usurper	0
)	)	)	)	)	0
do	do	vdb	do	do	0
come	come	vvi	come	come	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
Domineering	Domineering	j-vvg	Domineering	domineer	0
and	and	cc	and	and	0
Pre	Pre	fw-es	Pre	pre	0
∣	∣	sy	∣	∣	0
vailing-Party	vailing-Party	n1	vailing-Party	vailing-party	0
