ALthogh	ALthogh	cs	Although	although	0
,	,	,	,	,	0
most	most	av-ds	most	most	0
Noble	Noble	j	Noble	noble	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
I	I	pns11	I	i	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
one	one	pi	one	one	0
ever	ever	av	ever	ever	0
mind	mind	n1	mind	mind	0
∣	∣	sy	∣	∣	0
full	full	j	full	full	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
L.	L.	n1	L.	lord	0
honorable	honorable	j	honourable	honourable	0
place	place	n1	place	place	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
dewtie	dewtie	n1	duty	duty	0
we	we	pns12	we	we	0
all	all	d	all	all	0
ought	ought	vmd	ought	ought	0
therevnto	therevnto	av	thereunto	thereunto	0
)	)	)	)	)	0
did	did	vdd	did	do	0
not	not	xx	not	not	0
lacke	lacke	vvi	lack	lack	0
a	a	dt	a	a	0
will	will	n1	will	will	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
saluted	saluted	vvn	saluted	salute	0
your	your	po22	your	your	0
L.	L.	n1	L.	lord	0
with	with	p-acp	with	with	0
some	some	d	some	some	0
fruites	fruites	n2	fruits	fruit	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
travelles	travelles	n2	travels	travel	0
this	this	d	this	this	0
long	long	j	long	long	0
time	time	n1	time	time	0
ago	ago	av	ago	ago	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
finding	finding	vvg	finding	find	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
that	that	cst	that	that	0
great	great	j	great	great	0
want	want	n1	want	want	0
of	of	pp-f	of	of	0
graces	graces	n2	graces	grace	0
which	which	r-crq	which	which	0
my	my	po11	my	my	0
Muse	Muse	n1	Muse	muse	0
should	should	vmd	should	shall	0
haue	haue	vhi	have	have	0
granted	granted	vvn	granted	grant	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
being	being	vbg	being	be	0
bould	bould	j	bold	bold	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
presented	presented	vvn	presented	present	0
