FENCING	FENCING	vvg	FENCING	fence	0
(	(	(	(	(	0
Right	Right	j-jn	Right	right	0
honorable	honorable	j	honourable	honourable	0
)	)	)	)	)	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
new	new	j	new	new	0
fangled	fangled	j-vvn	fangled	fangle	0
age	age	n1	age	age	0
,	,	,	,	,	0
is	is	vbz	is	be	0
like	like	j	like	like	0
our	our	po12	our	our	0
fashions	fashions	n2	fashions	fashion	0
,	,	,	,	,	0
euerie	euerie	d	every	every	0
daye	daye	n1	day	day	0
a	a	dt	a	a	0
change	change	n1	change	change	0
,	,	,	,	,	0
resembling	resembling	vvg	resembling	resemble	0
the	the	dt	the	the	0
Ca	Ca	zz	Ca	ca	0
∣	∣	sy	∣	∣	0
melion	melion	n1	melion	melion	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
altereth	altereth	vvz	altereth	alter	0
himselfe	himselfe	px31	himself	himself	0
into	into	p-acp	into	into	0
all	all	d	all	all	0
colours	colours	n2	colours	colour	0
saue	saue	p-acp	save	save	0
white	white	j-jn	white	white	0
:	:	:	:	:	0
so	so	av	so	so	0
Fencing	Fencing	vvg	Fencing	fence	0
changeth	changeth	vvz	changes	change	0
into	into	p-acp	into	into	0
all	all	d	all	all	0
wards	wards	n2	wards	ward	0
saue	saue	p-acp	save	save	0
the	the	dt	the	the	0
right	right	n-jn	right	right	0
.	.	.	.	.	1
That	That	cst	That	that	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
so	so	av	so	so	0
,	,	,	,	,	0
experience	experience	n1	experience	experience	0
teacheth	teacheth	vvz	teaches	teach	0
vs	vs	pno12	us	we	0
:	:	:	:	:	0
why	why	c-crq	why	why	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
so	so	av	so	so	0
,	,	,	,	,	0
I	I	pns11	I	i	0
doubt	doubt	vvb	doubt	doubt	0
not	not	xx	not	not	0
but	but	p-acp	but	but	0
your	your	po22	your	your	0
wisedome	wisedome	n1	wisdom	wisdom	0
doth	doth	vdz	does	do	0
con	con	vvi	con	con	0
∣	∣	sy	∣	∣	0
ceiue	ceiue	n1	ceiue	ceiue	0
.	.	.	.	.	1
There	There	pc-acp	There	there	0
is	is	vbz	is	be	0
nothing	nothing	pix	nothing	nothing	0
permanent	permanent	j	permanent	permanent	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
true	true	j	true	true	0
,	,	,	,	,	0
what	what	q-crq	what	what	0
can	can	vmb	can	can	0
be	be	vbi	be	be	0
true	true	j	true	true	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
vncertaine	vncertaine	j	uncertain	uncertain	0
?	?	?	?	?	0
how	how	q-crq	how	how	0
can	can	vmb	can	can	0
that	that	d	that	that	0
be	be	vbi	be	be	0
certaine	certaine	j	certain	certain	0
,	,	,	,	,	0
that	that	cst	that	that	0
stands	stands	vvz	stands	stand	0
vpon	vpon	p-acp	upon	upon	0
vncertain	vncertain	j	uncertain	uncertain	0
grounds	grounds	n2	grounds	ground	0
?	?	?	?	?	1
The	The	dt	The	the	0
mind	mind	n1	mind	mind	0
of	of	pp-f	of	of	0
man	man	n1	man	man	0
a	a	dt	a	a	0
greedie	greedie	j	greedy	greedy	0
hunter	hunter	n1	hunter	hunter	0
af	af	pp-f	of	of	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
finding	finding	vvg	finding	find	0
the	the	dt	the	the	0
seeming	seeming	j-vvg	seeming	seem	0
truth	truth	n1	truth	truth	0
but	but	p-acp	but	but	0
chaun	chaun	n1	chaun	chaun	0
∣	∣	sy	∣	∣	0
ging	ging	n1	ging	ging	0
,	,	,	,	,	0
not	not	xx	not	not	0
alwayes	alwayes	av	always	always	0
one	one	crd	one	one	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
alwayes	alwayes	av	always	always	0
diuerse	diuerse	j	diverse	diverse	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
∣	∣	sy	∣	∣	0
sakes	sakes	n2	sakes	sake	0
the	the	dt	the	the	0
supposed	supposed	j-vvn	supposed	suppose	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
find	find	vvi	find	find	0
out	out	av	out	out	0
the	the	dt	the	the	0
assured	assured	j-vvn	assured	assure	0
cer	cer	n1	cer	cer	0
∣	∣	sy	∣	∣	0
taintie	taintie	n1	taintie	taintie	0
:	:	:	:	:	0
and	and	cc	and	and	0
searching	searching	vvg	searching	search	0
euery	euery	d	every	every	0
where	where	c-crq	where	where	0
saue	saue	vvi	save	save	0
where	where	c-crq	where	where	0
it	it	pn31	it	it	0
should	should	vmd	should	shall	0
,	,	,	,	,	0
meetes	meetes	vvz	meets	meet	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
saue	saue	p-acp	save	save	0
what	what	r-crq	what	what	0
it	it	pn31	it	it	0
would	would	vmd	would	will	0
.	.	.	.	.	1
VVho	VVho	r-crq	Who	who	0
seekes	seekes	vvz	seeks	seek	0
&	&	cc	&	and	0
finds	finds	vvz	finds	find	0
not	not	xx	not	not	0
,	,	,	,	,	0
seekes	seekes	vvz	seeks	seek	0
in	in	p-acp	in	in	0
vaine	vaine	j	vain	vain	0
;	;	;	;	;	0
who	who	r-crq	who	who	0
seekes	seekes	vvz	seeks	seek	0
in	in	p-acp	in	in	0
vaine	vaine	j	vain	vain	0
,	,	,	,	,	0
must	must	vmb	must	must	0
if	if	cs	if	if	0
he	he	pns31	he	he	0
wil	wil	vmb	will	will	0
find	find	vvi	find	find	0
seeke	seeke	vvi	seek	seek	0
againe	againe	av	again	again	0
:	:	:	:	:	0
and	and	cc	and	and	0
seeke	seeke	vvb	seek	seek	0
he	he	pns31	he	he	0
may	may	vmb	may	may	0
againe	againe	av	again	again	0
and	and	cc	and	and	0
againe	againe	av	again	again	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
all	all	d	all	all	0
in	in	p-acp	in	in	0
vaine	vaine	j	vain	vain	0
.	.	.	.	.	1
VVho	VVho	r-crq	Who	who	0
seekes	seekes	vvz	seeks	seek	0
not	not	xx	not	not	0
what	what	r-crq	what	what	0
he	he	pns31	he	he	0
would	would	vmd	would	will	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
should	should	vmd	should	shall	0
,	,	,	,	,	0
and	and	cc	and	and	0
where	where	c-crq	where	where	0
he	he	pns31	he	he	0
should	should	vmd	should	shall	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
other	other	j-jn	other	other	0
things	things	n2	things	thing	0
