Much	Much	av-d	Much	much	0
honoured	honoured	vvn	honoured	honour	0
Father	Father	n1	Father	father	0
,	,	,	,	,	0
BOoks	BOoks	n2	BOoks	book	0
claim	claim	vvb	claim	claim	0
a	a	dt	a	a	0
just	just	j	just	just	0
title	title	n1	title	title	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
Dedicatory	Dedicatory	j	Dedicatory	dedicatory	0
commen	commen	vvn	come	come	0
∣	∣	sy	∣	∣	0
dation	dation	n1	dation	dation	0
,	,	,	,	,	0
whether	whether	cs	whither	whether	0
this	this	d	this	this	0
title	title	n1	title	title	0
be	be	vbi	be	be	0
just	just	j	just	just	0
jure	jure	fw-la	jure	jure	0
naturali	naturali	fw-la	naturali	naturali	0
,	,	,	,	,	0
or	or	cc	or	or	0
by	by	p-acp	by	by	0
Prescription	Prescription	n1	Prescription	prescription	0
,	,	,	,	,	0
I	I	pns11	I	i	0
intend	intend	vvb	intend	intend	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
dispute	dispute	vvi	dispute	dispute	0
with	with	p-acp	with	with	0
this	this	d	this	this	0
small	small	j	small	small	0
piece	piece	n1	piece	piece	0
which	which	r-crq	which	which	0
cals	cals	vvz	calls	call	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
mine	mine	po11	mine	my	0
,	,	,	,	,	0
and	and	cc	and	and	0
claimes	claimes	vvz	claims	claim	0
the	the	dt	the	the	0
same	same	d	same	same	0
portion	portion	n1	portion	portion	0
which	which	r-crq	which	which	0
o	o	uh	oh	oh	0
∣	∣	sy	∣	∣	0
thers	thers	pc-acp|vbz	the	there|be	0
have	have	vhb	have	have	0
beene	beene	vbn	been	be	0
sent	sent	vvn	sent	send	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
world	world	n1	world	world	0
with	with	p-acp	with	with	0
;	;	;	;	;	0
I	I	pns11	I	i	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
deny	deny	vvi	deny	deny	0
it's	it's	pn31|vbz	it's	it|be	0
request	request	n1	request	request	0
,	,	,	,	,	0
though	though	cs	though	though	0
I	I	pns11	I	i	0
might	might	vmd	might	may	0
have	have	vhi	have	have	0
so	so	av	so	so	0
done	done	vdn	done	do	0
,	,	,	,	,	0
since	since	c-acp	since	since	0
it	it	pn31	it	it	0
appeares	appeares	vvz	appears	appear	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
world	world	n1	world	world	0
without	without	p-acp	without	without	0
my	my	po11	my	my	0
ple	ple	n1	ple	ple	0
∣	∣	sy	∣	∣	0
nary	nary	j	nary	nary	0
consent	consent	n1	consent	consent	0
)	)	)	)	)	0
it	it	pn31	it	it	0
shall	shall	vmb	shall	shall	0
have	have	vhi	have	have	0
it's	it's	pn31|vbz	it's	it|be	0
Due	Due	j-jn	Due	due	0
:	:	:	:	:	0
Nor	Nor	ccx	Nor	nor	0
will	will	vmb	will	will	0
I	I	pns11	I	i	0
be	be	vbi	be	be	0
unjust	unjust	j	unjust	unjust	0
,	,	,	,	,	0
or	or	cc	or	or	0
unthankfull	unthankfull	j	unthankful	unthankful	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
who	who	r-crq	who	who	0
have	have	vhb	have	have	0
the	the	dt	the	the	0
clearest	clearest	js	clearest	clear	0
,	,	,	,	,	0
and	and	cc	and	and	0
fairest	fairest	js	fairest	fair	0
title	title	n1	title	title	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
Homage	Homage	n1	Homage	homage	0
;	;	;	;	;	0
for	for	c-acp	for	for	0
if	if	cs	if	if	0
either	either	d	either	either	0
Greatnesse	Greatnesse	n1	Greatness	greatness	0
or	or	cc	or	or	0
Goodnesse	Goodnesse	n1	Goodness	goodness	0
be	be	vbb	be	be	0
a	a	dt	a	a	0
just	just	j	just	just	0
claime	claime	n1	claim	claim	0
,	,	,	,	,	0
your's	your's	png22	your's	you	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
justest	justest	js	justest	just	0
;	;	;	;	;	0
if	if	cs	if	if	0
Great	Great	j	Great	great	0
∣	∣	sy	∣	∣	0
nesse	nesse	n1	ness	ness	0
of	of	pp-f	of	of	0
obligations	obligations	n2	obligations	obligation	0
be	be	vbb	be	be	0
