Infandum	Infandum	np1	Infandum	Infandum	0
,	,	,	,	,	0
Regina	Regina	fw-la	Regina	regina	0
,	,	,	,	,	0
jubes	jubes	fw-la	jubes	jubes	0
renovare	renovare	fw-la	renovare	renovare	0
dolorem	dolorem	fw-la	dolorem	dolorem	0
.	.	.	.	.	1
AMASIA	AMASIA	np1	AMASIA	Amasia	0
,	,	,	,	,	0
ONly	ONly	j	ONly	only	0
Amasia	Amasia	np1	Amasia	Amasia	0
;	;	;	;	;	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
Name	Name	n1	Name	name	0
is	is	vbz	is	be	0
all	all	d	all	all	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
that	that	d	that	that	0
lives	lives	n2	lives	life	0
;	;	;	;	;	0
O	O	uh	Oh	oh	0
racking	racking	j-vvg	racking	rack	0
thought	thought	n1	thought	thought	0
!	!	!	!	!	1
Sufficient	Sufficient	j	Sufficient	sufficient	0
to	to	pc-acp	to	to	0
destroy	destroy	vvi	destroy	destroy	0
the	the	dt	the	the	0
Power	Power	n1	Power	power	0
of	of	pp-f	of	of	0
thinking	thinking	vvg	thinking	think	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
why	why	q-crq	why	why	0
do	do	vdb	do	do	0
I	I	pns11	I	i	0
repine	repine	vvi	repine	repine	0
?	?	?	?	?	0
for	for	p-acp	for	for	0
you	you	pn22	you	you	0
were	were	vbdr	were	be	0
never	never	av-x	never	never	0
more	more	av-dc	more	more	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
.	.	.	.	.	1
AMASIA	AMASIA	np1	AMASIA	Amasia	0
!	!	!	!	!	1
That	That	cst	That	that	0
Name	Name	n1	Name	name	0
is	is	vbz	is	be	0
all	all	d	all	all	0
;	;	;	;	;	0
Elyzium	Elyzium	np1	Elyzium	Elysium	0
,	,	,	,	,	0
Paradise	Paradise	n1	Paradise	paradise	0
,	,	,	,	,	0
and	and	cc	and	and	0
almost	almost	av	almost	almost	0
Heaven	Heaven	n1	Heaven	heaven	0
,	,	,	,	,	0
are	are	vbr	are	be	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
sound	sound	n1	found	sound	0
.	.	.	.	.	1
How	How	c-crq	How	how	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
lov'd	lov'd	vvn	loved	love	0
you	you	pn22	you	you	0
,	,	,	,	,	0
how	how	c-crq	how	how	0
I	I	pns11	I	i	0
love	love	vvb	love	love	0
you	you	pn22	you	you	0
still	still	av	still	still	0
,	,	,	,	,	0
your	your	po22	your	your	0
Death	Death	n1	Death	death	0
,	,	,	,	,	0
(	(	(	(	(	0
for	for	p-acp	for	for	0
that	that	cst	that	that	0
involves	involves	vvz	involves	involve	0
mine	mine	png11	mine	i	0
too	too	av	too	too	0
)	)	)	)	)	0
will	will	vmb	will	will	0
testify	testify	vvi	testify	testify	0
;	;	;	;	;	0
I	I	pns11	I	i	0
Pine	Pine	vvb	Pine	pine	0
,	,	,	,	,	0
I	I	pns11	I	i	0
Languish	Languish	vvi	Languish	languish	0
,	,	,	,	,	0
and	and	cc	and	and	0
shall	shall	vmb	shall	shall	0
meet	meet	vvi	meet	meet	0
you	you	pn22	you	you	0
,	,	,	,	,	0
e'er	e'er	av	ever	ever	0
'tis	'tis	pn31|vbz	it's	it|be	0
long	long	j	long	long	0
,	,	,	,	,	0
somewhere	somewhere	av	somewhere	somewhere	0
,	,	,	,	,	0
I	I	pns11	I	i	0
know	know	vvb	know	know	0
not	not	xx	not	not	0
where	where	c-crq	where	where	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
sure	sure	j	sure	sure	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
meet	meet	vvi	meet	meet	0
you	you	pn22	you	you	0
.	.	.	.	.	1
Your	Your	po22	Your	your	0
Soul	Soul	n1	Soul	soul	0
was	was	vbds	was	be	0
surely	surely	av-j	surely	sure	0
made	made	vvn	made	make	0
for	for	p-acp	for	for	0
mine	mine	png11	mine	i	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
mine	mine	png11	mine	i	0
was	was	vbds	was	be	0
made	made	vvn	made	make	0
for	for	p-acp	for	for	0
yours	yours	png22	yours	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
wheresoe'er	wheresoe'er	c-crq	wheresoever	wheresoever	0
they	they	pns32	they	they	0
Join	Join	vvb	Join	join	0
,	,	,	,	,	0
the	the	dt	the	the	0
place	place	n1	place	place	0
must	must	vmb	must	must	0
be	be	vbi	be	be	0
in	in	p-acp	in	in	0
earnest	earnest	n1	earnest	earnest	0
,	,	,	,	,	0
more	more	av-dc	more	more	0
than	than	cs	than	than	0
a	a	dt	a	a	0
Fictitious	Fictitious	j	Fictitious	fictitious	0
Heaven	Heaven	n1	Heaven	heaven	0
,	,	,	,	,	0
more	more	av-dc	more	more	0
than	than	cs	than	than	0
a	a	dt	a	a	0
Poet's	Poet's	n1|vbz	Poet's	poet|be	0
fancy	fancy	n1	fancy	fancy	0
can	can	vmb	can	can	0
Create	Create	vvi	Create	create	0
;	;	;	;	;	0
and	and	cc	and	and	0
such	such	d	such	such	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
Poet	Poet	n1	Poet	poet	0
and	and	cc	and	and	0
a	a	dt	a	a	0
Lover	Lover	n1	Lover	lover	0
too	too	av	too	too	0
must	must	vmb	must	must	0
be	be	vbi	be	be	0
most	most	av-ds	most	most	0
ravish'd	ravish'd	vvn	ravished	ravish	0
in	in	p-acp	in	in	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
Rapture	Rapture	n1	Rapture	rapture	0
Exquisitely	Exquisitely	av-j	Exquisitely	exquisite	0
Charming	Charming	vvg	Charming	charm	0
.	.	.	.	.	1
How	How	uh-crq	How	how	0
,	,	,	,	,	0
Orpheus	Orpheus	np1	Orpheus	Orpheus	0
,	,	,	,	,	0
shall	shall	vmb	shall	shall	0
I	I	pns11	I	i	0
call	call	vvi	call	call	0
to	to	p-acp	to	to	0
Mind	Mind	n1	Mind	mind	0
thy	thy	po21	thy	thy	0
turn	turn	n1	turn	turn	0
of	of	pp-f	of	of	0
fate	fate	n1	fate	fate	0
?	?	?	?	?	1
O	O	sy	O	o	0
Poet	Poet	n1	Poet	poet	0
happy	happy	j	happy	happy	0
,	,	,	,	,	0
and	and	cc	and	and	0
accurst	accurst	vvn	accursed	accurse	0
!	!	!	!	!	1
You	You	pn22	You	you	0
knew	knew	vvd	knew	know	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
you	you	pn22	you	you	0
had	had	vhd	had	have	0
lost	lost	vvn	lost	lose	0
the	the	dt	the	the	0
last	last	ord	last	last	0
short	short	j	short	short	0
sight	sight	n1	sighed	sight	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Eurydice	Eurydice	np1	Eurydice	Eurydice	0
,	,	,	,	,	0
you	you	pn22	you	you	0
knew	knew	vvd	knew	know	0
,	,	,	,	,	0
you	you	pn22	you	you	0
saw	saw	vvd	saw	see	0
a	a	dt	a	a	0
glimpse	glimpse	n1	glimpse	glimpse	0
of	of	pp-f	of	of	0
what	what	r-crq	what	what	0
I	I	pns11	I	i	0
suffer	suffer	vvb	suffer	suffer	0
.	.	.	.	.	1
Despair	Despair	n1	Despair	despair	0
and	and	cc	and	and	0
Hell	Hell	n1	Hell	hell	0
are	are	vbr	are	be	0
diff'rent	diff'rent	j	different	different	0
but	but	cc-acp	but	but	0
in	in	p-acp	in	in	0
Name	Name	n1	Name	name	0
.	.	.	.	.	1
To	To	p-acp	To	to	0
thee	thee	pno21	thee	thou	0
,	,	,	,	,	0
Amasia	Amasia	np1	Amasia	Amasia	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
thy	thy	po21	thy	thy	0
Memory	Memory	n1	Memory	memory	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
still	still	av	still	still	0
must	must	vmb	must	must	0
Charm	Charm	n1	Charm	charm	0
me	me	pno11	me	i	0
,	,	,	,	,	0
The	The	dt	The	the	0
Friend	Friend	n1	Friend	friend	0
∣	∣	sy	∣	∣	0
ship	ship	n1	ship	ship	0
of	of	pp-f	of	of	0
Love	Love	n1	Love	love	0
is	is	vbz	is	be	0
Dedicated	Dedicated	vvn	Dedicated	dedicate	0
:	:	:	:	:	0
The	The	dt	The	the	0
perusal	perusal	n1	perusal	perusal	0
of	of	pp-f	of	of	0
some	some	d	some	some	0
Letters	Letters	n2	Letters	letter	0
written	written	vvn	written	write	0
to	to	p-acp	to	to	0
Acquaintance	Acquaintance	n1	Acquaintance	acquaintance	0
gave	gave	vvd	gave	give	0
me	me	pno11	me	i	0
the	the	dt	the	the	0
Occasion	Occasion	n1	Occasion	occasion	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Title	Title	n1	Title	title	0
;	;	;	;	;	0
the	the	dt	the	the	0
word	word	n1	word	word	0
Friendship	Friendship	n1	Friendship	friendship	0
is	is	vbz	is	be	0
wholly	wholly	av-jn	wholly	whole	0
Titular	Titular	j	Titular	titular	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
never	never	av-x	never	never	0
any	any	d	any	any	0
Friend	Friend	n1	Friend	friend	0
but	but	p-acp	but	but	0
thee	thee	pno21	thee	thou	0
;	;	;	;	;	0
O	O	uh	Oh	oh	0
no	no	uh-dx	no	no	0
,	,	,	,	,	0
I	I	pns11	I	i	0
never	never	av-x	never	never	0
had	had	vhd	had	have	0
so	so	av	so	so	0
great	great	j	great	great	0
an	an	dt	and	a	0
Enemy	Enemy	n1	Enemy	enemy	0
;	;	;	;	;	0
the	the	dt	the	the	0
Bane	Bane	n1	Bane	bane	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Destroyer	Destroyer	n1	Destroyer	destroyer	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Hopes	Hopes	ng1	Hope's	hope	0
and	and	cc	and	and	0
Life	Life	n1	Life	life	0
!	!	!	!	!	1
And	And	cc	And	and	0
yet	yet	av	yet	yet	0
I	I	pns11	I	i	0
Love	Love	vvb	Love	love	0
thee	thee	pno21	thee	thou	0
;	;	;	;	;	0
living	living	vvg	living	live	0
I	I	pns11	I	i	0
Lov'd	Lov'd	vvd	Loved	love	0
thee	thee	pno21	thee	thou	0
,	,	,	,	,	0
and	and	cc	and	and	0
revere	revere	vvi	revere	revere	0
thee	thee	pno21	thee	thou	0
Dead	Dead	j	Dead	dead	0
.	.	.	.	.	1
O	O	sy	O	o	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Lover	Lover	n1	Lover	lover	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
Happy	Happy	j	Happy	happy	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
Poet's	Poet's	n1|vbz	Poet's	poet|be	0
loss	loss	n1	loss	loss	0
!	!	!	!	!	1
O	O	sy	O	o	0
that	that	cst	that	that	0
Fame	Fame	n1	Fame	fame	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
Sacrifice	Sacrifice	n1	Sacrifice	sacrifice	0
to	to	p-acp	to	to	0
Love	Love	n1	Love	love	0
!	!	!	!	!	1
O	O	sy	O	o	0
that	that	cst	that	that	0
thy	thy	po21	thy	thy	0
very	very	j	very	very	0
Name	Name	n1	Name	name	0
and	and	cc	and	and	0
Memory	Memory	n1	Memory	memory	0
might	might	vmd	might	may	0
die	die	vvi	die	die	0
!	!	!	!	!	1
O	O	sy	O	o	0
Laethe	Laethe	uh	Laethe	laethe	0
!	!	!	!	!	1
I'll	I'll	pns11|vmb	I'll	I|will	0
Court	Court	vvi	Court	court	0
the	the	dt	the	the	0
Streams	Streams	n2	Streams	stream	0
of	of	pp-f	of	of	0
thy	thy	po21	thy	thy	0
forgetful	forgetful	j	forgetful	forgetful	0
Fountain	Fountain	n1	Fountain	fountain	0
,	,	,	,	,	0
and	and	cc	and	and	0
Celebrate	Celebrate	vvi	Celebrate	celebrate	0
thy	thy	po21	thy	thy	0
dull	dull	j	dull	dull	0
Oblivion	Oblivion	n1	Oblivion	oblivion	0
beyond	beyond	p-acp	beyond	beyond	0
the	the	dt	the	the	0
inspiration	inspiration	n1	inspiration	inspiration	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Muses	Muses	np2	Muses	Muse	0
Helicon	Helicon	np1	Helicon	Helicon	0
.	.	.	.	.	1
Farewel	Farewel	n1	Farewell	farewell	0
—	—	—	—	—	0
my	my	po11	my	my	0
Friend	Friend	n1	Friend	friend	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
I	I	pns11	I	i	0
can	can	vmb	can	can	0
boast	boast	vvi	boast	boast	0
a	a	dt	a	a	0
real	real	j	real	real	0
Friend	Friend	n1	Friend	friend	0
,	,	,	,	,	0
shall	shall	vmb	shall	shall	0
now	now	av	now	now	0
be	be	vbi	be	be	0
my	my	po11	my	my	0
Amasia	Amasia	np1	Amasia	Amasia	0
:	:	:	:	:	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
he	he	pns31	he	he	0
wont	wont	vmbx	wont	will	0
disdain	disdain	vvi	disdain	disdain	0
me	me	pno11	me	i	0
but	but	p-acp	but	but	0
for	for	p-acp	for	for	0
being	being	vbg	being	be	0
his	his	png31	his	he	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
done	done	vdn	done	do	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
yours	yours	png22	yours	you	0
.	.	.	.	.	1
Farewel	Farewel	n1	Farewell	farewell	0
—	—	—	—	—	0
give	give	vvb	give	give	0
me	me	pno11	me	i	0
but	but	p-acp	but	but	0
leave	leave	n1	leave	leave	0
to	to	pc-acp	to	to	0
assure	assure	vvi	assure	assure	0
you	you	pn22	you	you	0
,	,	,	,	,	0
no	no	dx	no	no	0
second	second	ord	second	second	0
Beauty	Beauty	n1	Beauty	beauty	0
(	(	(	(	(	0
for	for	c-acp	for	for	0
all	all	d	all	all	0
Beau	Beau	n1	Beau	beau	0
∣	∣	sy	∣	∣	0
ty	ty	zz	ty	ty	0
will	will	n1	will	will	0
to	to	p-acp	to	to	0
your's	your's	png22	your's	you	0
be	be	vbi	be	be	0
second	second	vvi	second	second	0
)	)	)	)	)	0
shall	shall	vmb	shall	shall	0
deface	deface	vvi	deface	deface	0
your	your	po22	your	your	0
Image	Image	n1	Image	image	0
from	from	p-acp	from	from	0
my	my	po11	my	my	0
Soul.	Soul.	n1	Soul.	soul	1
Once	Once	a-acp	Once	once	0
more	more	av-dc	more	more	0
Adieu	Adieu	uh-n	Adieu	adieu	0
—	—	—	—	—	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
,	,	,	,	,	0
methinks	methinks	vvz	methinks	methinks	0
