GRatious	GRatious	j	Gracious	gracious	0
and	and	cc	and	and	0
dread	dread	j	dread	dread	0
Soueraigne	Soueraigne	n-jn	Sovereign	sovereign	0
,	,	,	,	,	0
I	I	pns11	I	i	0
say	say	vvb	say	say	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
I	I	pns11	I	i	0
lie	lie	vvb	lie	lie	0
not	not	xx	not	not	0
,	,	,	,	,	0
my	my	po11	my	my	0
conscience	conscience	n1	conscience	conscience	0
bearing	bearing	vvg	bearing	bear	0
me	me	pno11	me	i	0
witnes	witnes	vvi	witness	witness	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Holy-ghost	Holy-ghost	n1	Holy-ghost	holy-ghost	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Apostle	Apostle	n1	Apostle	apostle	0
great	great	j	great	great	0
heauinesse	heauinesse	n1	heaviness	heaviness	0
,	,	,	,	,	0
and	and	cc	and	and	0
continuall	continuall	j	continual	continual	0
sorrow	sorrow	n1	sorrow	sorrow	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
heart	heart	n1	heart	heart	0
for	for	p-acp	for	for	0
many	many	d	many	many	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
brethren	brethren	n2	brothers	brethren	0
and	and	cc	and	and	0
Country-men	Country-men	n2	Countrymen	countryman	0
.	.	.	.	.	1
And	And	cc	And	and	0
my	my	po11	my	my	0
hearty	hearty	j	hearty	hearty	0
desire	desire	n1	desire	desire	0
and	and	cc	and	and	0
prayer	prayer	n1	prayer	prayer	0
for	for	p-acp	for	for	0
them	them	pno32	them	they	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
,	,	,	,	,	0
is	is	vbz	is	be	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
saued	saued	vvn	saved	save	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
I	I	pns11	I	i	0
beare	beare	vvb	bear	bear	0
them	them	pno32	them	they	0
recorde	recorde	n1	record	record	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
haue	haue	vhb	have	have	0
the	the	dt	the	the	0
zeale	zeale	n1	zeal	zeal	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
though	though	cs	though	though	0
not	not	xx	not	not	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
knowledge	knowledge	n1	knowledge	knowledge	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
onely	onely	j	only	only	0
cause	cause	n1	cause	cause	0
that	that	cst	that	that	0
mooued	mooued	vvd	moved	move	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
write	write	vvi	write	write	0
this	this	d	this	this	0
short	short	j	short	short	0
Trea	Trea	n1	Trea	trea	0
∣	∣	sy	∣	∣	0
tise	tise	n1	tise	tise	0
.	.	.	.	.	1
And	And	np1	And	And	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
God	God	np1	God	God	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
great	great	j	great	great	0
goodnesse	goodnesse	n1	goodness	goodness	0
hath	hath	vhz	hath	have	0
vouchsafed	vouchsafed	vvn	vouchsafed	vouchsafe	0
your	your	po22	your	your	0
tender	tender	j	tender	tender	0
yeeres	yeeres	n2	years	year	0
the	the	dt	the	the	0
education	education	n1	education	education	0
of	of	pp-f	of	of	0
TIMOTHIE	TIMOTHIE	np1	TIMOTHIE	Timothy	0
,	,	,	,	,	0
and	and	cc	and	and	0
indu	indu	fw-fr	indu	indu	0
∣	∣	sy	∣	∣	0
ed	ed	wd	ed	ed	0
your	your	po22	your	your	0
Highnesse	Highnesse	n1	Highness	highness	0
,	,	,	,	,	0
since	since	c-acp	since	since	0
your	your	po22	your	your	0
happy	happy	j	happy	happy	0
gouernement	gouernement	n1	government	government	0
with	with	p-acp	with	with	0
princely	princely	j	princely	princely	0
gifts	gifts	n2	gifts	gift	0
,	,	,	,	,	0
knowledge	knowledge	n1	knowledge	knowledge	0
to	to	pc-acp	to	to	0
discerne	discerne	vvi	discern	discern	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
and	and	cc	and	and	0
zeale	zeale	n1	zeal	zeal	0
to	to	pc-acp	to	to	0
maintaine	maintaine	vvi	maintain	maintain	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
I	I	pns11	I	i	0
humbly	humbly	av-j	humbly	humble	0
present	present	vvb	present	present	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
Maiestie	Maiestie	n1	Majesty	majesty	0
,	,	,	,	,	0
these	these	d	these	these	0
few	few	d	few	few	0
lines	lines	n2	lines	line	0
,	,	,	,	,	0
containing	containing	vvg	containing	contain	0
a	a	dt	a	a	0
subiect	subiect	n-jn	subject	subject	0
of	of	pp-f	of	of	0
so	so	av	so	so	0
great	great	j	great	great	0
importance	importance	n1	importance	importance	0
.	.	.	.	.	1
The	The	dt	The	the	0
common	common	j	common	common	0
voyce	voyce	n1	voice	voice	0
,	,	,	,	,	0
and	and	cc	and	and	0
hope	hope	n1	hope	hope	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
best	best	js	best	best	0
affected	affected	j-vvn	affected	affect	0
people	people	n1	people	people	0
is	is	vbz	is	be	0
,	,	,	,	,	0
that	that	cst	that	that	0
your	your	po22	your	your	0
Highnesse	Highnesse	n1	Highness	highness	0
hath	hath	vhz	hath	have	0
a	a	dt	a	a	0
religi	religi	fw-la	religi	religi	0
∣	∣	sy	∣	∣	0
ous	ous	j	ous	ous	0
intent	intent	n1	intent	intent	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
God	God	np1	God	God	0
yet	yet	av	yet	yet	0
better	better	av-jc	better	better	0
knowne	knowne	vvn	known	know	0
in	in	p-acp	in	in	0
IVDA	IVDA	np1	IVDA	IVDA	0
,	,	,	,	,	0
and	and	cc	and	and	0
his	his	po31	his	his	0
name	name	n1	name	name	0
yet	yet	av	yet	yet	0
greater	greater	jc	greater	great	0
in	in	p-acp	in	in	0
HIERVSALEM	HIERVSALEM	np1	HIERVSALEM	HIERVSALEM	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
bring	bring	vvi	bring	bring	0
all	all	d	all	all	0
these	these	d	these	these	0
your	your	po22	your	your	0
Kingdomes	Kingdomes	n2	Kingdoms	kingdom	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
acknowledgement	acknowledgement	n1	acknowledgement	acknowledgement	0
and	and	cc	and	and	0
profession	profession	n1	profession	profession	0
of	of	pp-f	of	of	0
one	one	crd	one	one	0
truth	truth	n1	truth	truth	0
;	;	;	;	;	0
so	so	av	so	so	0
