Most	Most	ds	Most	most	0
worthy	worthy	j	worthy	worthy	0
Gaius	Gaius	np1	Gaius	Gaius	0
,	,	,	,	,	0
AS	AS	p-acp	AS	as	0
there	there	a-acp	there	there	0
are	are	vbr	are	be	0
some	some	d	some	some	0
Capital	Capital	j	Capital	capital	0
Sins	Sins	n2	Sins	sin	0
for	for	p-acp	for	for	0
which	which	r-crq	which	which	0
we	we	pns12	we	we	0
must	must	vmb	must	must	0
abase	abase	vvi	abase	abase	0
our	our	po12	our	our	0
selves	selves	n2	selves	self	0
all	all	d	all	all	0
our	our	po12	our	our	0
days	days	n2	days	day	0
;	;	;	;	;	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
have	have	vhb	have	have	0
broken	broken	vvn	broken	break	0
our	our	po12	our	our	0
Consciences	Consciences	n2	Consciences	conscience	0
▪	▪	▪	▪	▪	0
should	should	vmd	should	shall	0
often	often	av	often	often	0
break	break	vvi	break	break	0
our	our	po12	our	our	0
hearts	hearts	n2	hearts	heart	0
:	:	:	:	:	0
As	As	c-acp	As	as	0
there	there	a-acp	there	there	0
are	are	vbr	are	be	0
some	some	d	some	some	0
Cardinal	Cardinal	j	Cardinal	cardinal	0
Vertues	Vertues	n2	Virtues	virtue	0
(	(	(	(	(	0
to	to	pc-acp	to	to	0
speak	speak	vvi	speak	speak	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Moralists	Moralists	n2	Moralists	moralist	0
language	language	n1	language	language	0
)	)	)	)	)	0
which	which	r-crq	which	which	0
must	must	vmb	must	must	0
be	be	vbi	be	be	0
our	our	po12	our	our	0
every-days	every-days	n2	everydays	everyday	0
work	work	vvi	work	work	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
being	being	vbg	being	be	0
the	the	dt	the	the	0
Essentials	Essentials	n2-jn	Essentials	essential	0
of	of	pp-f	of	of	0
Christianity	Christianity	np1	Christianity	Christianity	0
;	;	;	;	;	0
so	so	av	so	so	0
are	are	vbr	are	be	0
there	there	pc-acp	there	there	0
some	some	d	some	some	0
Providential	Providential	np1	Providential	Providential	0
Dispensations	Dispensations	n2	Dispensations	dispensation	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
course	course	n1	course	course	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
lives	lives	n2	lives	life	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
must	must	vmb	must	must	0
be	be	vbi	be	be	0
acknowledged	acknowledged	vvn	acknowledged	acknowledge	0
even	even	av	even	even	0
to	to	p-acp	to	to	0
Eternity	Eternity	n1	Eternity	eternity	0
;	;	;	;	;	0
amongst	amongst	p-acp	among	among	0
which	which	r-crq	which	which	0
we	we	pns12	we	we	0
may	may	vmb	may	may	0
well	well	av	well	well	0
reckon	reckon	vvi	reckon	reckon	0
loving	loving	vvg	loving	love	0
and	and	cc	and	and	0
faithful	faithful	j	faithful	faithful	0
friends	friends	n2	friends	friend	0
,	,	,	,	,	0
constant	constant	j	constant	constant	0
mens	mens	ng2	men's	man	0
affections	affections	n2	affections	affection	0
being	being	vbg	being	be	0
of	of	pp-f	of	of	0
themselves	themselves	px32	themselves	themselves	0
meer	meer	j	mere	mere	0
weather-cocks	weather-cocks	n2	weathercocks	weathercock	0
,	,	,	,	,	0
very	very	av	very	very	0
mutable	mutable	j	mutable	mutable	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
Gods	Gods	ng1	Gods	god	0
Vials	Vials	n2	Vials	vial	0
by	by	p-acp	by	by	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
