IF	IF	cs	IF	if	0
it	it	pn31	it	it	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
demaun	demaun	n1	demaun	demaun	0
∣	∣	sy	∣	∣	0
ded	ded	j	dead	dead	0
(	(	(	(	(	0
Right	Right	j-jn	Right	right	0
Honorable	Honorable	j	Honourable	honourable	0
)	)	)	)	)	0
why	why	c-crq	why	why	0
I	I	pns11	I	i	0
would	would	vmd	would	will	0
aduenture	aduenture	vvi	adventure	adventure	0
to	to	pc-acp	to	to	0
vndertake	vndertake	vvi	undertake	undertake	0
a	a	dt	a	a	0
matter	matter	n1	matter	matter	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
subiect	subiect	n-jn	subject	subject	0
;	;	;	;	;	0
so	so	av	so	so	0
farre	farre	av-j	far	far	0
(	(	(	(	(	0
in	in	p-acp	in	in	0
opinion	opinion	n1	opinion	opinion	0
)	)	)	)	)	0
diffe	diffe	n1	diffe	diffe	0
∣	∣	sy	∣	∣	0
ring	ring	n1	ring	ring	0
from	from	p-acp	from	from	0
my	my	po11	my	my	0
ordinarie	ordinarie	j	ordinary	ordinary	0
imployments	imployments	n2	employments	employment	0
:	:	:	:	:	0
It	It	pn31	It	it	0
may	may	vmb	may	may	0
please	please	vvi	please	please	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
conceiue	conceiue	vvi	conceive	conceive	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
altogether	altogether	av	altogether	altogether	0
contrarie	contrarie	j-jn	contrary	contrary	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
publike	publike	j	public	public	0
profession	profession	n1	profession	profession	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
being	being	vbg	being	be	0
a	a	dt	a	a	0
Chri	Chri	n1	Chri	chri	0
∣	∣	sy	∣	∣	0
stian	stian	n1	stian	stian	0
,	,	,	,	,	0
though	though	cs	though	though	0
no	no	av-dx	no	no	0
professed	professed	j-vvn	professed	profess	0
Diuine	Diuine	j-jn	Divine	divine	0
:	:	:	:	:	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
may	may	vmb	may	may	0
stand	stand	vvi	stand	stand	0
with	with	p-acp	with	with	0
my	my	po11	my	my	0
ordinarie	ordinarie	j	ordinary	ordinary	0
worldly	worldly	j	worldly	worldly	0
trauailes	trauailes	n2	travails	travail	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
I	I	pns11	I	i	0
