Deare	Deare	n1	Dear	deer	0
Friends	Friends	n2	Friends	friend	0
,	,	,	,	,	0
IT	IT	pn31	IT	it	0
was	was	vbds	was	be	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
sakes	sakes	n2	sakes	sake	0
that	that	cst	that	that	0
the	the	dt	the	the	0
good	good	j	good	good	0
pleasure	pleasure	n1	pleasure	pleasure	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Heavenly	Heavenly	j	Heavenly	heavenly	0
Father	Father	n1	Father	father	0
,	,	,	,	,	0
(	(	(	(	(	0
who	who	r-crq	who	who	0
maketh	maketh	vvz	makes	make	0
all	all	d	all	all	0
things	things	n2	things	thing	0
work	work	vvi	work	work	0
to	to	p-acp	to	to	0
∣	∣	sy	∣	∣	0
gether	gether	av	gether	gether	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
benefit	benefit	n1	benefit	benefit	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
that	that	cst	that	that	0
love	love	vvb	love	love	0
him	him	pno31	him	he	0
,	,	,	,	,	0
Rom.	Rom.	np1	Rom.	Rom.	1
8.28	8.28	crd	8.28	8.28	0
.	.	.	.	.	0
who	who	q-crq	who	who	0
are	are	vbr	are	be	0
called	called	vvn	called	call	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
purpose	purpose	n1	purpose	purpose	0
)	)	)	)	)	0
carried	carried	vvd	carried	carry	0
me	me	pno11	me	i	0
forth	forth	av	forth	forth	0
and	and	cc	and	and	0
made	made	vvd	made	make	0
use	use	n1	use	use	0
of	of	pp-f	of	of	0
me	me	pno11	me	i	0
,	,	,	,	,	0
who	who	q-crq	who	who	0
am	am	vbm	am	be	0
less	less	dc	less	less	0
then	then	cs	then	than	0
a	a	dt	a	a	0
worm	worm	n1	worm	worm	0
,	,	,	,	,	0
and	and	cc	and	and	0
most	most	av-ds	most	most	0
weak	weak	j	weak	weak	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
;	;	;	;	;	0
yet	yet	av	yet	yet	0
strengthened	strengthened	vvn	strengthened	strengthen	0
through	through	p-acp	through	through	0
his	his	po31	his	his	0
Almighty	Almighty	j-jn	Almighty	almighty	0
power	power	n1	power	power	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
manifest	manifest	vvi	manifest	manifest	0
these	these	d	these	these	0
things	things	n2	things	thing	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
.	.	.	.	.	1
And	And	cc	And	and	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
sakes	sakes	n2	sakes	sake	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
goodnesse	goodnesse	n1	goodness	goodness	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
Father	Father	n1	Father	father	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
mercies,2	mercies,2	n1	mercies,2	mercies,2	0
Cor.	Cor.	np1	Cor.	Cor.	1
1.3	1.3	crd	1.3	1.3	0
.	.	.	.	.	0
and	and	cc	and	and	0
God	God	np1	God	God	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
consolation	consolation	n1	consolation	consolation	0
kept	kept	vvd	kept	keep	0
me	me	pno11	me	i	0
so	so	av	so	so	0
long	long	av-j	long	long	0
to	to	pc-acp	to	to	0
sojourn	sojourn	vvi	sojourn	sojourn	0
amongst	amongst	p-acp	among	among	0
you	you	pn22	you	you	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
I	I	pns11	I	i	0
can	can	vmb	can	can	0
truly	truly	av-j	truly	true	0
say	say	vvi	say	say	0
,	,	,	,	,	0
that	that	cst	that	that	0
what	what	r-crq	what	what	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
or	or	cc	or	or	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
his	his	po31	his	his	0
good	good	j	good	good	0
pleasure	pleasure	n1	pleasure	pleasure	0
