WHat	WHat	q-crq	WHat	what	0
tyme	tyme	n1	time	time	0
,	,	,	,	,	0
right	right	j-jn	right	right	0
Wor	Wor	zz	Wor	wor	0
∣	∣	sy	∣	∣	0
shipfull	shipfull	j	shipfull	shipfull	0
,	,	,	,	,	0
the	the	dt	the	the	0
moste	moste	av-ds	most	most	0
excel	excel	vvi	excel	excel	0
∣	∣	sy	∣	∣	0
lent	lent	n1	lent	lent	0
Philo	Philo	np1	Philo	Philo	0
∣	∣	sy	∣	∣	0
sopher	sopher	n1	sopher	sopher	0
of	of	pp-f	of	of	0
ye	ye	dt	the	the	0
worlde	worlde	n1	world	world	0
,	,	,	,	,	0
Democritus	Democritus	np1	Democritus	Democritus	0
was	was	vbds	was	be	0
de	de	fw-fr	de	de	0
∣	∣	sy	∣	∣	0
maunded	maunded	vvn	manded	mand	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
frend	frend	n1	friend	friend	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
chiefeste	chiefeste	js-jn	chiefest	chief	0
beste	beste	js	best	best	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
mongeste	mongeste	n1	mongeste	mongeste	0
men	men	n2	men	man	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
the	the	dt	the	the	0
worlde	worlde	n1	world	world	0
,	,	,	,	,	0
verely	verely	av-j	verily	very	0
(	(	(	(	(	0
quoth	quoth	vvd	quoth	quoth	0
he	he	pns31	he	he	0
)	)	)	)	)	0
a	a	dt	a	a	0
pacient	pacient	j	patient	patient	0
man	man	n1	man	man	0
in	in	p-acp	in	in	0
miserie	miserie	n1	misery	misery	0
.	.	.	.	.	1
The	The	dt	The	the	0
other	other	n-jn	other	other	0
replying	replying	vvg	replying	reply	0
,	,	,	,	,	0
and	and	cc	and	and	0
demaunding	demaunding	vvg	demanding	demand	0
the	the	dt	the	the	0
cause	cause	n1	cause	cause	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
his	his	po31	his	his	0
assertion	assertion	n1	assertion	assertion	0
,	,	,	,	,	0
he	he	pns31	he	he	0
an	an	dt	and	a	0
∣	∣	sy	∣	∣	0
swered	swered	vvd	swered	swer	0
and	and	cc	and	and	0
sayde	sayde	vvd	said	say	0
:	:	:	:	:	0
eyther	eyther	av-d	either	either	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
in	in	p-acp	in	in	0
miserie	miserie	n1	misery	misery	0
at	at	p-acp	at	at	0
all	all	d	all	all	0
,	,	,	,	,	0
or	or	cc	or	or	0
else	else	av	else	else	0
armed	armed	vvd	armed	arm	0
most	most	av-ds	most	most	0
strong	strong	j	strong	strong	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
and	and	cc	and	and	0
surely	surely	av-j	surely	sure	0
agaynste	agaynste	p-acp	against	against	0
all	all	d	all	all	0
aduersities	aduersities	n2	adversities	adversity	0
what	what	r-crq	what	what	0
so	so	av	so	so	0
euer	euer	av	ever	ever	0
they	they	pns32	they	they	0
be	be	vbb	be	be	0
,	,	,	,	,	0
that	that	cst	that	that	0
shall	shall	vmb	shall	shall	0
happen	happen	vvi	happen	happen	0
vnto	vnto	p-acp	unto	unto	0
him	him	pno31	him	he	0
.	.	.	.	.	1
By	By	p-acp	By	by	0
pacience	pacience	n1	patience	patience	0
,	,	,	,	,	0
sayth	sayth	vvz	say	say	0
he	he	pns31	he	he	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
thousande	thousande	crd	thousande	thousand	0
euilles	euilles	n2-jn	evils	evil	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
at	at	p-acp	at	at	0
all	all	d	all	all	0
any	any	d	any	any	0
whit	whit	n1	whit	whit	0
molested	molested	vvn	molested	molest	0
.	.	.	.	.	1
Anaxagoras	Anaxagoras	np1	Anaxagoras	Anaxagoras	0
the	the	dt	the	the	0
Philosopher	Philosopher	n1	Philosopher	philosopher	0
,	,	,	,	,	0
borne	borne	vvn	born	bear	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
noble	noble	j	noble	noble	0
stocke	stocke	n1	stock	stock	0
,	,	,	,	,	0
and	and	cc	and	and	0
sonne	sonne	n1	son	son	0
to	to	p-acp	to	to	0
Eubullus	Eubullus	np1	Eubullus	Eubullus	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
in	in	p-acp	in	in	0
Philo	Philo	np1	Philo	Philo	0
∣	∣	sy	∣	∣	0
sophie	sophie	n1	sophy	sophy	0
dyd	dyd	vdd	did	do	0
exceede	exceede	vvi	exceed	exceed	0
,	,	,	,	,	0
sayeth	sayeth	vvz	sayeth	say	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
himself	himself	px31	himself	himself	0
could	could	vmd	could	can	0
find	find	vvi	find	find	0
nothing	nothing	pix	nothing	nothing	0
more	more	av-dc	more	more	0
excellent	excellent	j	excellent	excellent	0
in	in	p-acp	in	in	0
war	war	n1	war	war	0
,	,	,	,	,	0
than	than	cs	than	than	0
this	this	d	this	this	0
one	one	crd	one	one	0
thing	thing	n1	thing	thing	0
,	,	,	,	,	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
,	,	,	,	,	0
a	a	dt	a	a	0
Souldier	Souldier	n1	Soldier	soldier	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
hardy	hardy	j	hardy	hardy	0
,	,	,	,	,	0
and	and	cc	and	and	0
also	also	av	also	also	0
chiefely	chiefely	av-jn	chiefly	chief	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
boue	boue	p-acp	above	above	0
all	all	d	all	all	0
other	other	j-jn	other	other	0
things	things	n2	things	thing	0
,	,	,	,	,	0
the	the	dt	the	the	0
same	same	d	same	same	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
like	like	av-j	like	like	0
wise	wise	j	wise	wise	0
trustie	trustie	j	trusty	trusty	0
and	and	cc	and	and	0
pacient	pacient	j	patient	patient	0
to	to	pc-acp	to	to	0
indure	indure	vvi	endure	endure	0
tra	tra	fw-la	tra	tra	0
∣	∣	sy	∣	∣	0
uayle	uayle	n1	vail	vail	0
,	,	,	,	,	0
payne	payne	n1	pain	pain	0
,	,	,	,	,	0
and	and	cc	and	and	0
other	other	j-jn	other	other	0
kind	kind	n1	kind	kind	0
of	of	pp-f	of	of	0
miseries	miseries	n2	misery's	misery	0
that	that	cst	that	that	0
shall	shall	vmb	shall	shall	0
happen	happen	vvi	happen	happen	0
or	or	cc	or	or	0
befall	befall	vvi	befall	befall	0
vnto	vnto	p-acp	unto	unto	0
him	him	pno31	him	he	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
conflicte	conflicte	n1	conflict	conflict	0
of	of	pp-f	of	of	0
war	war	n1	war	war	0
in	in	p-acp	in	in	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
then	then	av	then	then	0
is	is	vbz	is	be	0
conuer	conuer	n1	conuer	conuer	0
∣	∣	sy	∣	∣	0
saunte	saunte	j	saunte	saunte	0
.	.	.	.	.	1
Alexander	Alexander	np1	Alexander	Alexander	0
I	I	pns11	I	i	0
meane	meane	vvb	mean	mean	0
the	the	dt	the	the	0
greate	greate	j	great	great	0
,	,	,	,	,	0
hauing	hauing	vhg	having	have	0
made	made	vvn	made	make	0
war	war	n1	war	war	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
Persians	Persians	njp2	Persians	persian	0
and	and	cc	and	and	0
