FOr	FOr	p-acp	FOr	for	0
as	as	a-acp	as	as	0
much	much	av-d	much	much	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
your	your	po22	your	your	0
Maiesty	Maiesty	n1	Majesty	majesty	0
and	and	cc	and	and	0
Parliament	Parliament	n1	Parliament	parliament	0
,	,	,	,	,	0
doe	doe	vdb	do	do	0
stand	stand	vvi	stand	stand	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
maintenance	maintenance	n1	maintenance	maintenance	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Religion	Religion	n1	Religion	religion	0
wherein	wherein	c-crq	wherein	wherein	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
borne	borne	vvn	born	bear	0
,	,	,	,	,	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
doe	doe	vdb	do	do	0
most	most	av-ds	most	most	0
zealously	zealously	av-j	zealously	zealous	0
persequte	persequte	vvi	persequte	persequte	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
fyer	fyer	n1	fire	fire	0
and	and	cc	and	and	0
sword	sword	n1	sword	sword	0
:	:	:	:	:	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
thought	thought	vvn	thought	think	0
it	it	pn31	it	it	0
good	good	j	good	good	0
,	,	,	,	,	0
and	and	cc	and	and	0
also	also	av	also	also	0
my	my	po11	my	my	0
dewty	dewty	n1	duty	duty	0
(	(	(	(	(	0
most	most	av-ds	most	most	0
Royal	Royal	j	Royal	royal	0
soueraigne	soueraigne	n-jn	sovereign	sovereign	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
en	en	fw-fr	en	en	0
∣	∣	sy	∣	∣	0
forme	forme	n1	form	form	0
your	your	po22	your	your	0
Maiesty	Maiesty	n1	Majesty	majesty	0
and	and	cc	and	and	0
Parliament	Parliament	n1	Parliament	parliament	0
thereof	thereof	av	thereof	thereof	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
al	al	d	all	all	0
humility	humility	n1	humility	humility	0
therfore	therfore	av	therefore	therefore	0
,	,	,	,	,	0
I	I	pns11	I	i	0
give	give	vvb	give	give	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
vnderstand	vnderstand	vvi	understand	understand	0
,	,	,	,	,	0
that	that	cst	that	that	0
no	no	dx	no	no	0
Prince	Prince	n1	Prince	prince	0
or	or	cc	or	or	0
People	People	n1	People	people	0
,	,	,	,	,	0
cā	cā	vmb	can	can	0
possible	possible	av-j	possible	possible	0
attaine	attaine	vvi	attain	attain	0
that	that	cst	that	that	0
one	one	crd	one	one	0
true	true	j	true	true	0
Religion	Religion	n1	Religion	religion	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Gospell	Gospell	n1	Gospel	gospel	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
acceptable	acceptable	j	acceptable	acceptable	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
by	by	p-acp	by	by	0
Iesus	Iesus	np1	Iesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
meerely	meerely	av-j	merely	mere	0
by	by	p-acp	by	by	0
birthIoh	birthIoh	np1	birthIoh	birthIoh	0
.	.	.	.	.	1
3.	3.	crd	3.	3.	0
3	3	crd	3	3	0
for	for	p-acp	for	for	0
Christ	Christ	np1	Christ	Christ	0
saith	saith	vvz	says	say	0
Except	Except	c-acp	Except	except	0
a	a	dt	a	a	0
man	man	n1	man	man	0
be	be	vbi	be	be	0
borne	borne	vvn	born	bear	0
againe	againe	av	again	again	0
,	,	,	,	,	0
he	he	pns31	he	he	0
cannot	cannot	vmbx	cannot	can	0
see	see	vvi	see	see	0
the	the	dt	the	the	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
.	.	.	.	.	1
Also	Also	av	Also	also	0
the	the	dt	the	the	0
Apo	Apo	p-acp	Upon	upon	0
:	:	:	:	:	0
Iames	Iames	np1	Iames	Iames	0
saith	saith	vvz	says	say	0
.	.	.	.	.	0
jam	jam	fw-la	jam	jam	0
.	.	.	.	.	1
1.	1.	crd	1.	1.	0
1	1	crd	1	1	1
Of	Of	pp-f	Of	of	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
wil	wil	vmb	will	will	0
he	he	pns31	he	he	0
begat	begat	vvd	begat	beget	0
vs	vs	pno12	us	we	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
word	word	n1	word	word	0
of	of	pp-f	of	of	0
truth	truth	n1	truth	truth	0
.	.	.	.	.	1
And	And	cc	And	and	0
the	the	av	the	then	0
Apo	Apo	p-acp	Upon	upon	0
:	:	:	:	:	0
Peter	Peter	np1	Peter	Peter	0
saith	saith	vvz	says	say	0
.	.	.	.	.	1
1	1	crd	1	1	0
.	.	.	.	.	1
Petr.	Petr.	np1	Petr.	Petr.	0
1.	1.	crd	1.	1.	0
3.	3.	crd	3.	3.	0
23.	23.	crd	23.	23.	1
Being	Being	vbg	Being	be	0
borne	borne	vvn	born	bear	0
a	a	dt	a	a	0
new	new	j	new	new	0
,	,	,	,	,	0
not	not	xx	not	not	0
of	of	pp-f	of	of	0
mortal	mortal	j-jn	mortal	mortal	0
seed	seed	n1	seed	seed	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
of	of	pp-f	of	of	0
immortal	immortal	j	immortal	immortal	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
word	word	n1	word	word	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
liueth	liueth	vvz	lives	live	0
&	&	cc	&	and	0
en	en	fw-fr	en	en	0
∣	∣	sy	∣	∣	0
dureth	dureth	vvz	dureth	dure	0
for	for	c-acp	for	for	0
ever	ever	av	ever	ever	0
.	.	.	.	.	1
Matth.	Matth.	np1	Matth.	Matth.	0
28.	28.	crd	28.	28.	1
Therfore	Therfore	av	Therefore	therefore	0
Christ	Christ	np1	Christ	Christ	0
commanded	commanded	vvd	commanded	command	0
this	this	d	this	this	0
word	word	n1	word	word	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
preached	preached	vvn	preached	preach	0
to	to	p-acp	to	to	0
al	al	d	all	all	0
nations	nations	n2	nations	nation	0
,	,	,	,	,	0
that	that	cst	that	that	0
thereby	thereby	av	thereby	thereby	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
attayne	attayne	vvi	attain	attain	0
the	the	dt	the	the	0
new	new	j	new	new	0
birth	birth	n1	birth	birth	0
.	.	.	.	.	1
Marc.	Marc.	np1	Marc.	Marc	0
16.	16.	crd	16.	16.	1
By	By	p-acp	By	by	0
which	which	r-crq	which	which	0
your	your	po22	your	your	0
Maiesty	Maiesty	n1	Majesty	majesty	0
and	and	cc	and	and	0
Parliament	Parliament	n1	Parliament	parliament	0
may	may	vmb	may	may	0
perceaue	perceaue	vvi	perceive	perceive	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
one	one	crd	one	one	0
true	true	j	true	true	0
Religion	Religion	n1	Religion	religion	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Gospel	Gospel	n1	Gospel	gospel	0
,	,	,	,	,	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
attayned	attayned	vvd	attained	attain	0
by	by	p-acp	by	by	0
natural	natural	j	natural	natural	0
birth	birth	n1	birth	birth	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
the	the	dt	the	the	0
all	all	d	all	all	0
Princes	Princes	n2	Princes	prince	0
and	and	cc	and	and	0
peoples	peoples	ng1	peoples	people	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
nations	nations	n2	nations	nation	0
,	,	,	,	,	0
shold	shold	vmd	should	shall	0
haue	haue	vhi	have	have	0
that	that	d	that	that	0
one	one	crd	one	one	0
true	true	j	true	true	0
Religion	Religion	n1	Religion	religion	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Gospell	Gospell	n1	Gospel	gospel	0
,	,	,	,	,	0
the	the	dt	the	the	0
which	which	r-crq	which	which	0
you	you	pn22	you	you	0
see	see	vvb	see	see	0
and	and	cc	and	and	0
grant	grant	vvi	grant	grant	0
,	,	,	,	,	0
they	they	pns32	they	they	0
all	all	d	all	all	0
haue	haue	vhb	have	have	0
not	not	xx	not	not	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
many	many	d	many	many	0
