Dearely	Dearely	av-jn	Dearly	dear	0
beloved	beloved	vvn	beloved	belove	0
,	,	,	,	,	0
THe	THe	dt	THe	the	0
true	true	j	true	true	0
Israelite	Israelite	np1	Israelite	Israelite	0
(	(	(	(	(	0
you	you	pn22	you	you	0
know	know	vvb	know	know	0
)	)	)	)	)	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
stranger	stranger	n1	stranger	stranger	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
marvel	marvel	vvb	marvel	marvel	0
not	not	xx	not	not	0
therefore	therefore	av	therefore	therefore	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
cometh	cometh	vvz	comes	come	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
mean	mean	j	mean	mean	0
dresse	dresse	n1	dress	dress	0
:	:	:	:	:	0
yet	yet	av	yet	yet	0
being	being	vbg	being	be	0
glorious	glorious	j	glorious	glorious	0
within	within	p-acp	within	within	0
and	and	cc	and	and	0
bearing	bearing	vvg	bearing	bear	0
the	the	dt	the	the	0
live	live	vvi	live	live	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
image	image	n1	image	image	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
upon	upon	p-acp	upon	upon	0
him	him	pno31	him	he	0
,	,	,	,	,	0
he	he	pns31	he	he	0
doubt	doubt	vvb	doubt	doubt	0
∣	∣	sy	∣	∣	0
eth	eth	zz	eth	eth	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
find	find	vvi	find	find	0
acceptance	acceptance	n1	acceptance	acceptance	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
his	his	po31	his	his	0
brethren	brethren	n2	brothers	brethren	0
,	,	,	,	,	0
and	and	cc	and	and	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
true	true	j	true	true	0
Chri	Chri	np1	Chri	Chri	0
∣	∣	sy	∣	∣	0
stians	stians	n2	stians	stian	0
.	.	.	.	.	1
As	As	p-acp	As	as	0
for	for	p-acp	for	for	0
any	any	d	any	any	0
other	other	n-jn	other	other	0
,	,	,	,	,	0
he	he	pns31	he	he	0
needs	needs	vvz	needs	need	0
not	not	xx	not	not	0
care	care	n1	care	care	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
they	they	pns32	they	they	0
either	either	d	either	either	0
think	think	vvb	think	think	0
or	or	cc	or	or	0
say	say	vvi	say	say	0
.	.	.	.	.	1
I	I	pns11	I	i	0
begin	begin	vvb	begin	begin	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
the	the	dt	the	the	0
inhabitants	inhabitants	n2	inhabitants	inhabitant	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
city	city	n1	city	city	0
of	of	pp-f	of	of	0
Dublin	Dublin	np1	Dublin	Dublin	0
in	in	p-acp	in	in	0
Ireland	Ireland	np1	Ireland	Ireland	0
:	:	:	:	:	0
Ex	Ex	fw-la	Ex	ex	0
∣	∣	sy	∣	∣	0
cuse	cuse	vvb	cuse	cuse	0
me	me	pno11	me	i	0
for	for	c-acp	for	for	0
not	not	xx	not	not	0
nominating	nominating	vvg	nominating	nominate	0
any	any	d	any	any	0
,	,	,	,	,	0
since	since	c-acp	since	since	0
your	your	po22	your	your	0
number	number	n1	number	number	0
is	is	vbz	is	be	0
so	so	av	so	so	0
great	great	j	great	great	0
as	as	c-acp	as	as	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
voluntary	voluntary	j-jn	voluntary	voluntary	0
subscriptions	subscriptions	n2	subscriptions	subscription	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
em	em	pno32	em	they	0
∣	∣	sy	∣	∣	0
ployment	ployment	n1	ployment	ployment	0
and	and	cc	and	and	0
maintenance	maintenance	n1	maintenance	maintenance	0
amongst	amongst	p-acp	among	among	0
you	you	pn22	you	you	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
booke	booke	n1	book	book	0
yet	yet	av	yet	yet	0
kept	kept	vvn	kept	keep	0
by	by	p-acp	by	by	0
me	me	pno11	me	i	0
,	,	,	,	,	0
may	may	vmb	may	may	0
appeare	appeare	vvi	appear	appear	0
;	;	;	;	;	0
that	that	cst	that	that	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
name	name	vvi	name	name	0
some	some	d	some	some	0
,	,	,	,	,	0
and	and	cc	and	and	0
should	should	vmd	should	shall	0
pretermit	pretermit	vvi	pretermit	pretermit	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
and	and	cc	and	and	0
misplace	misplace	vvb	misplace	misplace	0
any	any	d	any	any	0
,	,	,	,	,	0
not	not	xx	not	not	0
knowing	knowing	vvg	knowing	know	0
after	after	p-acp	after	after	0
so	so	av	so	so	0
long	long	j	long	long	0
absence	absence	n1	absence	absence	0
and	and	cc	and	and	0
at	at	p-acp	at	at	0
so	so	av	so	so	0
great	great	j	great	great	0
distance	distance	n1	distance	distance	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
alterations	alterations	n2	alterations	alteration	0
time	time	n1	time	time	0
hath	hath	vhz	hath	have	0
wrought	wrought	vvn	wrought	wrought	0
among	among	p-acp	among	among	0
you	you	pn22	you	you	0
,	,	,	,	,	0
I	I	pns11	I	i	0
might	might	vmd	might	may	0
give	give	vvi	give	give	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
∣	∣	sy	∣	∣	0
fence	fence	n1	fence	fence	0
,	,	,	,	,	0
I	I	pns11	I	i	0
believe	believe	vvb	believe	believe	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
never	never	av-x	never	never	0
forget	forget	vvi	forget	forget	0
your	your	po22	your	your	0
great	great	j	great	great	0
and	and	cc	and	and	0
constant	constant	j	constant	constant	0
affection	affection	n1	affection	affection	0
to	to	p-acp	to	to	0
∣	∣	sy	∣	∣	0
wards	wards	av	wards	ward	0
me	me	pno11	me	i	0
,	,	,	,	,	0
since	since	c-acp	since	since	0
my	my	po11	my	my	0
first	first	ord	first	first	0
coming	coming	vvg	coming	come	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
mong	mong	p-acp	mong	among	0
you	you	pn22	you	you	0
,	,	,	,	,	0
how	how	c-crq	how	how	0
cordially	cordially	av-j	cordially	cordial	0
you	you	pn22	you	you	0
embraced	embraced	vvd	embraced	embrace	0
my	my	po11	my	my	0
person	person	n1	person	person	0
,	,	,	,	,	0
how	how	c-crq	how	how	0
readily	readily	av-j	readily	ready	0
and	and	cc	and	and	0
gladly	gladly	av-j	gladly	glad	0
you	you	pn22	you	you	0
received	received	vvd	received	receive	0
the	the	dt	the	the	0
Gospel	Gospel	n1	Gospel	gospel	0
wherof	wherof	c-crq	whereof	whereof	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
made	made	vvn	made	make	0
a	a	dt	a	a	0
minister	minister	n1	minister	minister	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
gift	gift	n1	gift	gift	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
gien	gien	vvn	gien	gien	0
unto	unto	p-acp	unto	unto	0
me	me	pno11	me	i	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
sakes	sakes	n2	sakes	sake	0
,	,	,	,	,	0
while	while	cs	while	while	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
;	;	;	;	;	0
how	how	c-crq	how	how	0
freely	freely	av-j	freely	free	0
and	and	cc	and	and	0
plentifully	plentifully	av-j	plentifully	plentiful	0
you	you	pn22	you	you	0
contribu	contribu	vvb	contribu	contribu	0
∣	∣	sy	∣	∣	0
ted	ted	vvd	ted	t	0
towards	towards	p-acp	towards	towards	0
my	my	po11	my	my	0
maintenance	maintenance	n1	maintenance	maintenance	0
;	;	;	;	;	0
and	and	cc	and	and	0
,	,	,	,	,	0
since	since	c-acp	since	since	0
my	my	po11	my	my	0
removal	removal	n1	removal	removal	0
from	from	p-acp	from	from	0
you	you	pn22	you	you	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
clandestine	clandestine	j	clandestine	clandestine	0
practices	practices	n2	practices	practice	0
of	of	pp-f	of	of	0
some	some	d	some	some	0
,	,	,	,	,	0
(	(	(	(	(	0
who	who	r-crq	who	who	0
then	then	av	then	then	0
seemed	seemed	vvd	seemed	seem	0
to	to	pc-acp	to	to	0
stand	stand	vvi	stand	stand	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
English	English	jp	English	english	0
interest	interest	n1	interest	interest	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
since	since	c-acp	since	since	0
have	have	vhb	have	have	0
beene	beene	vbn	been	be	0
dis	dis	d	dis	this	0
∣	∣	sy	∣	∣	0
covered	covered	vvn	covered	cover	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
worse	worse	jc	worse	worse	0
enemies	enemies	n2	enemies	enemy	0
within	within	p-acp	within	within	0
than	than	cs	than	than	0
any	any	d	any	any	0
without	without	a-acp	without	without	0
could	could	vmd	could	can	0
be	be	vbi	be	be	0
)	)	)	)	)	0
how	how	q-crq	how	how	0
mind	mind	n1	mind	mind	0
∣	∣	sy	∣	∣	0
ful	ful	j	full	full	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
of	of	pp-f	of	of	0
me	me	pno11	me	i	0
,	,	,	,	,	0
and	and	cc	and	and	0
still	still	av	still	still	0
are	are	vbr	are	be	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
all	all	d	all	all	0
that	that	cst	that	that	0
come	come	vvb	come	come	0
hither	hither	av	hither	hither	0
from	from	p-acp	from	from	0
you	you	pn22	you	you	0
do	do	vdb	do	do	0
certify	certify	vvi	certify	certify	0
.	.	.	.	.	1
I	I	pns11	I	i	0
cannot	cannot	vmbx	cannot	can	0
,	,	,	,	,	0
and	and	cc	and	and	0
hope	hope	vvb	hope	hope	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
,	,	,	,	,	0
forget	forget	vvb	forget	forget	0
how	how	c-crq	how	how	0
many	many	d	many	many	0
dayes	dayes	n2	days	day	0
of	of	pp-f	of	of	0
humiliation	humiliation	n1	humiliation	humiliation	0
,	,	,	,	,	0
even	even	av	even	even	0
once	once	a-acp	once	once	0
a	a	dt	a	a	0
weeke	weeke	n1	week	week	0
for	for	p-acp	for	for	0
two	two	crd	two	two	0
yeares	yeares	ng2	years	year	0
space	space	n1	space	space	0
,	,	,	,	,	0
we	we	pns12	we	we	0
kept	kept	vvd	kept	keep	0
together	together	av	together	together	0
in	in	p-acp	in	in	0
publike	publike	j	public	public	0
,	,	,	,	,	0
during	during	p-acp	during	during	0
the	the	dt	the	the	0
