AMongest	AMongest	p-acp	Amongst	amongst	0
many	many	d	many	many	0
reasons	reasons	n2	reasons	reason	0
,	,	,	,	,	0
(	(	(	(	(	0
need	need	vvb	need	need	0
∣	∣	sy	∣	∣	0
lesse	lesse	av-dc	less	less	0
nowe	nowe	av	now	now	0
to	to	pc-acp	to	to	0
rehearse	rehearse	vvi	rehearse	rehearse	0
)	)	)	)	)	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
ducing	ducing	j	ducing	ducing	0
mee	mee	pno11	me	i	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
offer	offer	vvi	offer	offer	0
this	this	d	this	this	0
smal	smal	j	small	small	0
Treatise	Treatise	n1	Treatise	treatise	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
Worshippes	Worshippes	n2	Worships	worship	0
;	;	;	;	;	0
this	this	d	this	this	0
was	was	vbds	was	be	0
not	not	xx	not	not	0
the	the	dt	the	the	0
least	least	ds	least	least	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
weet	weet	vvi	weet	weet	0
,	,	,	,	,	0
that	that	cst	that	that	0
thereby	thereby	av	thereby	thereby	0
,	,	,	,	,	0
I	I	pns11	I	i	0
might	might	vmd	might	may	0
testifie	testifie	vvi	testify	testify	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
my	my	po11	my	my	0
vnfeigned	vnfeigned	j	unfeigned	unfeigned	0
good	good	j	good	good	0
will	will	n1	will	will	0
towardes	towardes	p-acp	towards	towards	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
so	so	av	so	so	0
the	the	dt	the	the	0
care	care	n1	care	care	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
holy	holy	j	holy	holy	0
loue	loue	n1	love	love	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
buyld	buyld	vvi	build	build	0
you	you	pn22	you	you	0
vp	vp	a-acp	up	up	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
sincere	sincere	j	sincere	sincere	0
iudge	iudge	n1	judge	judge	0
∣	∣	sy	∣	∣	0
ment	ment	vvd	meant	mean	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
pointes	pointes	n2	points	point	0
and	and	cc	and	and	0
princi	princi	fw-la	princi	princi	0
∣	∣	sy	∣	∣	0
ples	ples	ng1	ples	ples	0
of	of	pp-f	of	of	0
Christian	Christian	njp	Christian	christian	0
religion	religion	n1	religion	religion	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
,	,	,	,	,	0
though	though	cs	though	though	0
I	I	pns11	I	i	0
doubt	doubt	vvb	doubt	doubt	0
not	not	xx	not	not	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
