ALthough	ALthough	cs	ALthough	although	0
I	I	pns11	I	i	0
can	can	vmb	can	can	0
iust	iust	j	just	just	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
challenge	challenge	vvb	challenge	challenge	0
no	no	av-dx	no	no	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
terest	terest	n1	terest	terest	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
Lord	Lord	n1	Lord	lord	0
∣	∣	sy	∣	∣	0
ships	ships	vvz	ships	ship	0
favour	favour	vvb	favour	favour	0
;	;	;	;	;	0
yet	yet	av	yet	yet	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
may	may	vmb	may	may	0
claime	claime	vvi	claim	claim	0
any	any	d	any	any	0
fruit	fruit	n1	fruit	fruit	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
studies	studies	n2	studies	study	0
as	as	p-acp	as	as	0
your	your	po22	your	your	0
due	due	j-jn	due	due	0
,	,	,	,	,	0
especially	especially	av-j	especially	especial	0
this	this	d	this	this	0
Sermon	Sermon	n1	Sermon	sermon	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
at	at	p-acp	at	at	0
first	first	ord	first	first	0
conceived	conceived	vvn	conceived	conceive	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
famous	famous	j	famous	famous	0
Ʋniversitie	Ʋniversitie	n1	Ʋniversitie	ʋniversitie	0
,	,	,	,	,	0
whereof	whereof	c-crq	whereof	whereof	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
hath	hath	vhz	hath	have	0
for	for	p-acp	for	for	0
manie	manie	d	many	many	0
yeares	yeares	n2	years	year	0
beene	beene	vbn	been	be	0
the	the	av	the	then	0
Honourable	Honourable	j	Honourable	honourable	0
Chancellor	Chancellor	n1	Chancellor	chancellor	0
,	,	,	,	,	0
and	and	cc	and	and	0
now	now	av	now	now	0
brought	brought	vvd	brought	bring	0
forth	forth	av	forth	forth	0
before	before	p-acp	before	before	0
that	that	cst	that	that	0
most	most	av-ds	most	most	0
Honorable	Honorable	j	Honourable	honourable	0
Houshold	Houshold	n1	Household	household	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
which	which	r-crq	which	which	0
your	your	po22	your	your	0
Honour	Honour	n1	Honour	honour	0
is	is	vbz	is	be	0
right	right	j-jn	right	right	0
worthily	worthily	av-j	worthily	worthy	0
the	the	dt	the	the	0
high	high	j	high	high	0
Steward	Steward	n1	Steward	steward	0
.	.	.	.	.	1
And	And	cc	And	and	0
besides	besides	a-acp	beside	beside	0
,	,	,	,	,	0
that	that	cst	that	that	0
small	small	j	small	small	0
Inheritance	Inheritance	n1	Inheritance	inheritance	0
which	which	r-crq	which	which	0
God	God	np1	God	God	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
goodnesse	goodnesse	n1	goodness	goodness	0
hath	hath	vhz	hath	have	0
given	given	vvn	given	give	0
mee	mee	pno11	me	i	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
the	the	dt	the	the	0
preservation	preservation	n1	preservation	preservation	0
of	of	pp-f	of	of	0
mee	mee	pno11	me	i	0
,	,	,	,	,	0
and	and	cc	and	and	0
mine	mine	png11	mine	i	0
,	,	,	,	,	0
I	I	pns11	I	i	0
doe	doe	vdb	do	do	0
inioy	inioy	vvi	enjoy	enjoy	0
under	under	p-acp	under	under	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
,	,	,	,	,	0
and	and	cc	and	and	0
am	am	vbm	am	be	0
by	by	p-acp	by	by	0
that	that	cst	that	that	0
