Righ	Righ	j-jn	Righ	right	0
Honour	Honour	n1	Honour	honour	0
.	.	.	.	.	1
I	I	pns11	I	i	0
Have	Have	vhb	Have	have	0
four	four	crd	four	four	0
yeares	yeares	n2	years	year	0
since	since	a-acp	since	since	0
put	put	vvd	put	put	0
forth	forth	av	forth	forth	0
a	a	dt	a	a	0
booke	booke	n1	book	book	0
in	in	p-acp	in	in	0
answer	answer	n1	answer	answer	0
to	to	p-acp	to	to	0
Mr.	Mr.	n1	Mr.	mr.	1
Thomas	Thomas	np1	Thomas	Thomas	0
Patients	Patients	ng1	Patients	patient	0
book	book	n1	book	book	0
,	,	,	,	,	0
cal	cal	vvi	call	call	0
∣	∣	sy	∣	∣	0
led	led	vvd	led	lead	0
the	the	dt	the	the	0
doctrine	doctrine	n1	doctrine	doctrine	0
of	of	pp-f	of	of	0
baptisme	baptisme	n1	baptism	baptism	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
di	di	zz	di	di	0
∣	∣	sy	∣	∣	0
stinction	stinction	n1	stinction	stinction	0
of	of	pp-f	of	of	0
Covenants	Covenants	n2	Covenants	covenant	0
,	,	,	,	,	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
did	did	vdd	did	do	0
expect	expect	vvi	expect	expect	0
,	,	,	,	,	0
that	that	cst	that	that	0
,	,	,	,	,	0
Mr.	Mr.	n1	Mr.	mr.	1
Patient	Patient	j	Patient	patient	0
would	would	vmd	would	will	0
have	have	vhi	have	have	0
replyed	replyed	vvn	replied	reply	0
to	to	p-acp	to	to	0
mine	mine	png11	mine	i	0
,	,	,	,	,	0
and	and	cc	and	and	0
therfore	therfore	av	therefore	therefore	0
I	I	pns11	I	i	0
did	did	vdd	did	do	0
by	by	p-acp	by	by	0
reading	reading	vvg	reading	read	0
provide	provide	vvb	provide	provide	0
my	my	po11	my	my	0
self	self	n1	self	self	0
in	in	p-acp	in	in	0
part	part	n1	part	part	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
reioynder	reioynder	n1	rejoinder	rejoinder	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
seing	seing	vvg	sing	sing	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
not	not	xx	not	not	0
replyed	replyed	vvn	replied	reply	0
,	,	,	,	,	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
made	made	vvn	made	make	0
bold	bold	j	bold	bold	0
to	to	pc-acp	to	to	0
present	present	vvi	present	present	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Honours	Honours	ng1	Honours	honour	0
,	,	,	,	,	0
something	something	pi	something	something	0
of	of	pp-f	of	of	0
what	what	r-crq	what	what	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
gathered	gathered	vvn	gathered	gather	0
together	together	av	together	together	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
what	what	r-crq	what	what	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
obser	obser	jc	obser	obs	0
∣	∣	sy	∣	∣	0
ved	ved	vvn	ved	ve	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Anabaptists	Anabaptists	np1	Anabaptists	Anabaptists	0
and	and	cc	and	and	0
Quakers	Quakers	np1	Quakers	Quakers	0
amongst	amongst	p-acp	among	among	0
us	us	pno12	us	we	0
:	:	:	:	:	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
drawen	drawen	vvn	drawn	draw	0
up	up	a-acp	up	up	0
,	,	,	,	,	0
I	I	pns11	I	i	0
think	think	vvb	think	think	0
the	the	dt	the	the	0
breifest	breifest	js-jn	breifest	breif	0
relation	relation	n1	relation	relation	0
that	that	cst	that	that	0
hath	hath	vhz	hath	have	0
been	been	vbn	been	be	0
hither	hither	av	hither	hither	0
∣	∣	sy	∣	∣	0
to	to	p-acp	to	to	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
remarkable	remarkable	j	remarkable	remarkable	0
passages	passages	n2	passages	passage	0
both	both	d	both	both	0
of	of	pp-f	of	of	0
Doctrine	Doctrine	n1	Doctrine	doctrine	0
and	and	cc	and	and	0
practice	practice	n1	practice	practice	0
in	in	p-acp	in	in	0
Germany	Germany	np1	Germany	Germany	0
139	139	crd	139	139	0
yeares	yeares	n2	years	year	0
ago	ago	av	ago	ago	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
forward	forward	av-j	forward	forward	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
which	which	r-crq	which	which	0
,	,	,	,	,	0
the	the	dt	the	the	0
Judicious	Judicious	j	Judicious	judicious	0
Reader	Reader	n1	Reader	reader	0
may	may	vmb	may	may	0
observe	observe	vvi	observe	observe	0
,	,	,	,	,	0
how	how	c-crq	how	how	0
near	near	av-j	near	near	0
these	these	d	these	these	0
Sectaries	Sectaries	n2	Sectaries	sectary	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
Nations	Nations	n2	Nations	nation	0
have	have	vhb	have	have	0
advanced	advanced	vvn	advanced	advance	0
both	both	av-d	both	both	0
in	in	p-acp	in	in	0
Doctrine	Doctrine	n1	Doctrine	doctrine	0
,	,	,	,	,	0
and	and	cc	and	and	0
practise	practise	vvi	practise	practise	0
to	to	p-acp	to	to	0
these	these	d	these	these	0
in	in	p-acp	in	in	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
Germany	Germany	np1	Germany	Germany	0
.	.	.	.	.	1
And	And	cc	And	and	0
consider	consider	vvb	consider	consider	0
∣	∣	sy	∣	∣	0
ing	ing	n1	king	king	0
how	how	c-crq	how	how	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
raised	raised	vvn	raised	raise	0
up	up	a-acp	up	up	0
your	your	po22	your	your	0
spirits	spirits	n2	spirits	spirit	0
,	,	,	,	,	0
and	and	cc	and	and	0
how	how	c-crq	how	how	0
Instrumen	Instrumen	np1	Instrumen	Instrumen	0
∣	∣	sy	∣	∣	0
tall	tall	j	tall	tall	0
your	your	po22	your	your	0
Honours	Honours	ng1	Honours	honour	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
hand	hand	n1	hand	hand	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
to	to	pc-acp	to	to	0
suppresse	suppresse	vvi	suppress	suppress	0
their	their	po32	their	their	0
insolent	insolent	j	insolent	insolent	0
,	,	,	,	,	0
tyrannicall	tyrannicall	j	tyrannical	tyrannical	0
usurped	usurped	j-vvn	usurped	usurp	0
Authority	Authority	n1	Authority	authority	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
exercised	exercised	vvd	exercised	exercise	0
over	over	p-acp	over	over	0
Gods	Gods	npg1	Gods	God	0
people	people	n1	people	people	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
nation	nation	n1	nation	nation	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
inslave	inslave	vvi	enslave	enslave	0
us	us	pno12	us	we	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
insatiable	insatiable	j	insatiable	insatiable	0
lusts	lusts	n2	lustest	lust	0
,	,	,	,	,	0
and	and	cc	and	and	0
also	also	av	also	also	0
how	how	c-crq	how	how	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
prospered	prospered	vvn	prospered	prosper	0
your	your	po22	your	your	0
Honors	Honors	ng1	Honours	honour	0
indeavours	indeavours	n2	endeavours	endeavour	0
therein	therein	av	therein	therein	0
,	,	,	,	,	0
beyond	beyond	p-acp	beyond	beyond	0
what	what	r-crq	what	what	0
we	we	pns12	we	we	0
could	could	vmd	could	can	0
in	in	p-acp	in	in	0
natural	natural	j	natural	natural	0
reason	reason	n1	reason	reason	0
expect	expect	vvi	expect	expect	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
so	so	av	so	so	0
