BFloved	BFloved	j-vvn	BFloved	bflove	0
,	,	,	,	,	0
the	the	dt	the	the	0
disease	disease	n1	disease	disease	0
commonly	commonly	av-j	commonly	common	0
called	called	vvn	called	call	0
and	and	cc	and	and	0
usually	usually	av-j	usually	usual	0
felt	felt	vvn	felt	feel	0
and	and	cc	and	and	0
knowne	knowne	vvn	known	know	0
,	,	,	,	,	0
Poda	Poda	np1	Poda	Poda	0
∣	∣	sy	∣	∣	0
gra	gra	fw-mi	gra	gra	0
,	,	,	,	,	0
or	or	cc	or	or	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
learned	learned	j	learned	learned	0
Writer	Writer	n1	Writer	writer	0
saith	saith	vvz	says	say	0
,	,	,	,	,	0
Gutta	Gutta	np1	Gutta	Gutta	0
Podagrica	Podagrica	np1	Podagrica	Podagrica	0
,	,	,	,	,	0
is	is	vbz	is	be	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
say	say	vvi	say	say	0
)	)	)	)	)	0
a	a	dt	a	a	0
slie	slie	j	sly	sly	0
,	,	,	,	,	0
subtile	subtile	j	subtle	subtle	0
,	,	,	,	,	0
and	and	cc	and	and	0
theevish	theevish	j	thievish	thievish	0
Serpent	Serpent	n1	Serpent	serpent	0
.	.	.	.	.	1
Which	Which	r-crq	Which	which	0
I	I	pns11	I	i	0
prove	prove	vvb	prove	prove	0
;	;	;	;	;	0
first	first	ord	first	first	0
,	,	,	,	,	0
a	a	dt	a	a	0
slie	slie	j	sly	sly	0
and	and	cc	and	and	0
subtile	subtile	j	subtle	subtle	0
Serpent	Serpent	n1	Serpent	serpent	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
as	as	c-acp	as	as	0
much	much	d	much	much	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
creepeth	creepeth	vvz	creeps	creep	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
Courts	Courts	n2	Courts	court	0
and	and	cc	and	and	0
secret	secret	j-jn	secret	secret	0
Closets	Closets	n2	Closets	closet	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
greatest	greatest	js	greatest	great	0
Potentates	Potentates	n2	Potentates	potentate	0
and	and	cc	and	and	0
Princes	Princes	n2	Princes	prince	0
of	of	pp-f	of	of	0
Christendome	Christendome	np1	Christendome	Christendom	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
world	world	n1	world	world	0
,	,	,	,	,	0
and	and	cc	and	and	0
their	their	po32	their	their	0
subordinate	subordinate	j	subordinate	subordinate	0
Magistrates	Magistrates	n2	Magistrates	magistrate	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
Church	Church	n1	Church	church	0
and	and	cc	and	and	0
Commonwealth	Commonwealth	n1	Commonwealth	commonwealth	0
;	;	;	;	;	0
and	and	cc	and	and	0
so	so	av	so	so	0
consequently	consequently	av-j	consequently	consequent	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
meanest	meanest	js	meanest	mean	0
subject	subject	n-jn	subject	subject	0
:	:	:	:	:	0
some	some	d	some	some	0
say	say	vvb	say	say	0
the	the	dt	the	the	0
Rich	Rich	j	Rich	rich	0
rather	rather	av-c	rather	rather	0
than	than	cs	than	than	0
the	the	dt	the	the	0
Poore	Poore	j	Poor	poor	0
.	.	.	.	.	1
And	And	cc	And	and	0
some	some	d	some	some	0
this	this	d	this	this	0
Serpent	Serpent	n1	Serpent	serpent	0
biteth	biteth	vvz	bites	bite	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
heele	heele	n1	heel	heel	0
,	,	,	,	,	0
and	and	cc	and	and	0
some	some	d	some	some	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
foot	foot	n1	foot	foot	0
,	,	,	,	,	0
some	some	d	some	some	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
great	great	j	great	great	0
,	,	,	,	,	0
and	and	cc	and	and	0
o	o	sy	oh	o	0
∣	∣	sy	∣	∣	0
thersome	thersome	j	thersome	thersome	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
lesser	lesser	jc	lesser	lesser	0
toes	toes	n2	toes	toe	0
,	,	,	,	,	0
and	and	cc	and	and	0
otherwhiles	otherwhiles	av	otherwhiles	otherwhiles	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
anckles	anckles	n2	ankles	ankle	0
.	.	.	.	.	1
Secondly	Secondly	ord	Secondly	second	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
theevish	theevish	j	thievish	thievish	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
commeth	commeth	vvz	comes	come	0
alwayes	alwayes	av	always	always	0
unawares	unawares	av-j	unawares	unaware	0
,	,	,	,	,	0
before	before	c-acp	before	before	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
thought	thought	vvn	thought	think	0
on	on	a-acp	on	on	0
,	,	,	,	,	0
or	or	cc	or	or	0
expected	expected	vvd	expected	expect	0
:	:	:	:	:	0
yea	yea	uh	yea	yea	0
,	,	,	,	,	0
it	it	pn31	it	it	0
commonly	commonly	av-j	commonly	common	0
commeth	commeth	vvz	comes	come	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
theefe	theefe	n1	thief	thief	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
night	night	n1	night	night	0
.	.	.	.	.	1
Now	Now	av	Now	now	0
what	what	r-crq	what	what	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
by	by	p-acp	by	by	0
definiti	definiti	n1	definiti	definiti	0
∣	∣	sy	∣	∣	0
on	on	p-acp	on	on	0
,	,	,	,	,	0
our	our	po12	our	our	0
learned	learned	j	learned	learned	0
Author	Author	n1	Author	author	0
saith	saith	vvz	says	say	0
sufficiently	sufficiently	av-j	sufficiently	sufficient	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Discourse	Discourse	n1	Discourse	discourse	0
following	following	vvg	following	follow	0
:	:	:	:	:	0
And	And	cc	And	and	0
certes	certes	av	certes	certes	0
,	,	,	,	,	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
were	were	vbdr	were	be	0
a	a	dt	a	a	0
professed	professed	j-vvn	professed	profess	0
Physitian	Physitian	n1	Physician	physician	0
,	,	,	,	,	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
of	of	pp-f	of	of	0
Pa	Pa	wd	Pa	pa	0
∣	∣	sy	∣	∣	0
racelsus	racelsus	uh-np	racelsus	racelsu	0
his	his	po31	his	his	0
minde	minde	n1	mind	mind	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
saith	saith	vvz	says	say	0
,	,	,	,	,	0
that	that	cst	that	that	0
this	this	d	this	this	0
Podagra	Podagra	fw-la	Podagra	podagra	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
gravell	gravell	n1	gravel	gravel	0
gathered	gathered	vvn	gathered	gather	0
between	between	p-acp	between	between	0
the	the	dt	the	the	0
joints	joints	n2	joints	joint	0
,	,	,	,	,	0
whereby	whereby	c-crq	whereby	whereby	0
the	the	dt	the	the	0
Gout	Gout	n1	Gout	gout	0
is	is	vbz	is	be	0
called	called	vvn	called	call	0
And	And	cc	And	and	0
however	however	a-acp	however	however	0
it	it	pn31	it	it	0
be	be	vbb	be	be	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
dis	dis	fw-fr	dis	dis	0
∣	∣	sy	∣	∣	0
ease	ease	n1	ease	ease	0
subject	subject	vvi	subject	subject	0
to	to	p-acp	to	to	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
are	are	vbr	are	be	0
of	of	pp-f	of	of	0
sedentary	sedentary	j	sedentary	sedentary	0
and	and	cc	and	and	0
studi	studi	fw-la	studi	studi	0
∣	∣	sy	∣	∣	0
ous	ous	j	ous	ous	0
lives	lives	vvz	lives	live	0
:	:	:	:	:	0
i	i	uh	i	i	0
.	.	.	.	.	1
e	e	sy	e	e	0
.	.	.	.	.	0
that	that	cst	that	that	0
sit	sit	j	fit	fit	0
much	much	av-d	much	much	0
:	:	:	:	:	0
as	as	c-acp	as	as	0
Councellours	Councellours	n2	Counsellors	counsellor	0
of	of	pp-f	of	of	0
Estate	Estate	n1	Estate	estate	0
,	,	,	,	,	0
Senators	Senators	n2	Senators	senator	0
of	of	pp-f	of	of	0
Cities	Cities	n2	Cities	city	0
,	,	,	,	,	0
Bishops	Bishops	n2	Bishops	bishop	0
,	,	,	,	,	0
Iudges	Iudges	n2	Judges	judge	0
and	and	cc	and	and	0
Scholars	Scholars	n2	Scholars	scholar	0
,	,	,	,	,	0
(	(	(	(	(	0
that	that	cst	that	that	0
study	study	vvb	study	study	0
much	much	av-d	much	much	0
)	)	)	)	)	0
do	do	vdb	do	do	0
:	:	:	:	:	0
Nay	Nay	uh-x	Nay	nay	0
,	,	,	,	,	0
may	may	vmb	may	may	0
we	we	pns12	we	we	0
not	not	xx	not	not	0
sometimes	sometimes	av	sometime	sometime	0
see	see	vvi	see	see	0
that	that	d	that	that	0
even	even	j	even	even	0
men	men	n2	men	man	0
of	of	pp-f	of	of	0
active	active	j	active	active	0
lives	lives	n2	lives	life	0
and	and	cc	and	and	0
dispositions	dispositions	n2	dispositions	disposition	0
are	are	vbr	are	be	0
surprized	surprized	vvn	surprised	surprise	0
with	with	p-acp	with	with	0
this	this	d	this	this	0
theevish	theevish	j	thievish	thievish	0
ser	ser	zz	ser	ser	0
∣	∣	sy	∣	∣	0
penticall	penticall	j	penticall	penticall	0
disease	disease	n1	disease	disease	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
the	the	dt	the	the	0
benefit	benefit	n1	benefit	benefit	0
therefore	therefore	av	therefore	therefore	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Commonwealth	Commonwealth	n1	Commonwealth	commonwealth	0
,	,	,	,	,	0
this	this	d	this	this	0
Treatise	Treatise	n1	Treatise	treatise	0
not	not	xx	not	not	0
unlearnedly	unlearnedly	av-j	unlearnedly	unlearned	0
writ	writ	vvn	writ	write	0
∣	∣	sy	∣	∣	0
ten	ten	crd	ten	ten	0
,	,	,	,	,	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
unprofitably	unprofitably	av-j	unprofitably	unprofitable	0
published	published	vvn	published	publish	0
:	:	:	:	:	0
Especi	Especi	np1	Especi	Especi	0
∣	∣	sy	∣	∣	0
ally	ally	n1	alley	ally	0
considering	considering	vvg	considering	consider	0
,	,	,	,	,	0
the	the	dt	the	the	0
like	like	j	like	like	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
knowledge	knowledge	n1	knowledge	knowledge	0
,	,	,	,	,	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
extant	extant	j	extant	extant	0
,	,	,	,	,	0
either	either	av-d	either	either	0
in	in	p-acp	in	in	0
English	English	jp	English	english	0
or	or	cc	or	or	0
Latine	Latine	jp	Latin	latin	0
.	.	.	.	.	1
I	I	pns11	I	i	0
had	had	vhd	had	have	0
it	it	pn31	it	it	0
not	not	xx	not	not	0
many	many	d	many	many	0
moneths	moneths	n2	months	month	0
past	past	j	past	past	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
hands	hands	n2	hands	hand	0
of	of	pp-f	of	of	0
one	one	crd	one	one	0
neere	neere	j	near	near	0
and	and	cc	and	and	0
deere	deere	j-jn	deer	dear	0
unto	unto	p-acp	unto	unto	0
me	me	pno11	me	i	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
is	is	vbz	is	be	0
since	since	a-acp	since	since	0
dissolved	dissolved	vvn	dissolved	dissolve	0
,	,	,	,	,	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
in	in	p-acp	in	in	0
Heaven	Heaven	n1	Heaven	heaven	0
:	:	:	:	:	0
And	And	cc	And	and	0
sithence	sithence	c-acp	since	since	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
beene	beene	vbn	been	be	0
peru	peru	n2	peru	peru	0
∣	∣	sy	∣	∣	0
sed	sed	zz	sed	sed	0
by	by	p-acp	by	by	0
one	one	crd	one	one	0
more	more	av-dc	more	more	0
neere	neere	j	near	near	0
and	and	cc	and	and	0
deere	deere	j-jn	deer	dear	0
unto	unto	p-acp	unto	unto	0
me	me	pno11	me	i	0
,	,	,	,	,	0
an	an	dt	and	a	0
anci	anci	fw-la	anci	anci	0
∣	∣	sy	∣	∣	0
ent	ent	n1	ent	ent	0
Professor	Professor	n1	Professor	professor	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Apollonian	Apollonian	n1	Apollonian	apollonian	0
Art.	Art.	n1	Art.	art	1
Vouchsafe	Vouchsafe	vvb	Vouchsafe	vouchsafe	0
therefore	therefore	av	therefore	therefore	0
yee	yee	pn22	ye	you	0
Lords	Lords	n2	Lords	lord	0
,	,	,	,	,	0
Ladyes	Ladyes	n2	Ladies	lady	0
,	,	,	,	,	0
or	or	cc	or	or	0
of	of	pp-f	of	of	0
what	what	r-crq	what	what	0
degree	degree	n1	degree	degree	0
soever	soever	av	soever	soever	0
,	,	,	,	,	0
unto	unto	p-acp	unto	unto	0
