NOt	NOt	xx	NOt	not	0
long	long	av-j	long	long	0
since	since	c-acp	since	since	0
I	I	pns11	I	i	0
published	published	vvd	published	publish	0
a	a	dt	a	a	0
litle	litle	j	little	little	0
methode	methode	n1	method	method	0
intituled	intituled	vvn	entitled	entitle	0
principles	principles	n2	principles	principle	0
&	&	cc	&	and	0
inferences	inferences	n2	inferences	inference	0
concer	concer	fw-fr	concer	concer	0
∣	∣	sy	∣	∣	0
ning	ning	j	ning	ning	0
the	the	dt	the	the	0
visible	visible	j	visible	visible	0
Church	Church	n1	Church	church	0
:	:	:	:	:	0
Wherin	Wherin	c-crq	Wherein	wherein	0
chiefly	chiefly	av-jn	chiefly	chief	0
I	I	pns11	I	i	0
purposed	purposed	vvd	purposed	purpose	0
to	to	pc-acp	to	to	0
manifest	manifest	vvi	manifest	manifest	0
the	the	dt	the	the	0
true	true	j	true	true	0
constitu	constitu	fw-la	constitu	constitu	0
∣	∣	sy	∣	∣	0
tion	tion	n1	cion	cion	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
a	a	dt	a	a	0
matter	matter	n1	matter	matter	0
of	of	pp-f	of	of	0
absolute	absolute	j	absolute	absolute	0
necessitie	necessitie	n1	necessity	necessity	0
&	&	cc	&	and	0
now	now	av	now	now	0
so	so	av	so	so	0
cleered	cleered	vvn	cleared	clear	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
wri	wri	n1	wri	wri	0
∣	∣	sy	∣	∣	0
tings	tings	zf	tings	thing	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
late	late	j	late	late	0
witnesses	witnesses	n2	witnesses	witness	0
of	of	pp-f	of	of	0
Iesus	Iesus	np1	Iesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
the	the	dt	the	the	0
auncient	auncient	j-jn	ancient	ancient	0
brethren	brethren	n2	brothers	brethren	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
seperation	seperation	n1	separation	separation	0
as	as	p-acp	as	as	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
seemeth	seemeth	vvz	seems	seem	0
nothing	nothing	pix	nothing	nothing	0
can	can	vmb	can	can	0
further	further	av-j	further	further	0
be	be	vbi	be	be	0
added	added	vvn	added	add	0
,	,	,	,	,	0
The	The	dt	The	the	0
absolute	absolute	j	absolute	absolute	0
necessitie	necessitie	n1	necessity	necessity	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
true	true	j	true	true	0
constitution	constitution	n1	constitution	constitution	0
appeareth	appeareth	vvz	appears	appear	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
if	if	cs	if	if	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
be	be	vbb	be	be	0
truly	truly	av-j	truly	true	0
constituted	constituted	vvn	constituted	constitute	0
&	&	cc	&	and	0
framed	framed	vvn	framed	frame	0
,	,	,	,	,	0
ther	ther	pc-acp	there	there	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
true	true	j	true	true	0
Church	Church	n1	Church	church	0
:	:	:	:	:	0
the	the	dt	the	the	0
true	true	j	true	true	0
spowse	spowse	n1	spouse	spouse	0
