Friends	Friends	ng1	Friends	friend	0
and	and	cc	and	and	0
Countreymen	Countreymen	n2	Countrymen	countryman	0
:	:	:	:	:	0
SInce	SInce	p-acp	SInce	since	0
Death	Death	n1	Death	death	0
and	and	cc	and	and	0
Diseases	Diseases	n2	Diseases	disease	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
Diametrically	Diametrically	av-j	Diametrically	diametrical	0
opposite	opposite	j-jn	opposite	opposite	0
un	un	fw-it	un	un	0
∣	∣	sy	∣	∣	0
to	to	p-acp	to	to	0
life	life	n1	life	life	0
)	)	)	)	)	0
are	are	vbr	are	be	0
entailed	entailed	vvn	entailed	entail	0
unto	unto	p-acp	unto	unto	0
us	us	pno12	us	we	0
through	through	p-acp	through	through	0
the	the	dt	the	the	0
Transgression	Transgression	n1	Transgression	transgression	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
first	first	ord	first	first	0
Parents	Parents	n2	Parents	parent	0
,	,	,	,	,	0
the	the	dt	the	the	0
Creator	Creator	n1	Creator	creator	0
and	and	cc	and	and	0
sole	sole	j	sole	sole	0
Authour	Authour	n1	Author	author	0
of	of	pp-f	of	of	0
life	life	n1	life	life	0
,	,	,	,	,	0
foreseeing	foreseeing	vvg	foreseeing	foresee	0
the	the	dt	the	the	0
weak	weak	j	weak	weak	0
∣	∣	sy	∣	∣	0
ness	ness	n1	ness	ness	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Natures	Natures	n2	Nature's	nature	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
withstand	withstand	vvi	withstand	withstand	0
the	the	dt	the	the	0
strength	strength	n1	strength	strength	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
mortal	mortal	j-jn	mortal	mortal	0
Enemies	Enemies	n2	Enemies	enemy	0
,	,	,	,	,	0
created	created	vvn	created	create	0
Medicine	Medicine	n1	Medicine	medicine	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
beginning	beginning	n1	beginning	beginning	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Earth	Earth	n1	Earth	earth	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
correct	correct	vvi	correct	correct	0
the	the	dt	the	the	0
fury	fury	n1	fury	fury	0
and	and	cc	and	and	0
tyranny	tyranny	n1	tyranny	tyranny	0
of	of	pp-f	of	of	0
Diseases	Diseases	n2	Diseases	disease	0
(	(	(	(	(	0
whereof	whereof	c-crq	whereof	whereof	0
Death	Death	n1	Death	death	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
Daughter	Daughter	n1	Daughter	daughter	0
)	)	)	)	)	0
whereby	whereby	c-crq	whereby	whereby	0
each	each	d	each	each	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
at	at	p-acp	at	at	0
his	his	po31	his	his	0
good	good	j	good	good	0
pleasure	pleasure	n1	pleasure	pleasure	0
;	;	;	;	;	0
and	and	cc	and	and	0
so	so	av	so	so	0
governs	governs	vvz	governs	govern	0
it	it	pn31	it	it	0
at	at	p-acp	at	at	0
his	his	po31	his	his	0
will	will	n1	will	will	0
,	,	,	,	,	0
that	that	cst	that	that	0
