FOrasmuch	FOrasmuch	av	FOrasmuch	forasmuch	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
metall	metall	n1	metal	metal	0
cal	cal	vvb	call	call	0
∣	∣	sy	∣	∣	0
led	led	vvd	led	lead	0
yron	yron	n1	iron	iron	0
,	,	,	,	,	0
is	is	vbz	is	be	0
of	of	pp-f	of	of	0
so	so	av	so	so	0
great	great	j	great	great	0
impor	impor	n1	impor	impor	0
∣	∣	sy	∣	∣	0
tance	tance	n1	tance	tance	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
worlde	worlde	n1	world	world	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
necessary	necessary	j	necessary	necessary	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
seruice	seruice	n1	service	service	0
of	of	pp-f	of	of	0
man	man	n1	man	man	0
,	,	,	,	,	0
it	it	pn31	it	it	0
moued	moued	vvd	moved	move	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
this	this	d	this	this	0
Dialogue	Dialogue	n1	Dialogue	dialogue	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
doeth	doeth	vdz	doth	do	0
treate	treate	vvi	treat	treat	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
greatnesse	greatnesse	n1	greatness	greatness	0
and	and	cc	and	and	0
maruellous	maruellous	j	marvelous	marvelous	0
workes	workes	n2	works	work	0
thereof	thereof	av	thereof	thereof	0
.	.	.	.	.	1
Which	Which	r-crq	Which	which	0
if	if	cs	if	if	0
they	they	pns32	they	they	0
be	be	vbb	be	be	0
well	well	av	well	well	0
consi	consi	fw-fr	consi	consi	0
∣	∣	sy	∣	∣	0
dered	dered	j-vvn	dered	dere	0
▪	▪	▪	▪	▪	0
they	they	pns32	they	they	0
will	will	vmb	will	will	0
bring	bring	vvi	bring	bring	0
admi	admi	fw-fr	admi	admi	0
∣	∣	sy	∣	∣	0
ration	ration	n1	ration	ration	0
vnto	vnto	p-acp	unto	unto	0
all	all	d	all	all	0
that	that	cst	that	that	0
shall	shall	vmb	shall	shall	0
reade	reade	vvi	read	read	0
them	them	pno32	them	they	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
reason	reason	n1	reason	reason	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
so	so	av	so	so	0
ne	ne	zz	ne	ne	0
∣	∣	sy	∣	∣	0
cssary	cssary	n1	cssary	cssary	0
for	for	p-acp	for	for	0
all	all	d	all	all	0
states	states	n2	states	state	0
,	,	,	,	,	0
and	and	cc	and	and	0
manners	manners	n2	manners	manner	0
of	of	pp-f	of	of	0
liuing	liuing	vvg	living	live	0
.	.	.	.	.	1
It	It	pn31	It	it	0
hath	hath	vhz	hath	have	0
also	also	av	also	also	0
greate	greate	j	great	great	0
and	and	cc	and	and	0
mediinall	mediinall	j	mediinall	mediinall	0
vertues	vertues	n2	virtues	virtue	0
,	,	,	,	,	0
