MAnifold	MAnifold	j	MAnifold	manifold	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
miseries	miseries	n2	misery's	misery	0
of	of	pp-f	of	of	0
mans	mans	ng1	men	man	0
life	life	n1	life	life	0
,	,	,	,	,	0
wherewith	wherewith	c-crq	wherewith	wherewith	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
greatly	greatly	av-j	greatly	great	0
grie	grie	j	grie	grie	0
∣	∣	sy	∣	∣	0
ued	ued	zz	ued	ued	0
and	and	cc	and	and	0
sundry	sundry	j	sundry	sundry	0
wayes	wayes	n2	ways	way	0
molested	molested	vvn	molested	molest	0
,	,	,	,	,	0
insomuch	insomuch	av	insomuch	insomuch	0
as	as	c-acp	as	as	0
Iob	Iob	np1	Iob	Job	0
sayth	sayth	vvz	say	say	0
that	that	d	that	that	0
man	man	n1	man	man	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
borne	borne	vvn	born	bear	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
woman	woman	n1	woman	woman	0
hathe	hathe	vhz	hath	have	0
but	but	p-acp	but	but	0
a	a	dt	a	a	0
short	short	j	short	short	0
time	time	n1	time	time	0
to	to	pc-acp	to	to	0
liue	liue	vvi	live	live	0
,	,	,	,	,	0
and	and	cc	and	and	0
is	is	vbz	is	be	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
plenished	plenished	vvn	plenished	plenish	0
with	with	p-acp	with	with	0
miserie	miserie	n1	misery	misery	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
he	he	pns31	he	he	0
beginneth	beginneth	vvz	begins	begin	0
his	his	po31	his	his	0
life	life	n1	life	life	0
with	with	p-acp	with	with	0
teares	teares	n2	tears	tear	0
&	&	cc	&	and	0
weeping	weeping	j-vvg	weeping	weep	0
,	,	,	,	,	0
he	he	pns31	he	he	0
pas	pas	fw-fr	pas	pas	0
∣	∣	sy	∣	∣	0
seth	seth	vvz	seth	se	0
it	it	pn31	it	it	0
with	with	p-acp	with	with	0
sorrow	sorrow	n1	sorrow	sorrow	0
&	&	cc	&	and	0
trouble	trouble	n1	trouble	trouble	0
,	,	,	,	,	0
and	and	cc	and	and	0
endeth	endeth	vvz	endeth	end	0
it	it	pn31	it	it	0
with	with	p-acp	with	with	0
dolour	dolour	n1	dolour	dolour	0
and	and	cc	and	and	0
payne	payne	n1	pain	pain	0
.	.	.	.	.	1
Wherefore	Wherefore	c-crq	Wherefore	wherefore	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
maruell	maruell	n1	marvel	marvel	0
if	if	cs	if	if	0
some	some	d	some	some	0
haue	haue	vhb	have	have	0
thought	thought	vvn	thought	think	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
best	best	js	best	best	0
thinge	thinge	n1	thing	thing	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
borne	borne	vvn	born	bear	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
next	next	ord	next	next	0
to	to	pc-acp	to	to	0
dye	dye	vvi	die	dye	0
quickly	quickly	av-j	quickly	quick	0
:	:	:	:	:	0
and	and	cc	and	and	0
that	that	d	that	that	0
o	o	sy	oh	o	0
∣	∣	sy	∣	∣	0
ther	ther	zz	ther	ther	0
some	some	d	some	some	0
haue	haue	vhb	have	have	0
mourned	mourned	vvn	mourned	mourn	0
and	and	cc	and	and	0
wept	wept	vvd	wept	weep	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
birthes	birthes	n2	births	birth	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
friendes	friendes	n2	friends	friend	0
,	,	,	,	,	0
and	and	cc	and	and	0
solemnly	solemnly	av-j	solemnly	solemn	0
reioyced	reioyced	vvd	rejoiced	rejoice	0
at	at	p-acp	at	at	0
their	their	po32	their	their	0
burialls	burialls	n2	burials	burial	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
what	what	r-crq	what	what	0
could	could	vmd	could	can	0
they	they	pns32	they	they	0
being	being	vbg	being	be	0
destitute	destitute	j	destitute	destitute	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
light	light	n1	light	light	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
and	and	cc	and	and	0
true	true	j	true	true	0
religion	religion	n1	religion	religion	0
,	,	,	,	,	0
see	see	vvb	see	see	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
life	life	n1	life	life	0
but	but	p-acp	but	but	0
trouble	trouble	n1	trouble	trouble	0
&	&	cc	&	and	0
miserie	miserie	n1	misery	misery	0
?	?	?	?	?	1
Yea	Yea	uh	Yea	yea	0
the	the	dt	the	the	0
godly	godly	j	godly	godly	0
themselues	themselues	px32	themselves	themselves	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
haue	haue	vhb	have	have	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
ages	ages	n2	ages	age	0
suffered	suffered	vvd	suffered	suffer	0
many	many	d	many	many	0
afflictions	afflictions	n2	afflictions	affliction	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
life	life	n1	life	life	0
,	,	,	,	,	0
so	so	av	so	so	0
haue	haue	vhb	have	have	0
they	they	pns32	they	they	0
passed	passed	vvd	passed	pass	0
through	through	p-acp	through	through	0
the	the	dt	the	the	0
same	same	d	same	same	0
as	as	c-acp	as	as	0
through	through	p-acp	through	through	0
a	a	dt	a	a	0
straunge	straunge	j	strange	strange	0
countrie	countrie	n1	country	country	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
if	if	cs	if	if	0
heauen	heauen	n1	heaven	heaven	0
be	be	vbb	be	be	0
our	our	po12	our	our	0
countrie	countrie	n1	country	country	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
earth	earth	n1	earth	earth	0
els	els	av	else	else	0
but	but	p-acp	but	but	0
a	a	dt	a	a	0
place	place	n1	place	place	0
of	of	pp-f	of	of	0
banishment	banishment	n1	banishment	banishment	0
?	?	?	?	?	0
wherein	wherein	c-crq	wherein	wherein	0
being	being	vbg	being	be	0
exiled	exiled	vvn	exiled	exile	0
from	from	p-acp	from	from	0
true	true	j	true	true	0
de	de	zz	de	de	0
∣	∣	sy	∣	∣	0
lightes	lightes	n2	lights	light	0
and	and	cc	and	and	0
pleasures	pleasures	n2	pleasures	pleasure	0
,	,	,	,	,	0
we	we	pns12	we	we	0
liue	liue	vvb	live	live	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
state	state	n1	state	state	0
vnquiet	vnquiet	j-u	unquiet	quiet	0
,	,	,	,	,	0
troublesom	troublesom	j	troublesome	troublesome	0
,	,	,	,	,	0
and	and	cc	and	and	0
many	many	d	many	many	0
wayes	wayes	n2	ways	way	0
miserable	miserable	j	miserable	miserable	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
that	that	cst	that	that	0
shall	shall	vmb	shall	shall	0
duely	duely	av-jn	duly	due	0
consider	consider	vvi	consider	consider	0
the	the	dt	the	the	0
sundry	sundry	j	sundry	sundry	0
troubles	troubles	n2	troubles	trouble	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
incident	incident	j	incident	incident	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
sortes	sortes	n2	sorts	sort	0
of	of	pp-f	of	of	0
men	men	n2	men	man	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
life	life	n1	life	life	0
,	,	,	,	,	0
wil	wil	vmb	will	will	0
ea	ea	fw-la	ea	ea	0
∣	∣	sy	∣	∣	0
sily	sily	av-j	sily	sy	0
appeare	appeare	vvb	appear	appear	0
.	.	.	.	.	1
Forasmuch	Forasmuch	av	Forasmuch	forasmuch	0
then	then	av	then	then	0
as	as	c-acp	as	as	0
this	this	d	this	this	0
life	life	n1	life	life	0
is	is	vbz	is	be	0
so	so	av	so	so	0
miserable	miserable	j	miserable	miserable	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
both	both	d	both	both	0
the	the	dt	the	the	0
Saincts	Saincts	n2	Saints	saint	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
haue	haue	vhb	have	have	0
pronounced	pronounced	vvn	pronounced	pronounce	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
the	the	dt	the	the	0
very	very	j	very	very	0
heathen	heathen	n-jn	heathen	heathen	0
haue	haue	vhb	have	have	0
accounted	accounted	vvn	accounted	account	0
it	it	pn31	it	it	0
,	,	,	,	,	0
&	&	cc	&	and	0
daily	daily	av-j	daily	daily	0
expe	expe	vvb	expe	expe	0
∣	∣	sy	∣	∣	0
rience	rience	n1	rience	rience	0
proueth	proueth	vvz	proves	prove	0
it	it	pn31	it	it	0
,	,	,	,	,	0
&	&	cc	&	and	0
yet	yet	av	yet	yet	0
neuerthelesse	neuerthelesse	av	nevertheless	nevertheless	0
we	we	pns12	we	we	0
,	,	,	,	,	0
seeing	seeing	vvg	seeing	see	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
placed	placed	vvn	placed	place	0
vs	vs	pno12	us	we	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
,	,	,	,	,	0
must	must	vmb	must	must	0
remaine	remaine	vvi	remain	remain	0
therein	therein	av	therein	therein	0
till	till	c-acp	till	till	0
he	he	pns31	he	he	0
call	call	vvb	call	call	0
vs	vs	pno12	us	we	0
away	away	av	away	away	0
:	:	:	:	:	0
great	great	j	great	great	0
neede	neede	n1	need	need	0
we	we	pns12	we	we	0
haue	haue	vhb	have	have	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
con	con	vvi	con	con	0
∣	∣	sy	∣	∣	0
solation	solation	n1	solation	solation	0
&	&	cc	&	and	0
encouragement	encouragement	n1	encouragement	encouragement	0
as	as	c-acp	as	as	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
meane	meane	j	mean	mean	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
vs	vs	pno12	us	we	0
passe	passe	vvi	pass	pass	0
the	the	dt	the	the	0
time	time	n1	time	time	0
thereof	thereof	av	thereof	thereof	0
without	without	p-acp	without	without	0
grudging	grudging	vvg	grudging	grudge	0
&	&	cc	&	and	0
impatiencie	impatiencie	n1	impatiency	impatiency	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
selues	selues	n2	selves	self	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
very	very	av	very	very	0
fraile	fraile	j	frail	frail	0
&	&	cc	&	and	0
weake	weake	j	weak	weak	0
,	,	,	,	,	0
not	not	xx	not	not	0
