MOst	MOst	ds	MOst	most	0
Noble	Noble	j	Noble	noble	0
,	,	,	,	,	0
and	and	cc	and	and	0
Right	Right	j-jn	Right	right	0
worthie	worthie	j	worthy	worthy	0
Senate	Senate	n1	Senate	senate	0
;	;	;	;	;	0
Moses	Moses	np1	Moses	Moses	0
telleth	telleth	vvz	telleth	tell	0
us	us	pno12	us	we	0
,	,	,	,	,	0
that	that	cst	that	that	0
when	when	c-crq	when	when	0
God	God	np1	God	God	0
had	had	vhd	had	have	0
commanded	commanded	vvn	commanded	command	0
him	him	pno31	him	he	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
the	the	dt	the	the	0
Tabernacle	Tabernacle	n1	Tabernacle	tabernacle	0
and	and	cc	and	and	0
all	all	d	all	all	0
the	the	dt	the	the	0
instruments	instruments	n2	instruments	instrument	0
thereof	thereof	av	thereof	thereof	0
;	;	;	;	;	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
patterne	patterne	n1	pattern	pattern	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
had	had	vhd	had	have	0
shewed	shewed	vvn	showed	show	0
him	him	pno31	him	he	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Mount	Mount	n1	Mount	mount	0
,	,	,	,	,	0
he	he	pns31	he	he	0
bad	bad	vvd	bade	bid	0
him	him	pno31	him	he	0
withall	withall	av	withal	withal	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
speake	speake	vvi	speak	speak	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
children	children	n2	children	child	0
of	of	pp-f	of	of	0
Israel	Israel	np1	Israel	Israel	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
bring	bring	vvi	bring	bring	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
building	building	n-vvg	building	build	0
thereof	thereof	av	thereof	thereof	0
,	,	,	,	,	0
gold	gold	n1	gold	gold	0
,	,	,	,	,	0
silver	silver	n1	silver	silver	0
,	,	,	,	,	0
brasse	brasse	n1	brass	brass	0
,	,	,	,	,	0
silke	silke	n1	silk	silk	0
,	,	,	,	,	0
purple	purple	j-jn	purple	purple	0
,	,	,	,	,	0
scarlet	scarlet	j-jn	scarlet	scarlet	0
,	,	,	,	,	0
fine	fine	j	fine	fine	0
linnen	linnen	n1	linen	linen	0
,	,	,	,	,	0
goates	goates	ng1	goats	goat	0
haire	haire	n1	hair	hair	0
,	,	,	,	,	0
rammes	rammes	ng1	rams	ram	0
skinnes	skinnes	n2	skins	skin	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	1
Of	Of	pp-f	Of	of	0
all	all	d	all	all	0
whichthings	whichthings	n2	whichthings	whichthing	0
,	,	,	,	,	0
every	every	d	every	every	0
one	one	crd	one	one	0
whose	whose	rg-crq	whose	who	0
harts	harts	n2	hearts	heart	0
moved	moved	vvd	moved	move	0
them	them	pno32	them	they	0
willingly	willingly	av-j	willingly	willing	0
,	,	,	,	,	0
brought	brought	vvd	brought	bring	0
presently	presently	av-j	presently	present	0
a	a	dt	a	a	0
free	free	j	free	free	0
offering	offering	n1	offering	offering	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
:	:	:	:	:	0
All	All	d	All	all	0
which	which	r-crq	which	which	0
materialls	materialls	n2-jn	materials	material	0
were	were	vbdr	were	be	0
delivered	delivered	vvn	delivered	deliver	0
by	by	p-acp	by	by	0
Moses	Moses	np1	Moses	Moses	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
workemen	workemen	n2	workmen	workman	0
called	called	vvn	called	call	0
by	by	p-acp	by	by	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
him	him	pno31	him	he	0
appointed	appointed	vvd	appointed	appoint	0
to	to	pc-acp	to	to	0
doe	doe	vdi	do	do	0
the	the	dt	the	the	0
worke	worke	n1	work	work	0
.	.	.	.	.	1
Who	Who	q-crq	Who	who	0
were	were	vbdr	were	be	0
Betsalcel	Betsalcel	n1	Betsalcel	betsalcel	0
,	,	,	,	,	0
Aholiab	Aholiab	np1	Aholiab	Aholiab	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
other	other	j-jn	other	other	0
wise-hearted	wise-hearted	j	wisehearted	wisehearted	0
men	men	n2	men	man	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
whom	whom	ro-crq	whom	who	0
God	God	np1	God	God	0
had	had	vhd	had	have	0
put	put	vvn	put	put	0
wisedome	wisedome	n1	wisdom	wisdom	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
all	all	d	all	all	0
that	that	cst	that	that	0
hee	hee	pns31	he	he	0
had	had	vhd	had	have	0
commanded	commanded	vvn	commanded	command	0
him	him	pno31	him	he	0
.	.	.	.	.	1
This	This	d	This	this	0
Tabernacle	Tabernacle	n1	Tabernacle	tabernacle	0
;	;	;	;	;	0
and	and	cc	and	and	0
likewise	likewise	av	likewise	likewise	0
the	the	dt	the	the	0
Temple	Temple	n1	Temple	temple	0
by	by	p-acp	by	by	0
Salomon	Salomon	np1	Salomon	Salomon	0
were	were	vbdr	were	be	0
but	but	cc-acp	but	but	0
types	types	n2	types	type	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
new	new	j	new	new	0
Jerusalem	Jerusalem	np1	Jerusalem	Jerusalem	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
commeth	commeth	vvz	comes	come	0
downe	downe	a-acp	down	down	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
Heaven	Heaven	n1	Heaven	heaven	0
from	from	p-acp	from	from	0
God	God	np1	God	God	0
.	.	.	.	.	1
About	About	p-acp	About	about	0
the	the	dt	the	the	0
building	building	n1	building	building	0
whereof	whereof	c-crq	whereof	whereof	0
