IOb	IOb	np1	IOb	IOb	0
the	the	dt	the	the	0
man	man	n1	man	man	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
(	(	(	(	(	0
most	most	ds	most	most	0
Reuerend	Reuerend	j-jn	Reverend	reverend	0
Fa	Fa	uh	Fa	fa	0
∣	∣	sy	∣	∣	0
ther	ther	zz	ther	ther	0
in	in	p-acp	in	in	0
God	God	np1	God	God	0
)	)	)	)	)	0
entring	entring	vvg	entering	enter	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
meditation	meditation	n1	meditation	meditation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
care	care	n1	care	care	0
,	,	,	,	,	0
labor	labor	n1	labour	labour	0
,	,	,	,	,	0
danger	danger	n1	danger	danger	0
and	and	cc	and	and	0
deliuerance	deliuerance	n1	deliverance	deliverance	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
find	find	vvb	find	find	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
present	present	j	present	present	0
life	life	n1	life	life	0
,	,	,	,	,	0
compareth	compareth	vvz	compareth	compare	0
it	it	pn31	it	it	0
for	for	p-acp	for	for	0
danger	danger	n1	danger	danger	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
warfare	warfare	n1	warfare	warfare	0
;	;	;	;	;	0
for	for	p-acp	for	for	0
care	care	n1	care	care	0
and	and	cc	and	and	0
trauell	trauell	vvi	travel	travel	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
dayes	dayes	n2	days	day	0
of	of	pp-f	of	of	0
an	an	dt	and	a	0
hireling	hireling	n1	hireling	hireling	0
:	:	:	:	:	0
Iob.	Iob.	zz	Iob.	iob.	1
7.	7.	crd	7.	7.	0
1.	1.	crd	1.	1.	0
which	which	r-crq	which	which	0
estate	estate	n1	estate	estate	0
as	as	c-acp	as	as	0
euery	euery	d	every	every	0
member	member	n1	member	member	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
fin	fin	fw-fr	fin	fin	0
∣	∣	sy	∣	∣	0
deth	deth	n1	death	death	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
life	life	n1	life	life	0
,	,	,	,	,	0
so	so	av	so	so	0
the	the	dt	the	the	0
same	same	d	same	same	0
is	is	vbz	is	be	0
much	much	d	much	much	0
more	more	dc	more	more	0
apparant	apparant	j	apparent	apparent	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
time	time	n1	time	time	0
of	of	pp-f	of	of	0
her	her	po31	her	her	0
war	war	n1	war	war	0
∣	∣	sy	∣	∣	0
fare	fare	vvb	fare	fare	0
here	here	av	here	here	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
she	she	pns31	she	she	0
is	is	vbz	is	be	0
,	,	,	,	,	0
so	so	av	so	so	0
is	is	vbz	is	be	0
called	called	vvn	called	call	0
,	,	,	,	,	0
militant	militant	n1	militant	millitant	0
.	.	.	.	.	1
As	As	p-acp	As	as	0
this	this	d	this	this	0
as	as	c-acp	as	as	0
∣	∣	sy	∣	∣	0
sured	sured	vvn	sured	sure	0
and	and	cc	and	and	0
expected	expected	j-vvn	expected	expect	0
warfare	warfare	n1	warfare	warfare	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
beginning	beginning	n1	beginning	beginning	0
hath	hath	vhz	hath	have	0
kept	kept	vvn	kept	keep	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
in	in	p-acp	in	in	0
continuall	continuall	j	continual	continual	0
exercise	exercise	n1	exercise	exercise	0
and	and	cc	and	and	0
watch	watch	vvi	watch	watch	0
against	against	p-acp	against	against	0
many	many	d	many	many	0
and	and	cc	and	and	0
strong	strong	j	strong	strong	0
aduersaries	aduersaries	n2	adversaries	adversary	0
:	:	:	:	:	0
so	so	av	so	so	0
to	to	pc-acp	to	to	0
∣	∣	sy	∣	∣	0
ward	ward	vvi	ward	ward	0
the	the	dt	the	the	0
end	end	n1	end	end	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
warfare	warfare	n1	warfare	warfare	0
,	,	,	,	,	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
toward	toward	p-acp	towards	towards	0
the	the	dt	the	the	0
end	end	n1	end	end	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
world	world	n1	world	world	0
,	,	,	,	,	0
the	the	dt	the	the	0
aduersaries	aduersaries	n2	adversaries	adversary	0
growing	growing	vvg	growing	grow	0
more	more	dc	more	more	0
skilfull	skilfull	j	skilful	skilful	0
,	,	,	,	,	0
more	more	av-dc	more	more	0
bòld	bòld	j	bòld	bòld	0
and	and	cc	and	and	0
desperate	desperate	j	desperate	desperate	0
then	then	cs	then	than	0
before	before	a-acp	before	before	0
,	,	,	,	,	0
the	the	dt	the	the	0
warfare	warfare	n1	warfare	warfare	0
must	must	vmb	must	must	0
of	of	pp-f	of	of	0
necessitie	necessitie	n1	necessity	necessity	0
bee	bee	vbi	be	be	0
made	made	vvd	made	make	0
more	more	dc	more	more	0
daunge	daunge	n1	daunge	daunge	0
∣	∣	sy	∣	∣	0
rous	rous	fw-la	rous	rous	0
.	.	.	.	.	1
The	The	dt	The	the	0
greatnesse	greatnesse	n1	greatness	greatness	0
of	of	pp-f	of	of	0
which	which	r-crq	which	which	0
daunger	daunger	n1	danger	danger	0
may	may	vmb	may	may	0
draw	draw	vvi	draw	draw	0
the	the	dt	the	the	0
gouernours	gouernours	n2	governors	governor	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
more	more	av-dc	more	more	0
