Madame	Madame	n1	Madame	madam	0
1.	1.	crd	1.	1.	1
WHen	WHen	c-crq	WHen	when	0
I	I	pns11	I	i	0
finished	finished	vvd	finished	finish	0
this	this	d	this	this	0
little	little	j	little	little	0
worke	worke	n1	work	work	0
,	,	,	,	,	0
called	called	vvd	called	call	0
the	the	dt	the	the	0
Soul's	Soul's	ng1	Soul's	soul	0
delight	delight	n1	delight	delight	0
,	,	,	,	,	0
I	I	pns11	I	i	0
knew	knew	vvd	knew	know	0
not	not	xx	not	not	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
whom	whom	ro-crq	whom	who	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
dedicate	dedicate	vvi	dedicate	dedicate	0
or	or	cc	or	or	0
direct	direct	vvi	direct	direct	0
it	it	pn31	it	it	0
;	;	;	;	;	0
vntill	vntill	c-acp	until	until	0
at	at	p-acp	at	at	0
length	length	n1	length	length	0
,	,	,	,	,	0
reflecting	reflecting	vvg	reflecting	reflect	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
piety	piety	n1	piety	piety	0
and	and	cc	and	and	0
deuotion	deuotion	n1	devotion	devotion	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
,	,	,	,	,	0
ladiship	ladiship	n1	ladyship	ladyship	0
I	I	pns11	I	i	0
obserued	obserued	vvd	observed	observe	0
being	being	vbg	being	be	0
at	at	p-acp	at	at	0
Kilkash	Kilkash	n1	Kilkash	kilkash	0
:	:	:	:	:	0
and	and	cc	and	and	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
,	,	,	,	,	0
considering	considering	vvg	considering	consider	0
the	the	dt	the	the	0
orderly	orderly	j	orderly	orderly	0
composition	composition	n1	composition	composition	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Chappell	Chappell	n1	Chapel	chapel	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
those	those	d	those	those	0
deuout	deuout	j	devout	devout	0
pi	pi	zz	pi	pi	0
∣	∣	sy	∣	∣	0
ctures	ctures	n2	ctures	cture	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Altar	Altar	n1	Altar	altar	0
,	,	,	,	,	0
decent	decent	j	decent	decent	0
vest	vest	n1	vest	vest	0
∣	∣	sy	∣	∣	0
ments	ments	n2	ments	ment	0
,	,	,	,	,	0
fine	fine	j	fine	fine	0
and	and	cc	and	and	0
cleane	cleane	j	clean	clean	0
Altar	Altar	n1	Altar	altar	0
clo	clo	crd	clo	clo	0
∣	∣	sy	∣	∣	0
thes	thes	d	these	these	0
,	,	,	,	,	0
the	the	dt	the	the	0
obseruance	obseruance	n1	observance	observance	0
of	of	pp-f	of	of	0
houres	houres	n2	hours	hour	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
prayer	prayer	n1	prayer	prayer	0
,	,	,	,	,	0
the	the	dt	the	the	0
great	great	j	great	great	0
content	content	n1	content	content	0
which	which	r-crq	which	which	0
you	you	pn22	you	you	0
tooke	tooke	vvd	took	take	0
in	in	p-acp	in	in	0
speaking	speaking	vvg	speaking	speak	0
,	,	,	,	,	0
and	and	cc	and	and	0
con	con	fw-mi	con	con	0
∣	∣	sy	∣	∣	0
uersing	uersing	vvg	versing	verse	0
of	of	pp-f	of	of	0
spirituall	spirituall	j	spiritual	spiritual	0
matters	matters	n2	matters	matter	0
;	;	;	;	;	0
and	and	cc	and	and	0
aboue	aboue	p-acp	above	above	0
all	all	d	all	all	0
,	,	,	,	,	0
the	the	dt	the	the	0
seruent	seruent	n1	servent	servant	0
desyre	desyre	vvi	desire	desire	0
you	you	pn22	you	you	0
had	had	vhd	had	have	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
aduance	aduance	vvi	advance	advance	0
your	your	po22	your	your	0
soul	soul	n1	soul	soul	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
perfection	perfection	n1	perfection	perfection	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
loue	loue	n1	love	love	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
;	;	;	;	;	0
for	for	p-acp	for	for	0
vvhich	vvhich	r-crq	which	which	0
end	end	n1	end	end	0
(	(	(	(	(	0
if	if	cs	if	if	0
you	you	pn22	you	you	0
re	re	fw-mi	re	re	0
∣	∣	sy	∣	∣	0
member	member	n1	member	member	0
)	)	)	)	)	0
you	you	pn22	you	you	0
told	told	vvd	told	tell	0
me	me	pno11	me	i	0
,	,	,	,	,	0
that	that	cst	that	that	0
somtymes	somtymes	av	sometimes	sometime	0
,	,	,	,	,	0
your	your	po22	your	your	0
sisters	sisters	n2	sisters	sister	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
purpose	purpose	n1	purpose	purpose	0
,	,	,	,	,	0
did	did	vdd	did	do	0
visit	visit	vvi	visit	visit	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
honourable	honourable	j	honourable	honourable	0
,	,	,	,	,	0
and	and	cc	and	and	0
truly	truly	av-j	truly	true	0
vertuous	vertuous	j	virtuous	virtuous	0
Lady	Lady	n1	Lady	lady	0
of	of	pp-f	of	of	0
Thurles	Thurles	n2	Thurles	thurle	0
,	,	,	,	,	0
your	your	po22	your	your	0
Mother	Mother	n1	Mother	mother	0
in	in	p-acp	in	in	0
law	law	n1	law	law	0
,	,	,	,	,	0
though	though	c-acp	though	though	0
liuing	liuing	vvg	living	live	0
a	a	dt	a	a	0
farre	farre	av-j	far	far	0
of	of	pp-f	of	of	0
;	;	;	;	;	0
and	and	cc	and	and	0
parting	parting	vvg	parting	part	0
thence	thence	av	thence	thence	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
schoo	schoo	n1	schoo	schoo	0
∣	∣	sy	∣	∣	0
le	le	fw-fr	le	le	0
,	,	,	,	,	0
and	and	cc	and	and	0
Mistrisse	Mistrisse	n1	Mistress	mistress	0
of	of	pp-f	of	of	0
vertue	vertue	n1	virtue	virtue	0
,	,	,	,	,	0
all	all	d	all	all	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
were	were	vbdr	were	be	0
wholy	wholy	av-jn	wholly	whole	0
renewed	renewed	vvn	renewed	renew	0
in	in	p-acp	in	in	0
spi	spi	vvb	spi	spi	0
∣	∣	sy	∣	∣	0
rit	rit	n1	rit	rit	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
great	great	j	great	great	0
feruour	feruour	n1	fervour	fervour	0
,	,	,	,	,	0
and	and	cc	and	and	0
desire	desire	n1	desire	desire	0
of	of	pp-f	of	of	0
more	more	av-dc	more	more	0
seriously	seriously	av-j	seriously	serious	0
louing	louing	vvg	loving	love	0
,	,	,	,	,	0
and	and	cc	and	and	0
ser	ser	zz	ser	ser	0
∣	∣	sy	∣	∣	0
uing	uing	zz	uing	uing	0
God	God	n1	God	god	0
,	,	,	,	,	0
the	the	dt	the	the	0
only	only	j	only	only	0
goodnesse	goodnesse	n1	goodness	goodness	0
,	,	,	,	,	0
and	and	cc	and	and	0
faithfull	faithfull	j	faithful	faithful	0
spouse	spouse	n1	spouse	spouse	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
deuout	deuout	j	devout	devout	0
and	and	cc	and	and	0
louing	louing	j-vvg	loving	love	0
soules	soules	n2	souls	soul	0
.	.	.	.	.	1
2.	2.	crd	2.	2.	1
Reflecting	Reflecting	vvg	Reflecting	reflect	0
(	(	(	(	(	0
I	I	pns11	I	i	0
say	say	vvb	say	say	0
)	)	)	)	)	0
on	on	p-acp	on	on	0
these	these	d	these	these	0
,	,	,	,	,	0
(	(	(	(	(	0
with	with	p-acp	with	with	0
which	which	r-crq	which	which	0
certainly	certainly	av-j	certainly	certain	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
not	not	xx	not	not	0
a	a	dt	a	a	0
litle	litle	j	little	little	0
edified	edified	vvn	edified	edify	0
)	)	)	)	)	0
I	I	pns11	I	i	0
did	did	vdd	did	do	0
resolue	resolue	vvi	resolve	resolve	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
spirituall	spirituall	j	spiritual	spiritual	0
comfort	comfort	n1	comfort	comfort	0
,	,	,	,	,	0
and	and	cc	and	and	0
part	part	vvb	part	part	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
their's	their's	png32	their's	they	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
dedicate	dedicate	vvi	dedicate	dedicate	0
this	this	d	this	this	0
Soul's	Soul's	ng1	Soul's	soul	0
delight	delight	n1	delight	delight	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Ladiship	Ladiship	n1	Ladyship	ladyship	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
whom	whom	ro-crq	whom	who	0
,	,	,	,	,	0
I	I	pns11	I	i	0
knowe	knowe	vvb	know	know	0
,	,	,	,	,	0
it	it	pn31	it	it	0
