A	A	dt	A	a	0
HEROICK	HEROICK	j	HEROIC	heroic	0
Poem	Poem	n1	Poem	poem	0
,	,	,	,	,	0
truly	truly	av-j	truly	true	0
such	such	d	such	such	0
,	,	,	,	,	0
is	is	vbz	is	be	0
undoubtedly	undoubtedly	av-j	undoubtedly	undoubted	0
the	the	dt	the	the	0
great	great	j	great	great	0
∣	∣	sy	∣	∣	0
est	est	fw-fr	est	est	0
Work	Work	vvi	Work	work	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
Soul	Soul	n1	Soul	soul	0
of	of	pp-f	of	of	0
Man	Man	n1	Man	man	0
is	is	vbz	is	be	0
capable	capable	j	capable	capable	0
to	to	pc-acp	to	to	0
perform	perform	vvi	perform	perform	0
.	.	.	.	.	1
The	The	dt	The	the	0
Design	Design	n1	Design	design	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
form	form	vvi	from	form	0
the	the	dt	the	the	0
Mind	Mind	n1	Mind	mind	0
to	to	p-acp	to	to	0
Heroick	Heroick	j	Heroic	heroic	0
Virtue	Virtue	n1	Virtue	virtue	0
by	by	p-acp	by	by	0
Example	Example	n1	Example	example	0
;	;	;	;	;	0
'tis	'tis	pn31|vbz	it's	it|be	0
convey'd	convey'd	vvn	conveyed	convey	0
in	in	p-acp	in	in	0
Verse	Verse	n1	Verse	verse	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
delight	delight	vvi	delight	delight	0
,	,	,	,	,	0
while	while	cs	while	while	0
it	it	pn31	it	it	0
instructs	instructs	vvz	instructs	instruct	0
:	:	:	:	:	0
The	The	dt	The	the	0
Action	Action	n1	Actium	action	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
always	always	av	always	always	0
one	one	crd	one	one	0
,	,	,	,	,	0
entire	entire	j	entire	entire	0
,	,	,	,	,	0
and	and	cc	and	and	0
great	great	j	great	great	0
.	.	.	.	.	1
The	The	dt	The	the	0
least	least	ds	least	least	0
and	and	cc	and	and	0
most	most	ds	most	most	0
trivial	trivial	j	trivial	trivial	0
Episodes	Episodes	np1	Episodes	Episodes	0
,	,	,	,	,	0
or	or	cc	or	or	0
under-Acti	under-Acti	j	under-Acti	under-acti	0
∣	∣	sy	∣	∣	0
ons	ons	a-acp	ons	once	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
interwoven	interwoven	vvn	interwoven	interweave	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
,	,	,	,	,	0
are	are	vbr	are	be	0
parts	parts	n2	parts	part	0
either	either	av-d	either	either	0
necessary	necessary	j	necessary	necessary	0
,	,	,	,	,	0
or	or	cc	or	or	0
conve	conve	vhb	conve	conve	0
∣	∣	sy	∣	∣	0
nient	nient	j	nient	nient	0
to	to	pc-acp	to	to	0
carry	carry	vvi	carry	carry	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
main	main	j	main	main	0
Design	Design	n1	Design	design	0
.	.	.	.	.	1
Either	Either	av-d	Either	either	0
so	so	av	so	so	0
necessary	necessary	j	necessary	necessary	0
,	,	,	,	,	0
that	that	cst	that	that	0
without	without	p-acp	without	without	0
them	them	pno32	them	they	0
the	the	dt	the	the	0
Poem	Poem	n1	Poem	poem	0
must	must	vmb	must	must	0
be	be	vbi	be	be	0
Imperfect	Imperfect	j	Imperfect	imperfect	0
,	,	,	,	,	0
or	or	cc	or	or	0
so	so	av	so	so	0
convenient	convenient	j	convenient	convenient	0
,	,	,	,	,	0
that	that	cst	that	that	0
no	no	dx	no	no	0
others	others	n2-jn	others	other	0
can	can	vmb	can	can	0
be	be	vbi	be	be	0
imagin'd	imagin'd	vvn	imagined	imagine	0
more	more	av-dc	more	more	0
suitable	suitable	j	suitable	suitable	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
place	place	n1	place	place	0
in	in	p-acp	in	in	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
.	.	.	.	.	1
There	There	pc-acp	There	there	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
∣	∣	sy	∣	∣	0
thing	thing	n1	thing	thing	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
left	left	vvn	left	leave	0
void	void	j	void	void	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
firm	firm	j	firm	firm	0
Building	Building	n1	Building	building	0
;	;	;	;	;	0
even	even	av	even	even	0
the	the	dt	the	the	0
Cavities	Cavities	n2	Cavities	cavity	0
ought	ought	vmd	ought	ought	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
fill'd	fill'd	vvn	filled	fill	0
with	with	p-acp	with	with	0
Rubbish	Rubbish	n1	Rubbish	rubbish	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
perishable	perishable	j	perishable	perishable	0
kind	kind	n1	kind	kind	0
,	,	,	,	,	0
destru	destru	n2	destru	destru	0
∣	∣	sy	∣	∣	0
ctive	ctive	n1	ctive	ctive	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
strength	strength	n1	strength	strength	0
:	:	:	:	:	0
But	But	cc-acp	But	but	0
with	with	p-acp	with	with	0
Brick	Brick	n1	Brick	brick	0
or	or	cc	or	or	0
Stone	Stone	n1	Stone	stone	0
,	,	,	,	,	0
though	though	cs	though	though	0
of	of	pp-f	of	of	0
less	less	dc	less	less	0
pieces	pieces	n2	pieces	piece	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
Nature	Nature	n1	Nature	nature	0
,	,	,	,	,	0
and	and	cc	and	and	0
fitted	fitted	vvn	fitted	fit	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Cranies	Cranies	n2	Cranies	cranny	0
.	.	.	.	.	1
Even	Even	np1	Even	Even	0
the	the	dt	the	the	0
least	least	ds	least	least	0
por	por	zz	por	por	0
∣	∣	sy	∣	∣	0
tions	tions	n1	tions	tions	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
must	must	vmb	must	must	0
be	be	vbi	be	be	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Epick	Epick	j	Epic	epic	0
kind	kind	n1	kind	kind	0
;	;	;	;	;	0
all	all	d	all	all	0
things	things	n2	things	thing	0
must	must	vmb	must	must	0
be	be	vbi	be	be	0
Grave	Grave	j	Grave	grave	0
,	,	,	,	,	0
Majestical	Majestical	j	Majestical	majestical	0
,	,	,	,	,	0
and	and	cc	and	and	0
Sublime	Sublime	j	Sublime	sublime	0
:	:	:	:	:	0
Nothing	Nothing	pix	Nothing	nothing	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Foreign	Foreign	j	Foreign	foreign	0
Nature	Nature	n1	Nature	nature	0
,	,	,	,	,	0
like	like	av-j	like	like	0
the	the	dt	the	the	0
trifling	trifling	j-vvg	trifling	trifle	0
Novels	Novels	n2	Novels	novel	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
Aristotle	Aristotle	np1	Aristotle	Aristotle	0
and	and	cc	and	and	0
others	others	n2-jn	others	other	0
have	have	vhb	have	have	0
inserted	inserted	vvn	inserted	insert	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
Poems	Poems	n2	Poems	poem	0
.	.	.	.	.	1
By	By	p-acp	By	by	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
Reader	Reader	n1	Reader	reader	0
is	is	vbz	is	be	0
miss-led	miss-led	j	miss-led	miss-led	0
into	into	p-acp	into	into	0
another	another	j-jn	another	another	0
sort	sort	n1	sort	sort	0
of	of	pp-f	of	of	0
Pleasure	Pleasure	n1	Pleasure	pleasure	0
,	,	,	,	,	0
opposite	opposite	j-jn	opposite	opposite	0
to	to	p-acp	to	to	0
that	that	cst	that	that	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
design'd	design'd	vvn	designed	design	0
in	in	p-acp	in	in	0
an	an	dt	and	a	0
Epick	Epick	j	Epic	epic	0
Poem	Poem	n1	Poem	poem	0
.	.	.	.	.	1
One	One	pi	One	one	0
raises	raises	vvz	raises	raise	0
the	the	dt	the	the	0
Soul	Soul	n1	Soul	soul	0
and	and	cc	and	and	0
hardens	hardens	vvz	hardens	harden	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
Virtue	Virtue	n1	Virtue	virtue	0
,	,	,	,	,	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
softens	softens	vvz	softens	soften	0
it	it	pn31	it	it	0
again	again	av	again	again	0
and	and	cc	and	and	0
unbends	unbends	vvz	unbends	unbend	0
it	it	pn31	it	it	0
into	into	p-acp	into	into	0
Vice	Vice	n1	Vice	vice	0
.	.	.	.	.	1
One	One	pi	One	one	0
conduces	conduces	vvz	conduces	conduce	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Poet's	Poet's	n1|vbz	Poet's	poet|be	0
aim	aim	n1	aim	aim	0
,	,	,	,	,	0
the	the	dt	the	the	0
compleating	compleating	vvg	completing	complete	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Work	Work	n1	Work	work	0
;	;	;	;	;	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
driving	driving	vvg	driving	drive	0
on	on	a-acp	on	on	0
,	,	,	,	,	0
labouring	labouring	vvg	labouring	labour	0
and	and	cc	and	and	0
hast'ning	hast'ning	vvg	hastening	hasten	0
in	in	p-acp	in	in	0
every	every	d	every	every	0
Line	Line	n1	Line	line	0
:	:	:	:	:	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
slackens	slackens	vvz	slackens	slacken	0
his	his	po31	his	his	0
pace	pace	n1	pace	pace	0
,	,	,	,	,	0
diverts	diverts	vvz	diverts	divert	0
him	him	pno31	him	he	0
from	from	p-acp	from	from	0
his	his	po31	his	his	0
Way	Way	n1	Way	way	0
,	,	,	,	,	0
and	and	cc	and	and	0
locks	locks	vvz	locks	lock	0
him	him	pno31	him	he	0
up	up	a-acp	up	up	0
like	like	av-j	like	like	0
a	a	dt	a	a	0
Knight	Knight	n1	Knight	knight	0
Errant	Errant	j	Errant	errant	0
in	in	p-acp	in	in	0
an	an	dt	and	a	0
Enchanted	Enchanted	j-vvn	Enchanted	enchant	0
Castle	Castle	n1	Castle	castle	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
he	he	pns31	he	he	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
pursuing	pursuing	vvg	pursuing	pursue	0
his	his	po31	his	his	0
first	first	ord	first	first	0
Adventure	Adventure	n1	Adventure	adventure	0
.	.	.	.	.	1
Statius	Statius	np1	Statius	Statius	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
Bossu	Bossu	fw-fr	Bossu	bossu	0
has	has	vhz	has	have	0
well	well	av	well	well	0
observ'd	observ'd	vvn	observed	observe	0
,	,	,	,	,	0
was	was	vbds	was	be	0
ambiti	ambiti	fw-la	ambiti	ambiti	0
∣	∣	sy	∣	∣	0
ous	ous	j	ous	ous	0
of	of	pp-f	of	of	0
trying	trying	vvg	trying	try	0
his	his	po31	his	his	0
strength	strength	n1	strength	strength	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
Master	Master	n1	Master	master	0
Virgil	Virgil	np1	Virgil	Virgil	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
Virgil	Virgil	np1	Virgil	Virgil	0
had	had	vhd	had	have	0
before	before	a-acp	before	before	0
try'd	try'd	vvn	tried	try	0
his	his	po31	his	his	0
with	with	p-acp	with	with	0
Homer	Homer	np1	Homer	Homer	0
.	.	.	.	.	1
The	The	dt	The	the	0
Grecian	Grecian	jp	Grecian	grecian	0
gave	gave	vvd	gave	give	0
the	the	dt	the	the	0
two	two	crd	two	two	0
Romans	Romans	np1	Romans	Romans	0
an	an	dt	and	a	0
Example	Example	n1	Example	example	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Games	Games	n2	Games	game	0
which	which	r-crq	which	which	0
were	were	vbdr	were	be	0
Celebrated	Celebrated	vvn	Celebrated	celebrate	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
Funerals	Funerals	n2	Funerals	funeral	0
of	of	pp-f	of	of	0
Patroclus	Patroclus	np1	Patroclus	Patroclus	0
.	.	.	.	.	1
Virgil	Virgil	np1	Virgil	Virgil	0
imitated	imitated	vvd	imitated	imitate	0
the	the	dt	the	the	0
Invention	Invention	n1	Invention	invention	0
of	of	pp-f	of	of	0
Homer	Homer	np1	Homer	Homer	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
chang'd	chang'd	vvd	changed	change	0
the	the	dt	the	the	0
Sports	Sports	n2	Sports	sport	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
both	both	d	both	both	0
the	the	dt	the	the	0
Greek	Greek	jp	Greek	greek	0
and	and	cc	and	and	0
Latin	Latin	jp	Latin	latin	0
Poet	Poet	n1	Poet	poet	0
,	,	,	,	,	0
took	took	vvd	took	take	0
their	their	po32	their	their	0
occasions	occasions	n2	occasions	occasion	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Subject	Subject	j-jn	Subject	subject	0
;	;	;	;	;	0
though	though	cs	though	though	0
to	to	pc-acp	to	to	0
confess	confess	vvi	confess	confess	0
the	the	dt	the	the	0
Truth	Truth	n1	Truth	truth	0
,	,	,	,	,	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
both	both	d	both	both	0
Orna	Orna	np1	Orna	Orna	0
∣	∣	sy	∣	∣	0
mental	mental	j	mental	mental	0
,	,	,	,	,	0
or	or	cc	or	or	0
at	at	p-acp	at	at	0
best	best	av-js	best	best	0
,	,	,	,	,	0
convenient	convenient	j	convenient	convenient	0
parts	parts	n2	parts	part	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
rather	rather	av-c	rather	rather	0
than	than	cs	than	than	0
of	of	pp-f	of	of	0
necessity	necessity	n1	necessity	necessity	0
ari	ari	fw-la	ari	ari	0
∣	∣	sy	∣	∣	0
sing	sing	vvb	sing	sing	0
from	from	p-acp	from	from	0
it	it	pn31	it	it	0
.	.	.	.	.	1
Statius	Statius	np1	Statius	Statius	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
through	through	p-acp	through	through	0
his	his	po31	his	his	0
whole	whole	j-jn	whole	whole	0
Poem	Poem	n1	Poem	poem	0
,	,	,	,	,	0
is	is	vbz	is	be	0
noted	noted	vvn	noted	note	0
for	for	p-acp	for	for	0
want	want	n1	want	want	0
of	of	pp-f	of	of	0
Conduct	Conduct	vvb	Conduct	conduct	0
and	and	cc	and	and	0
Judgment	Judgment	n1	Judgement	judgement	0
;	;	;	;	;	0
instead	instead	av	instead	instead	0
of	of	pp-f	of	of	0
staying	staying	vvg	staying	stay	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
might	might	vmd	might	may	0
have	have	vhi	have	have	0
done	done	vdn	done	do	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
the	the	dt	the	the	0
Death	Death	n1	Death	death	0
of	of	pp-f	of	of	0
Capaneus	Capaneus	np1	Capaneus	Capaneus	0
,	,	,	,	,	0
Hippomedon	Hippomedon	np1	Hippomedon	Hippomedon	0
,	,	,	,	,	0
Tideus	Tideus	np1	Tideus	Tideus	0
,	,	,	,	,	0
or	or	cc	or	or	0
some	some	d	some	some	0
other	other	n-jn	other	other	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Seven	Seven	crd	Seven	seven	0
Champions	Champions	n2	Champions	champion	0
,	,	,	,	,	0
(	(	(	(	(	0
who	who	r-crq	who	who	0
are	are	vbr	are	be	0
Heroes	Heroes	n2	Heroes	hero	0
all	all	d	all	all	0
alike	alike	av	alike	alike	0
)	)	)	)	)	0
or	or	cc	or	or	0
more	more	av-dc	more	more	0
properly	properly	av-j	properly	proper	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Tragical	Tragical	j	Tragical	tragical	0
end	end	n1	end	end	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
two	two	crd	two	two	0
Brothers	Brothers	n2	Brother's	brother	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
Exequies	Exequies	n2	Exequies	exequy	0
the	the	dt	the	the	0
next	next	ord	next	next	0
Suc	Suc	fw-fr	Suc	suc	0
∣	∣	sy	∣	∣	0
cessor	cessor	n1	cessor	cessor	0
had	had	vhd	had	have	0
leisure	leisure	n1	leisure	leisure	0
to	to	pc-acp	to	to	0
perform	perform	vvi	perform	perform	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
the	the	dt	the	the	0
Siege	Siege	n1	Siege	siege	0
was	was	vbds	was	be	0
rais'd	rais'd	vvn	raised	raise	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Interval	Interval	n1	Interval	interval	0
betwixt	betwixt	p-acp	betwixt	betwixt	0
the	the	dt	the	the	0
Poets	Poets	n2	Poets	poet	0
first	first	ord	first	first	0
Action	Action	n1	Actium	action	0
,	,	,	,	,	0
and	and	cc	and	and	0
his	his	po31	his	his	0
second	second	ord	second	second	0
;	;	;	;	;	0
went	went	vvd	went	go	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
way	way	n1	way	way	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
on	on	p-acp	on	on	0
propense	propense	j	propense	propense	0
Malice	Malice	n1	Malice	malice	0
to	to	pc-acp	to	to	0
commit	commit	vvi	commit	commit	0
a	a	dt	a	a	0
Fault	Fault	n1	Fault	fault	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
he	he	pns31	he	he	0
took	took	vvd	took	take	0
his	his	po31	his	his	0
opportunity	opportunity	n1	opportunity	opportunity	0
to	to	pc-acp	to	to	0
