O	O	sy	O	o	0
Friends	Friends	n2	Friends	friend	0
!	!	!	!	!	1
In	In	p-acp	In	in	0
the	the	dt	the	the	0
perfect	perfect	j	perfect	perfect	0
Love	Love	n1	Love	love	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
Almighty	Almighty	j-jn	Almighty	almighty	0
towards	towards	p-acp	towards	towards	0
your	your	po22	your	your	0
Souls	Souls	n2	Souls	soul	0
and	and	cc	and	and	0
Bodies	Bodies	n2	Bodies	body	0
,	,	,	,	,	0
and	and	cc	and	and	0
towards	towards	p-acp	towards	towards	0
all	all	d	all	all	0
Mankind	Mankind	n1	Mankind	mankind	0
;	;	;	;	;	0
which	which	r-crq	which	which	0
Love	Love	n1	Love	love	0
is	is	vbz	is	be	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
Fountain	Fountain	n1	Fountain	fountain	0
opened	opened	vvd	opened	open	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
heart	heart	n1	heart	heart	0
,	,	,	,	,	0
&	&	cc	&	and	0
kindly	kindly	av-j	kindly	kind	0
issueth	issueth	vvz	issueth	issue	0
forth	forth	av	forth	forth	0
in	in	p-acp	in	in	0
Soul-breathing-desires	Soul-breathing-desires	n2	Soul-breathing-desires	soul-breathing-desire	0
of	of	pp-f	of	of	0
good	good	j	good	good	0
,	,	,	,	,	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
Creation	Creation	n1	Creation	creation	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
this	this	d	this	this	0
Love	Love	n1	Love	love	0
(	(	(	(	(	0
joined	joined	vvn	joined	join	0
with	with	p-acp	with	with	0
an	an	dt	and	a	0
humble	humble	j	humble	humble	0
,	,	,	,	,	0
meek	meek	j	meek	meek	0
and	and	cc	and	and	0
lowly	lowly	j	lowly	lowly	0
temper	temper	n1	temper	temper	0
of	of	pp-f	of	of	0
spirit	spirit	n1	spirit	spirit	0
)	)	)	)	)	0
do	do	vdb	do	do	0
I	I	pns11	I	i	0
present	present	vvi	present	present	0
this	this	d	this	this	0
little	little	j	little	little	0
quantity	quantity	n1	quantity	quantity	0
of	of	pp-f	of	of	0
substance	substance	n1	substance	substance	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
;	;	;	;	;	0
not	not	xx	not	not	0
so	so	av	so	so	0
much	much	av-d	much	much	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
approof	approof	n1	approof	approof	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Work	Work	n1	Work	work	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
craved	craved	vvd	craved	crave	0
your	your	po22	your	your	0
License	License	n1	License	licence	0
and	and	cc	and	and	0
Approbation	Approbation	n1	Approbation	approbation	0
for	for	p-acp	for	for	0
this	this	d	this	this	0
small	small	j	small	small	0
Piece	Piece	n1	Piece	piece	0
to	to	pc-acp	to	to	0
pass	pass	vvi	pass	pass	0
under	under	p-acp	under	under	0
your	your	po22	your	your	0
justificati	justificati	fw-la	justificati	justificati	0
∣	∣	sy	∣	∣	0
on	on	a-acp	on	on	0
,	,	,	,	,	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
is	is	vbz	is	be	0
usually	usually	av-j	usually	usual	0
the	the	dt	the	the	0
manner	manner	n1	manner	manner	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
Epistles	Epistles	n2	Epistles	epistle	0
thus	thus	av	thus	thus	0
directed	directed	vvn	directed	direct	0
;	;	;	;	;	0
)	)	)	)	)	0
but	but	cc-acp	but	but	0
much	much	d	much	much	0
more	more	dc	more	more	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
serious	serious	j	serious	serious	0
and	and	cc	and	and	0
weighty	weighty	j	weighty	weighty	0
considerations	considerations	n2	considerations	consideration	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Cases	Cases	n2	Cases	case	0
(	(	(	(	(	0
though	though	cs	though	though	0
briefly	briefly	av-j	briefly	brief	0
