Guill	Guill	np1	Guill	Guill	0
.	.	.	.	.	1
Du	Du	np1	Du	Du	0
Vair	Vair	np1	Vair	Vair	0
greeting	greeting	n1	greeting	greeting	0
.	.	.	.	.	1
SEing	SEing	np1	SEing	SEing	0
,	,	,	,	,	0
most	most	av-ds	most	most	0
miserable	miserable	j	miserable	miserable	0
and	and	cc	and	and	0
wretched	wretched	j	wretched	wretched	0
Prouince	Prouince	n1	Province	province	0
,	,	,	,	,	0
that	that	cst	that	that	0
thy	thy	po21	thy	thy	0
ouer	ouer	a-acp	over	over	0
great	great	j	great	great	0
exceeding	exceeding	vvg	exceeding	exceed	0
in	in	p-acp	in	in	0
thine	thine	po21	thine	thy	0
auncient	auncient	j-jn	ancient	ancient	0
and	and	cc	and	and	0
wonted	wonted	j	wonted	wont	0
delights	delights	n2	delights	delight	0
&	&	cc	&	and	0
pleasures	pleasures	n2	pleasures	pleasure	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
brought	brought	vvn	brought	bring	0
thee	thee	pno21	thee	thou	0
into	into	p-acp	into	into	0
this	this	d	this	this	0
outragious	outragious	j	outrageous	outrageous	0
fury	fury	n1	fury	fury	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
thine	thine	po21	thine	thy	0
ill	ill	j-jn	ill	ill	0
hap	hap	n1	hap	hap	0
hath	hath	vhz	hath	have	0
caused	caused	vvn	caused	cause	0
thee	thee	pno21	thee	thou	0
to	to	pc-acp	to	to	0
put	put	vvi	put	put	0
to	to	p-acp	to	to	0
these	these	d	these	these	0
thy	thy	po21	thy	thy	0
ren	ren	fw-it	ren	ren	0
and	and	cc	and	and	0
torne	torne	vvn	torn	tear	0
hands	hands	n2	hands	hand	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
plucke	plucke	vvi	pluck	pluck	0
out	out	av	out	out	0
thine	thine	po21	thine	thy	0
owne	owne	d	own	own	0
bo	bo	zz	bo	bo	0
∣	∣	sy	∣	∣	0
wels	wels	ng1	wells	well	0
withall	withall	av	withal	withal	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
disfigure	disfigure	vvi	disfigure	disfigure	0
thine	thine	po21	thine	thy	0
own	own	d	own	own	0
fce	fce	av	fce	fce	0
:	:	:	:	:	0
yet	yet	av	yet	yet	0
if	if	cs	if	if	0
there	there	pc-acp	there	there	0
be	be	vbb	be	be	0
any	any	d	any	any	0
intermission	intermission	n1	intermission	intermission	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
hote	hote	j	hight	hot	0
broyling	broyling	vvg	broiling	broil	0
mischiefe	mischiefe	n1	mischief	mischief	0
,	,	,	,	,	0
see	see	vvb	see	see	0
thou	thou	pns21	thou	thou	0
employ	employ	vvi	employ	employ	0
the	the	dt	the	the	0
same	same	d	same	same	0
about	about	p-acp	about	about	0
the	the	dt	the	the	0
beholding	beholding	vvg	beholding	behold	0
and	and	cc	and	and	0
looking	looking	vvg	looking	look	0
vpon	vpon	p-acp	upon	upon	0
thy	thy	po21	thy	thy	0
mi	mi	fw-mi	mi	mi	0
∣	∣	sy	∣	∣	0
serie	serie	n1	serie	serie	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
if	if	cs	if	if	0
so	so	av	so	so	0
be	be	vbb	be	be	0
thou	thou	pns21	thou	thou	0
be	be	vbi	be	be	0
too	too	av	too	too	0
too	too	av	too	too	0
fearefull	fearefull	j	fearful	fearful	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
miseries	miseries	n2	misery's	misery	0
which	which	r-crq	which	which	0
thou	thou	pns21	thou	thou	0
hast	hast	vh2	hast	have	0
brought	brought	vvn	brought	bring	0
vpō	vpō	p-acp	upon	upon	0
thy	thy	po21	thy	thy	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
or	or	cc	or	or	0
canst	canst	vm2	canst	can	0
not	not	xx	not	not	0
abide	abide	vvi	abide	abide	0
the	the	dt	the	the	0
sight	sight	n1	sighed	sight	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
,	,	,	,	,	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
hold	hold	n1	hold	hold	0
and	and	cc	and	and	0
looke	looke	vvi	look	look	0
vpō	vpō	p-acp	upon	upon	0
the	the	dt	the	the	0
ruine	ruine	n1	ruin	ruin	0
&	&	cc	&	and	0
destrunction	destrunction	n1	destrunction	destrunction	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
miserable	miserable	j	miserable	miserable	0
Hebrewes	Hebrewes	njpg2	Hebrews	hebrew	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
truest	truest	js	truest	true	0
glasse	glasse	n1	glass	glass	0
that	that	cst	that	that	0
thou	thou	pns21	thou	thou	0
canst	canst	vm2	canst	can	0
looke	looke	vvi	look	look	0
in	in	p-acp	in	in	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
whē	whē	c-crq	when	when	0
thine	thine	po21	thine	thy	0
eyes	eyes	n2	eyes	eye	0
shall	shall	vmb	shall	shall	0
haue	haue	vhi	have	have	0
borrowed	borrowed	vvn	borrowed	borrow	0
their	their	po32	their	their	0
image	image	n1	image	image	0
and	and	cc	and	and	0
face	face	n1	face	face	0
to	to	pc-acp	to	to	0
behold	behold	vvi	behold	behold	0
and	and	cc	and	and	0
see	see	vvi	see	see	0
thy	thy	po21	thy	thy	0
miseries	miseries	n2	misery's	misery	0
there	there	a-acp	there	there	0
∣	∣	sy	∣	∣	0
in	in	a-acp	in	in	0
,	,	,	,	,	0
let	let	vvb	let	let	0
them	them	pno32	them	they	0
also	also	av	also	also	0
borrow	borrow	vvi	borrow	borrow	0
teares	teares	n2	tears	tear	0
of	of	pp-f	of	of	0
thee	thee	pno21	thee	thou	0
mayle	mayle	n1	mail	mail	0
and	and	cc	and	and	0
