AGAINST	AGAINST	p-acp	AGAINST	against	0
griefe	griefe	n1	grief	grief	0
conceiued	conceiued	vvn	conceived	conceive	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
death	death	n1	death	death	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
vvorthy	vvorthy	j-jn	worthy	worthy	0
friende	friende	n1	friend	friend	0
,	,	,	,	,	0
often	often	av	often	often	0
times	times	n2	times	time	0
succour	succour	n1	succour	succour	0
is	is	vbz	is	be	0
sghte	sghte	vvn	sghte	sghte	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
Tombe	Tombe	n1	Tomb	tomb	0
or	or	cc	or	or	0
other	other	j-jn	other	other	0
monument	monument	n1	monument	monument	0
,	,	,	,	,	0
thereby	thereby	av	thereby	thereby	0
to	to	pc-acp	to	to	0
deliuer	deliuer	vvi	deliver	deliver	0
the	the	dt	the	the	0
deades	deades	n2-j	deads	deads	0
vertue	vertue	n1	virtue	virtue	0
&	&	cc	&	and	0
cōmen	cōmen	j	come	common	0
∣	∣	sy	∣	∣	0
dable	dable	vvi	dabble	dabble	0
life	life	n1	life	life	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
vnkinde	vnkinde	j	unkind	unkind	0
forgetfulnesse	forgetfulnesse	n1	forgetfulness	forgetfulness	0
of	of	pp-f	of	of	0
vnthankfull	vnthankfull	j	unthankful	unthankful	0
men	men	n2	men	man	0
.	.	.	.	.	1
Therefore	Therefore	av	Therefore	therefore	0
vvith	vvith	p-acp	with	with	0
the	the	dt	the	the	0
familie	familie	n1	family	family	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
author	author	n1	author	author	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
booke	booke	n1	book	book	0
,	,	,	,	,	0
and	and	cc	and	and	0
vvith	vvith	p-acp	with	with	0
me	me	pno11	me	i	0
also	also	av	also	also	0
vvhich	vvhich	r-crq	which	which	0
in	in	p-acp	in	in	0
good	good	j	good	good	0
vvill	vvill	n1	will	will	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
life	life	n1	life	life	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
∣	∣	sy	∣	∣	0
row	row	n1	row	row	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
death	death	n1	death	death	0
come	come	vvn	come	come	0
next	next	ord	next	next	0
vnto	vnto	p-acp	unto	unto	0
them	them	pno32	them	they	0
,	,	,	,	,	0
it	it	pn31	it	it	0
falleth	falleth	vvz	falls	fall	0
out	out	av	out	out	0
very	very	av	very	very	0
well	well	av	well	well	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
solce	solce	fw-mi	solce	solce	0
which	which	r-crq	which	which	0
our	our	po12	our	our	0
poore	poore	j	poor	poor	0
e	e	sy	e	e	0
∣	∣	sy	∣	∣	0
state	state	n1	state	state	0
denieth	denieth	vvz	denieth	deny	0
vs	vs	pno12	us	we	0
,	,	,	,	,	0
the	the	dt	the	the	0
learned	learned	j	learned	learned	0
diligence	diligence	n1	diligence	diligence	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
de	de	fw-la	de	de	0
∣	∣	sy	∣	∣	0
ceased	ceased	vvn	ceased	cease	0
friends	friends	n2	friends	friend	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
making	making	vvg	making	make	0
at	at	p-acp	at	at	0
vnarares	vnarares	vvz	vnarares	vnarare	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
tombe	tombe	n1	tomb	tomb	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
life	life	n1	life	life	0
time	time	n1	time	time	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
supplied	supplied	vvn	supplied	supply	0
vnto	vnto	p-acp	unto	unto	0
vs.	vs.	pno12	us	we	0
Now	Now	av	Now	now	0
if	if	cs	if	if	0
by	by	p-acp	by	by	0
dedication	dedication	n1	dedication	dedication	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
it	it	pn31	it	it	0
be	be	vbi	be	be	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
)	)	)	)	)	0
sette	sette	vvd	set	set	0
vp	vp	a-acp	up	up	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
Colledge	Colledge	n1	College	college	0
,	,	,	,	,	0
it	it	pn31	it	it	0
hall	hall	n1	hall	hall	0
be	be	vbi	be	be	0
(	(	(	(	(	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
)	)	)	)	)	0
a	a	dt	a	a	0
thankefull	thankefull	j	thankful	thankful	0
worke	worke	n1	work	work	0
:	:	:	:	:	0
considering	considering	vvg	considering	consider	0
that	that	cst	that	that	0
whe	whe	c-crq	when	when	0
∣	∣	sy	∣	∣	0
ther	ther	a-acp	there	there	0
you	you	pn22	you	you	0
looke	looke	vvb	look	look	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
kinde	kinde	n1	kind	kind	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
tombe	tombe	n1	tomb	tomb	0
in	in	p-acp	in	in	0
gene	gene	zz	gene	gene	0
∣	∣	sy	∣	∣	0
rall	rall	n1	rall	rall	0
,	,	,	,	,	0
or	or	cc	or	or	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
in	in	p-acp	in	in	0
particuler	particuler	j	particular	particular	0
,	,	,	,	,	0
the	the	dt	the	the	0
worke	worke	n1	work	work	0
bringeth	bringeth	vvz	brings	bring	0
you	you	pn22	you	you	0
commendations	commendations	n2	commendations	commendation	0
from	from	p-acp	from	from	0
them	them	pno32	them	they	0
both	both	d	both	both	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
wheras	wheras	cs	whereas	whereas	0
other	other	j-jn	other	other	0
tombes	tombes	n2	tombs	tomb	0
are	are	vbr	are	be	0
often	often	av	often	often	0
times	times	n2	times	time	0
the	the	dt	the	the	0
generatiō	generatiō	n1	generation	generation	0
of	of	pp-f	of	of	0
full	full	j	full	full	0
csers	csers	n2	csers	cser	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
cōpany	cōpany	n1	company	company	0
had	had	vhd	had	have	0
with	with	p-acp	with	with	0
any	any	d	any	any	0
great	great	j	great	great	0
vertue	vertue	n1	virtue	virtue	0
or	or	cc	or	or	0
singuler	singuler	j	singular	singular	0
learning	learning	n1	learning	learning	0
,	,	,	,	,	0
this	this	d	this	this	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
birth	birth	n1	birth	birth	0
of	of	pp-f	of	of	0
the	the	pno32	thee	they	0
i	i	pns11	i	i	0
▪	▪	▪	▪	▪	0
sanctifying	sanctifying	vvg	sanctifying	sanctify	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
true	true	j	true	true	0
feare	feare	n1	fear	fear	0
and	and	cc	and	and	0
knowledge	knowledge	n1	knowledge	knowledge	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
.	.	.	.	.	1
And	And	cc	And	and	0
where	where	c-crq	where	where	0
others	others	n2-jn	others	other	0
come	come	vvb	come	come	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
hoppe	hoppe	vvb	hop	hop	0
,	,	,	,	,	0
this	this	d	this	this	0
cōmeth	cōmeth	vvz	comes	come	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
schole	schole	n1	school	school	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	d	that	that	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
:	:	:	:	:	0
Those	Those	d	Those	those	0
may	may	vmb	may	may	0
bring	bring	vvi	bring	bring	0
vs	vs	pno12	us	we	0
some	some	d	some	some	0
message	message	n1	message	message	0
of	of	pp-f	of	of	0
death	death	n1	death	death	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
these	these	d	these	these	0
bring	bring	vvb	bring	bring	0
also	also	av	also	also	0
the	the	dt	the	the	0
good	good	j	good	good	0
tidings	tidings	n2	tidings	tiding	0
of	of	pp-f	of	of	0
life	life	n1	life	life	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
death	death	n1	death	death	0
:	:	:	:	:	0
vvith	vvith	p-acp	with	with	0
a	a	dt	a	a	0
number	number	n1	number	number	0
such	such	d	such	such	0
preheminences	preheminences	n2	preeminences	preeminence	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
which	which	r-crq	which	which	0
as	as	p-acp	as	as	0
this	this	d	this	this	0
kinde	kinde	n1	kind	kind	0
of	of	pp-f	of	of	0
monument	monument	n1	monument	monument	0
ought	ought	vmd	ought	ought	0
of	of	pp-f	of	of	0
right	right	j-jn	right	right	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
the	the	dt	the	the	0
right	right	j-jn	right	right	0
hād	hād	n1	hand	hand	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
,	,	,	,	,	0
so	so	av	so	so	0
ought	ought	vmd	ought	ought	0
it	it	pn31	it	it	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
gladder	gladder	jc	gladder	glad	0
eyes	eyes	n2	eyes	eye	0
to	to	pc-acp	to	to	0
looke	looke	vvi	look	look	0
rather	rather	av-c	rather	rather	0
vpon	vpon	p-acp	upon	upon	0
it	it	pn31	it	it	0
,	,	,	,	,	0
thē	thē	pno32	them	they	0
vpon	vpon	p-acp	upon	upon	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
.	.	.	.	.	1
And	And	cc	And	and	0
as	as	c-acp	as	as	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
speciall	speciall	j	special	special	0
matter	matter	n1	matter	matter	0
which	which	r-crq	which	which	0
commendeth	commendeth	vvz	commends	commend	0
this	this	d	this	this	0
tombe	tombe	n1	tomb	tomb	0
,	,	,	,	,	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
drawē	drawē	vvn	drawn	draw	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
workeman	workeman	n1	workman	workman	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
most	most	av-ds	most	most	0
plentifully	plentifully	av-j	plentifully	plentiful	0
.	.	.	.	.	1
He	He	pns31	He	he	0
was	was	vbds	was	be	0
first	first	ord	first	first	0
by	by	p-acp	by	by	0
a	a	dt	a	a	0
scholership	scholership	n1	scholership	scholership	0
,	,	,	,	,	0
and	and	cc	and	and	0
after	after	c-acp	after	after	0
by	by	p-acp	by	by	0
a	a	dt	a	a	0
felowship	felowship	n1	fellowship	fellowship	0
planted	planted	vvn	planted	plant	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
Colledge	Colledge	n1	College	college	0
:	:	:	:	:	0
Therefore	Therefore	av	Therefore	therefore	0
it	it	pn31	it	it	0
will	will	vmb	will	will	0
rellie	rellie	av-j	rellie	rellie	0
the	the	dt	the	the	0
better	better	jc	better	better	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
frute	frute	n1	fruit	fruit	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
owne	owne	d	own	own	0
planting	planting	n-vvg	planting	plant	0
:	:	:	:	:	0
The	The	dt	The	the	0
worke	worke	n1	work	work	0
was	was	vbds	was	be	0
both	both	av-d	both	both	0
made	made	vvn	made	make	0
and	and	cc	and	and	0
vttered	vttered	vvn	uttered	utter	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
Colledge	Colledge	n1	College	college	0
,	,	,	,	,	0
and	and	cc	and	and	0
for	for	c-acp	for	for	0
it	it	pn31	it	it	0
alone	alone	av-j	alone	alone	0
:	:	:	:	:	0
if	if	cs	if	if	0
you	you	pn22	you	you	0
shoulde	shoulde	vmd	should	shall	0
not	not	xx	not	not	0
therefore	therefore	av	therefore	therefore	0
prepare	prepare	vvi	prepare	prepare	0
your	your	po22	your	your	0
selues	selues	n2	selves	self	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
warning	warning	n-vvg	warning	warn	0
of	of	pp-f	of	of	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
be	be	vbb	be	be	0
yet	yet	av	yet	yet	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
readines	readines	n1	readiness	readiness	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
voyce	voyce	n1	voice	voice	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
owne	owne	d	own	own	0
,	,	,	,	,	0
and	and	cc	and	and	0
proper	proper	j	proper	proper	0
trumpet	trumpet	n1	trumpet	trumpet	0
.	.	.	.	.	1
It	It	pn31	It	it	0
cost	cost	vvd	cost	cost	0
him	him	pno31	him	he	0
the	the	dt	the	the	0
loss	loss	n1	loss	loss	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
felowship	felowship	n1	fellowship	fellowship	0
,	,	,	,	,	0
I	I	pns11	I	i	0
might	might	vmd	might	may	0
haue	haue	vhi	have	have	0
sayde	sayde	vvn	said	say	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
life	life	n1	life	life	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
by	by	p-acp	by	by	0
quietnes	quietnes	n1	quietness	quietness	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
Colledge	Colledge	n1	College	college	0
,	,	,	,	,	0
should	should	vmd	should	shall	0
likely	likely	av-j	likely	likely	0
haue	haue	vhi	have	have	0
bene	bene	vbn	be	be	0
prolōged	prolōged	vvn	prolonged	prolong	0
.	.	.	.	.	1
So	So	av	So	so	0
that	that	cst	that	that	0
herein	herein	av	herein	herein	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
prouided	prouided	vvn	provided	provide	0
euen	euen	av	even	even	0
for	for	p-acp	for	for	0
them	them	pno32	them	they	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
