RENOWMED	RENOWMED	j-vvn	RENOWNED	renown	0
SOVERAIGNE	SOVERAIGNE	n-jn	SOVERAIGNE	sovereign	0
,	,	,	,	,	0
THe	THe	dt	THe	the	0
Almightie	Almightie	j-jn	Almighty	almighty	0
Iehouah	Iehouah	np1	Iehouah	Iehouah	0
(	(	(	(	(	0
being	being	vbg	being	be	0
in	in	p-acp	in	in	0
very	very	j	very	very	0
deed	deed	n1	deed	deed	0
)	)	)	)	)	0
the	the	dt	the	the	0
God	God	n1	God	god	0
of	of	pp-f	of	of	0
1	1	crd	1	1	0
Cor.	Cor.	np1	Cor.	Cor.	1
14.31	14.31	crd	14.31	14.31	0
.	.	.	.	.	0
order	order	n1	order	order	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
created	created	vvn	created	create	0
all	all	d	all	all	0
things	things	n2	things	thing	0
in	in	p-acp	in	in	0
so	so	av	so	so	0
ex	ex	fw-la	ex	ex	0
∣	∣	sy	∣	∣	0
cellent	cellent	j	cellent	cellent	0
and	and	cc	and	and	0
absolute	absolute	j	absolute	absolute	0
an	an	dt	and	a	0
order	order	n1	order	order	0
,	,	,	,	,	0
re	re	fw-it	re	re	0
∣	∣	sy	∣	∣	0
specting	specting	zz	specting	specting	0
Wisd.	Wisd.	np1	Wisd.	Wisd.	1
11.17	11.17	crd	11.17	11.17	0
.	.	.	.	.	0
number	number	n1	number	number	0
,	,	,	,	,	0
weight	weight	n1	weight	weight	0
,	,	,	,	,	0
and	and	cc	and	and	0
measure	measure	n1	measure	measure	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
no	no	dx	no	no	0
one	one	crd	one	one	0
man	man	n1	man	man	0
liuing	liuing	vvg	living	live	0
on	on	p-acp	on	on	0
earth	earth	n1	earth	earth	0
may	may	vmb	may	may	0
iustly	iustly	av-j	justly	just	0
challenge	challenge	vvi	challenge	challenge	0
any	any	d	any	any	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
works	works	n2	works	work	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
being	being	vbg	being	be	0
(	(	(	(	(	0
in	in	p-acp	in	in	0
any	any	d	any	any	0
their	their	po32	their	their	0
seuerall	seuerall	j	several	several	0
orders	orders	n2	order	order	0
)	)	)	)	)	0
the	the	dt	the	the	0
one	one	crd	one	one	0
either	either	d	either	either	0
