May	May	vmb	May	may	0
it	it	pn31	it	it	0
please	please	vvi	please	please	0
Your	Your	po22	Your	your	0
Grace	Grace	n1	Grace	grace	0
.	.	.	.	.	1
AS	AS	p-acp	AS	as	0
without	without	p-acp	without	without	0
the	the	dt	the	the	0
concurrence	concurrence	n1	concurrence	concurrence	0
of	of	pp-f	of	of	0
divers	divers	j	diverse	diverse	0
good	good	j	good	good	0
reasons	reasons	n2	reasons	reason	0
to	to	pc-acp	to	to	0
induce	induce	vvi	induce	induce	0
me	me	pno11	me	i	0
,	,	,	,	,	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
not	not	xx	not	not	0
presumed	presumed	vvn	presumed	presume	0
to	to	pc-acp	to	to	0
present	present	vvi	present	present	0
unto	unto	p-acp	unto	unto	0
Your	Your	po22	Your	your	0
Grace	Grace	n1	Grace	grace	0
the	the	dt	the	the	0
following	following	j-vvg	following	follow	0
Discourse	Discourse	n1	Discourse	discourse	0
:	:	:	:	:	0
So	So	av	So	so	0
I	I	pns11	I	i	0
conceive	conceive	vvb	conceive	conceive	0
it	it	pn31	it	it	0
very	very	av	very	very	0
fitting	fitting	vvg	fitting	fit	0
,	,	,	,	,	0
and	and	cc	and	and	0
my	my	po11	my	my	0
bounden	bounden	vvn	bounden	bind	0
duty	duty	n1	duty	duty	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
give	give	vvi	give	give	0
Your	Your	po22	Your	your	0
Grace	Grace	n1	Grace	grace	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
an	an	dt	and	a	0
Accompt	Accompt	vvb	Account	account	0
in	in	p-acp	in	in	0
briefe	briefe	j	brief	brief	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
inducements	inducements	n2	inducements	inducement	0
whereby	whereby	c-crq	whereby	whereby	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
animated	animated	vvn	animated	animate	0
to	to	pc-acp	to	to	0
appeare	appeare	vvi	appear	appear	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
kinde	kinde	n1	kind	kind	0
before	before	p-acp	before	before	0
Your	Your	po22	Your	your	0
Grace	Grace	n1	Grace	grace	0
.	.	.	.	.	1
The	The	dt	The	the	0
chiefe	chiefe	j-jn	chief	chief	0
whereof	whereof	c-crq	whereof	whereof	0
hath	hath	vhz	hath	have	0
been	been	vbn	been	be	0
,	,	,	,	,	0
and	and	cc	and	and	0
is	is	vbz	is	be	0
,	,	,	,	,	0
Your	Your	po22	Your	your	0
Graces	Graces	ng1	Graces	grace	0
interest	interest	n1	interest	interest	0
both	both	av-d	both	both	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Author	Author	n1	Author	author	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Worke	Worke	n1	Work	work	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
the	the	dt	the	the	0
Author	Author	n1	Author	author	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
subsisting	subsisting	vvg	subsisting	subsist	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
place	place	n1	place	place	0
and	and	cc	and	and	0
profession	profession	n1	profession	profession	0
,	,	,	,	,	0
under	under	p-acp	under	under	0
God	God	np1	God	God	0
,	,	,	,	,	0
chiefly	chiefly	av-jn	chiefly	chief	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
Graces	Graces	ng1	Graces	grace	0
favour	favour	n1	favour	favour	0
and	and	cc	and	and	0
Goodnesse	Goodnesse	n1	Goodness	goodness	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
the	the	dt	the	the	0
Worke	Worke	n1	Work	work	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
double	double	j-jn	double	double	0
respect	respect	n1	respect	respect	0
:	:	:	:	:	0
the	the	dt	the	the	0
one	one	pi	one	one	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
Discourse	Discourse	n1	Discourse	discourse	0
of	of	pp-f	of	of	0
Antiquities	Antiquities	n2	Antiquities	antiquity	0
;	;	;	;	;	0
Your	Your	po22	Your	your	0
Graces	Graces	n2	Graces	grace	0
extraordinary	extraordinary	j	extraordinary	extraordinary	0
care	care	n1	care	care	0
and	and	cc	and	and	0
cost	cost	vvi	cost	cost	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Collection	Collection	n1	Collection	collection	0
