IT	IT	pn31	IT	it	0
is	is	vbz	is	be	0
published	published	vvn	published	publish	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
Nation	Nation	n1	Nation	nation	0
,	,	,	,	,	0
whether	whether	cs	whither	whether	0
I	I	pns11	I	i	0
will	will	vmb	will	will	0
or	or	cc	or	or	0
no	no	uh-dx	no	no	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
endeavoured	endeavoured	vvn	endeavoured	endeavour	0
,	,	,	,	,	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Laws	Laws	n2	Laws	law	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
serve	serve	vvi	serve	serve	0
the	the	dt	the	the	0
established	established	j-vvn	established	establish	0
Government	Government	n1	Government	government	0
in	in	p-acp	in	in	0
Church	Church	n1	Church	church	0
and	and	cc	and	and	0
State	State	n1	State	state	0
.	.	.	.	.	1
And	And	cc	And	and	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
met	met	vvn	met	meet	0
with	with	p-acp	with	with	0
affronts	affronts	vvz	affronts	affront	0
for	for	p-acp	for	for	0
what	what	r-crq	what	what	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
done	done	vdn	done	do	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
ever	ever	av	ever	ever	0
slighted	slighted	vvn	slighted	slight	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
the	the	dt	the	the	0
respect	respect	n1	respect	respect	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
found	found	vvn	found	find	0
among	among	p-acp	among	among	0
wellwillers	wellwillers	n2	wellwillers	wellwiller	0
to	to	p-acp	to	to	0
Loyalty	Loyalty	n1	Loyalty	loyalty	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
counterpoised	counterpoised	vvn	counterpoised	counterpoise	0
all	all	d	all	all	0
the	the	dt	the	the	0
unkind	unkind	j	unkind	unkind	0
usage	usage	n1	usage	usage	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
met	met	vvn	met	meet	0
with	with	p-acp	with	with	0
.	.	.	.	.	1
And	And	cc	And	and	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
not	not	xx	not	not	0
at	at	p-acp	at	at	0
this	this	d	this	this	0
time	time	n1	time	time	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
least	least	ds	least	least	0
murmur	murmur	n1	murmur	murmur	0
at	at	p-acp	at	at	0
my	my	po11	my	my	0
being	being	vbg	being	be	0
openly	openly	av-j	openly	open	0
traduced	traduced	vvn	traduced	traduce	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Pen	Pen	n1	Pen	pen	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Licentious	Licentious	j	Licentious	licentious	0
Libeller	Libeller	n1	Libeler	libeler	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
my	my	po11	my	my	0
friends	friends	n2	friends	friend	0
are	are	vbr	are	be	0
made	made	vvn	made	make	0
to	to	pc-acp	to	to	0
partake	partake	vvi	partake	partake	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
intended	intended	j-vvn	intended	intend	0
Infamy	Infamy	n1	Infamy	infamy	0
,	,	,	,	,	0
and	and	cc	and	and	0
suspected	suspected	vvd	suspected	suspect	0
the	the	dt	the	the	0
being	being	n1	being	being	0
no	no	dx	no	no	0
Protestants	Protestants	n2	Protestants	protestant	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
being	being	vbg	being	be	0
my	my	po11	my	my	0
friends	friends	n2	friends	friend	0
.	.	.	.	.	1
Which	Which	r-crq	Which	which	0
thing	thing	n1	thing	thing	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
justifies	justifies	vvz	justifies	justify	0
my	my	po11	my	my	0
expostulating	expostulating	vvg	expostulating	expostulate	0
the	the	dt	the	the	0
matter	matter	n1	matter	matter	0
with	with	p-acp	with	with	0
my	my	po11	my	my	0
ac	ac	fw-la	ac	ac	0
∣	∣	sy	∣	∣	0
cusers	cusers	n2	cusers	cuser	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
chargeable	chargeable	j	chargeable	chargeable	0
with	with	p-acp	with	with	0
,	,	,	,	,	0
that	that	cst	that	that	0
looks	looks	vvz	looks	look	0
like	like	av-j	like	like	0
Popery	Popery	n1	Popery	popery	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
a	a	dt	a	a	0
time	time	n1	time	time	0
very	very	av	very	very	0
inconvenient	inconvenient	j	inconvenient	inconvenient	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
suspected	suspected	vvn	suspected	suspect	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
.	.	.	.	.	1
I	I	pns11	I	i	0
do	do	vdb	do	do	0
confesse	confesse	vvi	confess	confess	0
,	,	,	,	,	0
I	I	pns11	I	i	0
never	never	av-x	never	never	0
was	was	vbds	was	be	0
a	a	dt	a	a	0
Friend	Friend	n1	Friend	friend	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
Toleration	Toleration	n1	Toleration	toleration	0
of	of	pp-f	of	of	0
Dis	Dis	np1	Dis	Dis	0
∣	∣	sy	∣	∣	0
senters	senters	n2	senters	senter	0
of	of	pp-f	of	of	0
what	what	r-crq	what	what	0
denomination	denomination	n1	denomination	denomination	0
soever	soever	av	soever	soever	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
open	open	j	open	open	0
and	and	cc	and	and	0
daring	daring	j-vvg	daring	dare	0
transgression	transgression	n1	transgression	transgression	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Laws	Laws	n2	Laws	law	0
.	.	.	.	.	1
Now	Now	av	Now	now	0
,	,	,	,	,	0
