WHat	WHat	q-crq	WHat	what	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
to	to	pc-acp	to	to	0
ſay	ſay	vvi	ſay	ſay	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
I	I	pns11	I	i	0
expreſſed	expreſſed	vvd	expreſſed	expreſ	0
my	my	po11	my	my	0
ſelf	ſelf	n1	ſelf	ſelf	0
at	at	p-acp	at	at	0
large	large	j	large	large	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
now	now	av	now	now	0
preſent	preſent	vvb	preſent	preſent	0
you	you	pn22	you	you	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
ſome	ſome	d	ſome	ſome	0
fillings	fillings	n2	fillings	filling	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
time	time	n1	time	time	0
then	then	av	then	then	0
permitted	permitted	vvn	permitted	permit	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
tender	tender	vvi	tender	tender	0
:	:	:	:	:	0
I	I	pns11	I	i	0
ſhall	ſhall	vmb	ſhall	ſhall	0
now	now	av	now	now	0
onely	onely	av-j	only	only	0
adde	adde	vvi	add	add	0
a	a	dt	a	a	0
word	word	n1	word	word	0
of	of	pp-f	of	of	0
excuſe	excuſe	n1	excuſe	excuſe	0
,	,	,	,	,	0
and	and	cc	and	and	0
caution	caution	n1	caution	caution	0
.	.	.	.	.	1
Excuſe	Excuſe	n1	Excuſe	excuſe	0
I	I	pns11	I	i	0
muſt	muſt	crd	muſt	muſt	0
,	,	,	,	,	0
Becauſe	Becauſe	c-acp	Becauſe	becauſe	0
all	all	d	all	all	0
that	that	cst	that	that	0
ſpeak	ſpeak	vvb	ſpeak	ſpeak	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
do	do	vdb	do	do	0
ſo	ſo	av	ſo	ſo	0
;	;	;	;	;	0
my	my	po11	my	my	0
ſelf	ſelf	n1	ſelf	ſelf	0
much	much	av-d	much	much	0
rather	rather	av-c	rather	rather	0
;	;	;	;	;	0
Becauſe	Becauſe	p-acp	Becauſe	becauſe	0
hearing	hearing	vvg	hearing	hear	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
ſervice	ſervice	n1	ſervice	ſervice	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
ſome	ſome	d	ſome	ſome	0
ten	ten	crd	ten	ten	0
dayes	dayes	n2	days	day	0
before	before	p-acp	before	before	0
the	the	dt	the	the	0
Faſt	Faſt	j	Faſt	faſt	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
midſt	midſt	p-acp	amid	amid	0
of	of	pp-f	of	of	0
ſorrow	ſorrow	n1	ſorrow	ſorrow	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
loſſe	loſſe	n1	loss	loss	0
of	of	pp-f	of	of	0
an	an	dt	and	a	0
onely	onely	j	only	only	0
parent	parent	n1	parent	parent	0
;	;	;	;	;	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
with	with	p-acp	with	with	0
that	that	d	that	that	0
freedom	freedom	n1	freedom	freedom	0
of	of	pp-f	of	of	0
ſpirit	ſpirit	n1	ſpirit	ſpirit	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
ſhould	ſhould	vmd	ſhould	ſhould	0
,	,	,	,	,	0
attend	attend	vvb	attend	attend	0
this	this	d	this	this	0
buſineſſe	buſineſſe	n1	business	business	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
your	your	po22	your	your	0
pietie	pietie	n1	piety	piety	0
hath	hath	vhz	hath	have	0
I	I	pns11	I	i	0
hope	hope	n1	hope	hope	0
herein	herein	av	herein	herein	0
ſupplyed	ſupplyed	vvn	supplied	supply	0
my	my	po11	my	my	0
deficiency	deficiency	n1	deficiency	deficiency	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
receiving	receiving	vvg	receiving	receive	0
the	the	dt	the	the	0
matter	matter	n1	matter	matter	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
readineſſe	readineſſe	n1	readiness	readiness	0
of	of	pp-f	of	of	0
minde	minde	n1	mind	mind	0
;	;	;	;	;	0
leaving	leaving	vvg	leaving	leave	0
the	the	dt	the	the	0
manner	manner	n1	manner	manner	0
of	of	pp-f	of	of	0
handling	handling	vvg	handling	handle	0
to	to	p-acp	to	to	0
thoſe	thoſe	d	thoſe	thoſe	0
weak	weak	j	weak	weak	0
ſtomacks	ſtomacks	n2	stomachs	stomach	0
that	that	cst	that	that	0
cannot	cannot	vmbx	cannot	can	0
ſavour	ſavour	vvi	ſavour	ſavour	0
wholeſome	wholeſome	j	wholeſome	wholeſome	0
food	food	n1	food	food	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
a	a	dt	a	a	0
great	great	j	great	great	0
deal	deal	n1	deal	deal	0
of	of	pp-f	of	of	0
curioſity	curioſity	n1	curioſity	curioſity	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
dreſſing	dreſſing	n-vvg	dreſſing	dreſ	0
,	,	,	,	,	0
Care	Care	n1	Care	care	0
,	,	,	,	,	0
and	and	cc	and	and	0
Cleanlyneſſe	Cleanlyneſſe	n1	Cleanlyneſſe	cleanlyneſſe	0
,	,	,	,	,	0
and	and	cc	and	and	0
Concoction	Concoction	np1-n	Concoction	concoction	0
we	we	pns12	we	we	0
commend	commend	vvb	commend	commend	0
:	:	:	:	:	0
The	The	dt	The	the	0
work	work	n1	work	work	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
done	done	vdn	done	do	0
negligently	negligently	av-j	negligently	negligent	0
;	;	;	;	;	0
Too	Too	av	Too	too	0
much	much	d	much	much	0
diligence	diligence	n1	diligence	diligence	0
we	we	pns12	we	we	0
decline	decline	vvb	decline	decline	0
;	;	;	;	;	0
for	for	c-acp	for	for	0
that	that	cst	that	that	0
argues	argues	vvz	argues	argue	0
ſuſpition	ſuſpition	n1	suspicion	suspicion	0
,	,	,	,	,	0
either	either	av-d	either	either	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
food	food	n1	food	food	0
,	,	,	,	,	0
or	or	cc	or	or	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
gueſt	gueſt	n1	gueſt	gueſt	0
.	.	.	.	.	1
We	We	pns12	We	we	0
would	would	vmd	would	will	0
have	have	vhi	have	have	0
your	your	po22	your	your	0
faith	faith	n1	faith	faith	0
and	and	cc	and	and	0
godly	godly	j	godly	godly	0
affection	affection	n1	affection	affection	0
,	,	,	,	,	0
ſtand	ſtand	vvb	ſtand	ſtand	0
,	,	,	,	,	0
not	not	xx	not	not	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
wiſedom	wiſedom	n1	wisdom	wisdom	0
of	of	pp-f	of	of	0
words	words	n2	words	word	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
power	power	n1	power	power	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
.	.	.	.	.	1
I	I	sy	I	i	0
muſt	muſt	crd	muſt	muſt	0
alſo	alſo	av	alſo	alſo	0
caution	caution	n1	caution	caution	0
,	,	,	,	,	0
Touching	Touching	vvg	Touching	touch	0
thoſe	thoſe	d	thoſe	thoſe	0
words	words	n2	words	word	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
entrance	entrance	n1	entrance	entrance	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
diſcourſe	diſcourſe	n1	diſcourſe	diſcourſe	0
,	,	,	,	,	0
[	[	[	[	[	0
In	In	p-acp	In	in	0
a	a	dt	a	a	0
ſetled	ſetled	j-vvn	settled	settle	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
the	the	dt	the	the	0
Miniſtry	Miniſtry	n1	Miniſtry	miniſtry	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
puclikely	puclikely	av-j	puclikely	puclike	0
admitted	admitted	vvn	admitted	admit	0
to	to	p-acp	to	to	0
that	that	d	that	that	0
imployment	imployment	n1	employment	employment	0
.	.	.	.	.	0
]	]	]	]	]	1
I	I	pns11	I	i	0
would	would	vmd	would	will	0
not	not	xx	not	not	0
have	have	vhi	have	have	0
it	it	pn31	it	it	0
underſtood	underſtood	vvn	underſtood	underſtood	0
as	as	p-acp	as	as	0
an	an	dt	and	a	0
approbation	approbation	n1	approbation	approbation	0
either	either	av-d	either	either	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
unlawfull	unlawfull	j	unlawful	unlawful	0
office	office	n1	office	office	0
,	,	,	,	,	0
or	or	cc	or	or	0
undue	undue	j	undue	undue	0
ordination	ordination	n1	ordination	ordination	0
in	in	p-acp	in	in	0
any	any	d	any	any	0
particular	particular	j	particular	particular	0
Church	Church	n1	Church	church	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
in	in	p-acp	in	in	0
generall	generall	n1	general	general	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
ſetled	ſetled	j-vvn	settled	settle	0
Churches	Churches	n2	Churches	church	0
.	.	.	.	.	1
And	And	cc	And	and	0
that	that	d	that	that	0
firſt	firſt	ord	firſt	firſt	0
in	in	p-acp	in	in	0
reſpect	reſpect	n1	reſpect	reſpect	0
of	of	pp-f	of	of	0
order	order	n1	order	order	0
,	,	,	,	,	0
That	That	cst	That	that	0
every	every	d	every	every	0
man	man	n1	man	man	0
be	be	vbb	be	be	0
not	not	xx	not	not	0
at	at	p-acp	at	at	0
his	his	po31	his	his	0
own	own	d	own	own	0
diſpoſing	diſpoſing	n-vvg	diſpoſing	diſpoſe	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
abide	abide	vvi	abide	abide	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
calling	calling	n-vvg	calling	call	0
,	,	,	,	,	0
whereunto	whereunto	c-crq	whereunto	whereunto	0
God	God	np1	God	God	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
ordinance	ordinance	n1	ordinance	ordinance	0
of	of	pp-f	of	of	0
man	man	n1	man	man	0
ſhall	ſhall	vmb	ſhall	ſhall	0
deſigne	deſigne	n1	design	design	0
•	•	•	•	•	0
im	im	pno31	im	he	0
.	.	.	.	.	1
2.	2.	crd	2.	2.	1
Of	Of	pp-f	Of	of	0
advantage	advantage	n1	advantage	advantage	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
Miniſtry	Miniſtry	n1	Miniſtry	miniſtry	0
;	;	;	;	;	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
may	may	vmb	may	may	0
have	have	vhi	have	have	0
more	more	dc	more	more	0
boldneſſe	boldneſſe	n1	boldness	boldness	0
with	with	p-acp	with	with	0
them	them	pno32	them	they	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
have	have	vhb	have	have	0
acknowledged	acknowledged	vvn	acknowledged	acknowledge	0
him	him	pno31	him	he	0
as	as	a-acp	as	as	0
appointed	appointed	vvn	appointed	appoint	0
to	to	p-acp	to	to	0
that	that	d	that	that	0
imployment	imployment	n1	employment	employment	0
.	.	.	.	.	1
Which	Which	r-crq	Which	which	0
call	call	vvb	call	call	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
conceive	conceive	vvb	conceive	conceive	0
)	)	)	)	)	0
lies	lies	vvz	lies	lie	0
chiefly	chiefly	av-jn	chiefly	chief	0
in	in	p-acp	in	in	0
theſe	theſe	d	theſe	theſe	0
particulars	particulars	n2-j	particulars	particular	0
.	.	.	.	.	1
1.	1.	crd	1.	1.	1
The	The	dt	The	the	0
inward	inward	j	inward	inward	0
ability	ability	n1	ability	ability	0
,	,	,	,	,	0
and	and	cc	and	and	0
upright	upright	j	upright	upright	0
intention	intention	n1	intention	intention	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
heart	heart	n1	heart	heart	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
Chriſt	Chriſt	np1	Chriſt	Chriſt	0
ſervice	ſervice	n1	ſervice	ſervice	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
imployment	imployment	n1	employment	employment	0
.	.	.	.	.	1
2.	2.	crd	2.	2.	1
In	In	p-acp	In	in	0
the	the	dt	the	the	0
publike	publike	j	public	public	0
approbation	approbation	n1	approbation	approbation	0
of	of	pp-f	of	of	0
ſuch	ſuch	d	ſuch	ſuch	0
abilities	abilities	n2	abilities	ability	0
after	after	p-acp	after	after	0
tryall	tryall	n1	trial	trial	0
had	had	vhd	had	have	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
both	both	d	both	both	0
Miniſtry	Miniſtry	n1	Miniſtry	miniſtry	0
and	and	cc	and	and	0
people	people	n1	people	people	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
indeed	indeed	av	indeed	indeed	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
diſcern	diſcern	vvi	diſcern	diſcern	0
.	.	.	.	.	1
3.	3.	crd	3.	3.	1
A	A	dt	A	a	0
ſpeciall	ſpeciall	j	special	special	0
call	call	n1	call	call	0
by	by	p-acp	by	by	0
ſome	ſome	d	ſome	ſome	0
particular	particular	j	particular	particular	0
people	people	n1	people	people	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
their	their	po32	their	their	0
officer	officer	n1	officer	officer	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
kinde	kinde	n1	kind	kind	0
(	(	(	(	(	0
or	or	cc	or	or	0
an	an	cs	and	an	0
after	after	p-acp	after	after	0
approbation	approbation	n1	approbation	approbation	0
from	from	p-acp	from	from	0
them	them	pno32	them	they	0
)	)	)	)	)	0
or	or	cc	or	or	0
elſe	elſe	av	elſe	elſe	0
a	a	dt	a	a	0
more	more	av-dc	more	more	0
generall	generall	j	general	general	0
commiſſion	commiſſion	n1	commiſſion	commiſſion	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
more	more	av-dc	more	more	0
univerſall	univerſall	j	universal	universal	0
imployment	imployment	n1	employment	employment	0
that	that	cst	that	that	0
way	way	n1	way	way	0
;	;	;	;	;	0
ſuch	ſuch	d	ſuch	ſuch	0
as	as	c-acp	as	as	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
ſending	ſending	n-vvg	ſending	ſend	0
of	of	pp-f	of	of	0
Paul	Paul	np1	Paul	Paul	0
and	and	cc	and	and	0
Barnabas	Barnabas	np1	Barnabas	Barnabas	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
Antioch	Antioch	np1	Antioch	Antioch	0
•	•	•	•	•	0
Act.	Act.	n1	Act.	act	0
13.	13.	crd	13.	13.	0
.	.	.	.	.	1
All	All	av-d	All	all	0
