Mr.	Mr.	n1	Mr.	mr.	0
W.	W.	np1	W.	W.	0
STRVTHER	STRVTHER	n1	STRVTHER	strvther	0
.	.	.	.	.	1
THESE	THESE	d	THESE	these	0
first	first	ord	first	first	0
fruits	fruits	n2	fruits	fruit	0
of	of	pp-f	of	of	0
Thine	Thine	po21	Thine	thy	0
owne	owne	d	own	own	0
Grace	Grace	n1	Grace	grace	0
in	in	p-acp	in	in	0
mee	mee	pno11	me	i	0
,	,	,	,	,	0
I	I	pns11	I	i	0
of	of	pp-f	of	of	0
∣	∣	sy	∣	∣	0
fer	fer	fw-fr	fer	fer	0
to	to	pc-acp	to	to	0
Thee	Thee	pno21	Thee	thou	0
,	,	,	,	,	0
O	O	uh	Oh	oh	0
Fountaine	Fountaine	n1	Fountain	fountain	0
of	of	pp-f	of	of	0
Grace	Grace	n1	Grace	grace	0
:	:	:	:	:	0
Thy	Thy	po21	Thy	thy	0
thoughts	thoughts	n2	thoughts	thought	0
are	are	vbr	are	be	0
pretious	pretious	j	precious	precious	0
to	to	p-acp	to	to	0
mee	mee	pno11	me	i	0
,	,	,	,	,	0
and	and	cc	and	and	0
thy	thy	po21	thy	thy	0
Meditations	Meditations	n2	Meditations	meditation	0
sweete	sweete	j	sweet	sweet	0
.	.	.	.	.	1
All	All	av-d	All	all	0
the	the	dt	the	the	0
desires	desires	n2	desires	desire	0
of	of	pp-f	of	of	0
mine	mine	po11	mine	my	0
heart	heart	n1	heart	heart	0
is	is	vbz	is	be	0
to	to	p-acp	to	to	0
Thee	Thee	pno21	Thee	thou	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
bring	bring	vvi	bring	bring	0
thy	thy	po21	thy	thy	0
Saiuctes	Saiuctes	n2	Saiuctes	saiucte	0
to	to	p-acp	to	to	0
thy	thy	po21	thy	thy	0
fellowship	fellowship	n1	fellowship	fellowship	0
,	,	,	,	,	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
v	v	crd	v	five	0
∣	∣	sy	∣	∣	0
nion	nion	n1	nion	nion	0
,	,	,	,	,	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
enjoy	enjoy	vvi	enjoy	enjoy	0
Thy	Thy	po21	Thy	thy	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
and	and	cc	and	and	0
par	par	fw-fr	par	par	0
∣	∣	sy	∣	∣	0
take	take	vvb	take	take	0
true	true	j	true	true	0
Happinesse	Happinesse	n1	Happiness	happiness	0
.	.	.	.	.	1
Blesse	Blesse	vvb	Bless	bless	0
all	all	d	all	all	0
meanes	meanes	n2	means	mean	0
vsed	vsed	vvn	used	use	0
to	to	p-acp	to	to	0
that	that	d	that	that	0
good	good	j	good	good	0
end	end	n1	end	end	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
proue	proue	vvi	prove	prove	0
meanes	meanes	n2	means	mean	0
of	of	pp-f	of	of	0
thine	thine	po21	thine	thy	0
owne	owne	d	own	own	0
choyse	choyse	n1	choice	choice	0
,	,	,	,	,	0
and	and	cc	and	and	0
worke	worke	n1	work	work	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
aboue	aboue	p-acp	above	above	0
all	all	d	all	all	0
,	,	,	,	,	0
shedde	shedde	vvi	shed	shed	0
abroad	abroad	av	abroad	abroad	0
Thy	Thy	po21	Thy	thy	0
loue	loue	n1	love	love	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
hearts	hearts	n2	hearts	heart	0
of	of	pp-f	of	of	0
Thy	Thy	po21	Thy	thy	0
peo	peo	fw-la	peo	peo	0
∣	∣	sy	∣	∣	0
ple	ple	n1	ple	ple	0
,	,	,	,	,	0
then	then	cs	then	than	0
our	our	po12	our	our	0
preaching	preaching	vvg	preaching	preach	0
and	and	cc	and	and	0
writting	writting	vvg	writing	write	0
will	will	vmb	will	will	0
bee	bee	vbi	be	be	0
either	either	av-d	either	either	0
lesse	lesse	av-dc	less	less	0
needefull	needefull	j	needful	needful	0
,	,	,	,	,	0
or	or	cc	or	or	0
more	more	av-dc	more	more	0
fruitfull	fruitfull	j	fruitful	fruitful	0
.	.	.	.	.	1
Thou	Thou	pns21	Thou	thou	0
hast	hast	vh2	hast	have	0
won	won	vvn	wone	win	0
to	to	p-acp	to	to	0
Thy	Thy	po21	Thy	thy	0
selfe	selfe	n1	self	self	0
for	for	c-acp	for	for	0
euer	euer	av	ever	ever	0
the	the	dt	the	the	0
heart	heart	n1	heart	heart	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
deepelie	deepelie	av-jn	deeply	deep	0
affected	affected	vvn	affected	affect	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
sense	sense	n1	sense	sense	0
of	of	pp-f	of	of	0
Thy	Thy	po21	Thy	thy	0
loue	loue	n1	love	love	0
:	:	:	:	:	0
Thou	Thou	pns21	Thou	thou	0
knowest	knowest	vv2	knowest	know	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
can	can	vmb	can	can	0
no	no	av-dx	no	no	0
more	more	av-dc	more	more	0
byde	byde	vvi	bide	bide	0
or	or	cc	or	or	0
rest	rest	vvi	rest	rest	0
off	off	p-acp	off	off	0
Thee	Thee	pno21	Thee	thou	0
,	,	,	,	,	0
than	than	cs	than	than	0
a	a	dt	a	a	0
stone	stone	n1	stone	stone	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
can	can	vmb	can	can	0
hing	hing	n1	hing	hing	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
aire	aire	n1	air	air	0
.	.	.	.	.	1
While	While	cs	While	while	0
I	I	pns11	I	i	0
thinke	thinke	vvb	think	think	0
of	of	pp-f	of	of	0
Thee	Thee	pno21	Thee	thou	0
,	,	,	,	,	0
my	my	po11	my	my	0
thoughts	thoughts	n2	thoughts	thought	0
increase	increase	vvi	increase	increase	0
themselues	themselues	px32	themselves	themselves	0
,	,	,	,	,	0
and	and	cc	and	and	0
while	while	cs	while	while	0
I	I	pns11	I	i	0
preasse	preasse	n1	press	press	0
to	to	pc-acp	to	to	0
expresse	expresse	vvi	express	express	0
them	them	pno32	them	they	0
,	,	,	,	,	0
I	I	pns11	I	i	0
can	can	vmb	can	can	0
not	not	xx	not	not	0
satisfie	satisfie	vvi	satisfy	satisfy	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
expression	expression	n1	expression	expression	0
.	.	.	.	.	1
Thou	Thou	pns21	Thou	thou	0
art	art	vb2r	art	be	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
heart	heart	n1	heart	heart	0
that	that	cst	that	that	0
loueth	loueth	vvz	loves	love	0
