FRIENDS	FRIENDS	ng1	FRIENDS	friend	0
,	,	,	,	,	0
DIVINE	DIVINE	j-jn	DIVINE	divine	0
Providence	Providence	n1	Providence	providence	0
(	(	(	(	(	0
who	who	r-crq	who	who	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
wise	wise	j	wise	wise	0
disposer	disposer	n1	disposer	disposer	0
of	of	pp-f	of	of	0
things	things	n2	things	thing	0
)	)	)	)	)	0
hath	hath	vhz	hath	have	0
so	so	av	so	so	0
ordered	ordered	vvn	ordered	order	0
that	that	d	that	that	0
our	our	po12	our	our	0
Lot	Lot	n1	Lot	lot	0
is	is	vbz	is	be	0
faln	faln	vvn	fallen	fall	0
out	out	av	out	out	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
last	last	ord	last	last	0
dayes	dayes	n2	days	day	0
;	;	;	;	;	0
and	and	cc	and	and	0
eke	eke	av	eke	eke	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
Borders	Borders	n2	Borders	border	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Promised	Promised	j-vvn	Promised	promise	0
land	land	n1	land	land	0
,	,	,	,	,	0
the	the	dt	the	the	0
tedious	tedious	j	tedious	tedious	0
,	,	,	,	,	0
de	de	fw-la	de	de	0
∣	∣	sy	∣	∣	0
sertous	sertous	j	sertous	sertous	0
wildernesse	wildernesse	n1	wilderness	wilderness	0
journey	journey	n1	journey	journey	0
(	(	(	(	(	0
wherein	wherein	c-crq	wherein	wherein	0
so	so	av	so	so	0
many	many	d	many	many	0
thousands	thousands	crd	thousands	thousand	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Israelites	Israelites	np2	Israelites	Israelite	0
Carkeises	Carkeises	n2	Carcases	carcase	0
have	have	vhb	have	have	0
faln	faln	vvn	fallen	fall	0
)	)	)	)	)	0
being	being	vbg	being	be	0
almost	almost	av	almost	almost	0
past	past	j	past	past	0
;	;	;	;	;	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Day-star	Day-star	n1	Daystar	daystar	0
ready	ready	j	ready	ready	0
to	to	pc-acp	to	to	0
arise	arise	vvi	arise	arise	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
glorious	glorious	j	glorious	glorious	0
morn	morn	n1	morn	morn	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
son	son	n1	son	son	0
of	of	pp-f	of	of	0
man	man	n1	man	man	0
,	,	,	,	,	0
and	and	cc	and	and	0
evangelicall	evangelicall	j	evangelical	evangelical	0
peace	peace	n1	peace	peace	0
and	and	cc	and	and	0
rest	rest	n1	rest	rest	0
,	,	,	,	,	0
ready	ready	j	ready	ready	0
to	to	p-acp	to	to	0
dawn	dawn	n1	dawn	dawn	0
and	and	cc	and	and	0
break	break	vvi	break	break	0
forth	forth	av	forth	forth	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
pure	pure	j	pure	pure	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
greater	greater	jc	greater	great	0
light	light	n1	light	light	0
in	in	p-acp	in	in	0
Zions	Zions	n2	Zions	zion	0
Horison	Horison	np1	Horison	Horison	0
.	.	.	.	.	1
Yet	Yet	av	Yet	yet	0
when	when	c-crq	when	when	0
we	we	pns12	we	we	0
look	look	vvb	look	look	0
abroad	abroad	av	abroad	abroad	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
World	World	n1	World	world	0
,	,	,	,	,	0
our	our	po12	our	our	0
thoughts	thoughts	n2	thoughts	thought	0
are	are	vbr	are	be	0
other	other	j-jn	other	other	0
∣	∣	sy	∣	∣	0
wayes	wayes	n2	ways	way	0
exercised	exercised	vvn	exercised	exercise	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
to	to	p-acp	to	to	0
them	them	pno32	them	they	0
twill	twill	pn31|vmb	'twill	it|will	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
darknesse	darknesse	n1	darkness	darkness	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
clouds	clouds	n2	clouds	cloud	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
thick	thick	j	thick	thick	0
darknesse	darknesse	n1	darkness	darkness	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	1
That	That	cst	That	that	0
the	the	dt	the	the	0
Rulers	Rulers	n2	Rulers	ruler	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
World	World	n1	World	world	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
degraded	degraded	vvn	degraded	degrade	0
and	and	cc	and	and	0
Exauthorized	Exauthorized	vvn	Exauthorized	exauthorize	0
;	;	;	;	;	0
that	that	cst	that	that	0
the	the	dt	the	the	0
light	light	n1	light	light	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
morning	morning	n1	morning	morning	0
(	(	(	(	(	0
or	or	cc	or	or	0
indeed	indeed	av	indeed	indeed	0
rather	rather	av	rather	rather	0
even-tide	even-tide	n1	eventide	even-tide	0
:	:	:	:	:	0
For	For	c-acp	For	for	0
then	then	av	then	then	0
shall	shall	vmb	shall	shall	0
it	it	pn31	it	it	0
be	be	vbi	be	be	0
light	light	j	light	light	0
,	,	,	,	,	0
)	)	)	)	)	0
will	will	vmb	will	will	0
make	make	vvi	make	make	0
the	the	dt	the	the	0
works	works	n2	works	work	0
of	of	pp-f	of	of	0
darkness	darkness	n1	darkness	darkness	0
manifest	manifest	j	manifest	manifest	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
all	all	d	all	all	0
occult	occult	j	occult	occult	0
and	and	cc	and	and	0
secret	secret	j-jn	secret	secret	0
hypocrisies	hypocrisies	n2	hypocrisies	hypocrisy	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
execrable	execrable	j	execrable	execrable	0
,	,	,	,	,	0
sacrilegious	sacrilegious	j	sacrilegious	sacrilegious	0
and	and	cc	and	and	0
si	si	zz	si	si	0
∣	∣	sy	∣	∣	0
monicall	monicall	j	monicall	monicall	0
sins	sins	n2	sins	sin	0
and	and	cc	and	and	0
wickednesses	wickednesses	n2	wickednesses	wickedness	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
sons	sons	n2	sons	son	0
of	of	pp-f	of	of	0
men	men	n2	men	man	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
dis	dis	zf	dis	this	0
∣	∣	sy	∣	∣	0
covered	covered	vvn	covered	cover	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
searching	searching	j-vvg	searching	search	0
fire	fire	n1	fire	fire	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
will	will	vmb	will	will	0
render	render	vvi	render	render	0
the	the	dt	the	the	0
Sinners	Sinners	n2	Sinners	sinner	0
in	in	p-acp	in	in	0
Sion	Sion	np1	Sion	Zion	0
sufficiently	sufficiently	av-j	sufficiently	sufficient	0
obnoxious	obnoxious	j	obnoxious	obnoxious	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
punishment	punishment	n1	punishment	punishment	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
everlast	everlast	j	everlast	everlast	0
∣	∣	sy	∣	∣	0
ing	ing	zz	ing	ing	0
burnings	burnings	n2	burnings	burn	0
.	.	.	.	.	1
The	The	dt	The	the	0
great	great	j	great	great	0
Jehovah	Jehovah	np1	Jehovah	Jehovah	0
,	,	,	,	,	0
and	and	cc	and	and	0
our	our	po12	our	our	0
Law-giver	Law-giver	n1	Lawgiver	lawgiver	0
,	,	,	,	,	0
and	and	cc	and	and	0
those	those	d	those	those	0
in	in	p-acp	in	in	0
Cove	Cove	zz	Cove	cove	0
∣	∣	sy	∣	∣	0
nant	nant	n1	nant	nant	0
with	with	p-acp	with	with	0
him	him	pno31	him	he	0
,	,	,	,	,	0
are	are	vbr	are	be	0
now	now	av	now	now	0
making	making	vvg	making	make	0
inquisition	inquisition	n1	inquisition	inquisition	0
for	for	p-acp	for	for	0
blood	blood	n1	blood	blood	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
blood	blood	n1	blood	blood	0
shedders	shedders	n2	shedders	shedder	0
,	,	,	,	,	0
and	and	cc	and	and	0
truly	truly	av-j	truly	true	0
it	it	pn31	it	it	0
evidently	evidently	av-j	evidently	evident	0
appeareth	appeareth	vvz	appears	appear	0
,	,	,	,	,	0
that	that	cst	that	that	0
Rome	Rome	n1	Room	room	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Nations	Nations	n2	Nations	nation	0
of	of	pp-f	of	of	0
Europe	Europe	np1	Europe	Europe	0
(	(	(	(	(	0
commonly	commonly	av-j	commonly	common	0
called	called	vvn	called	call	0
the	the	dt	the	the	0
Protestant	Protestant	n1	Protestant	protestant	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
Anti-christian	Anti-christian	j	Antichristian	antichristian	0
Countries	Countries	n2	Countries	country	0
,	,	,	,	,	0
)	)	)	)	)	0
which	which	q-crq	which	which	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
streets	streets	n2	streets	street	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
great	great	j	great	great	0
City	City	n1	City	city	0
,	,	,	,	,	0
and	and	cc	and	and	0
Rome-Babylon	Rome-Babylon	np1	Rome-Babylon	Rome-Babylon	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
Akeldema	Akeldema	np1	Akeldema	Akeldema	0
,	,	,	,	,	0
or	or	cc	or	or	0
field	field	n1	field	field	0
of	of	pp-f	of	of	0
blood	blood	n1	blood	blood	0
.	.	.	.	.	1
Now	Now	av	Now	now	0
for	for	p-acp	for	for	0
that	that	d	that	that	0
the	the	dt	the	the	0
deep	deep	j-jn	deep	deep	0
sense	sense	n1	sense	sense	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
hainous	hainous	j	heinous	heinous	0
murders	murders	n2	murders	murder	0
com	com	vvb	come	come	0
∣	∣	sy	∣	∣	0
mitted	mitted	vvn	mitted	mit	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
bodies	bodies	n2	bodies	body	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
precious	precious	j	precious	precious	0
Saints	Saints	n2	Saints	saint	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
hath	hath	vhz	hath	have	0
cau	cau	vvn	caused	cause	0
∣	∣	sy	∣	∣	0
sed	sed	fw-la	sed	sed	0
streams	streams	n2	streams	stream	0
of	of	pp-f	of	of	0
blood	blood	n1	blood	blood	0
to	to	pc-acp	to	to	0
run	run	vvi	run	run	0
down	down	a-acp	down	down	0
,	,	,	,	,	0
is	is	vbz	is	be	0
imprinted	imprinted	vvn	imprinted	imprint	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
hearts	hearts	n2	hearts	heart	0
;	;	;	;	;	0
and	and	cc	and	and	0
more	more	av-dc	more	more	0
especially	especially	av-j	especially	especial	0
being	being	vbg	being	be	0
greatly	greatly	av-j	greatly	great	0
affected	affected	vvn	affected	affect	0
,	,	,	,	,	0
and	and	cc	and	and	0
melted	melted	vvd	melted	melt	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
godly	godly	j	godly	godly	0
sorrow	sorrow	n1	sorrow	sorrow	0
for	for	p-acp	for	for	0
that	that	d	that	that	0
stop	stop	n1	stop	stop	0
,	,	,	,	,	0
and	and	cc	and	and	0
remora	remora	fw-la	remora	remora	0
put	put	vvd	put	put	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
work	work	n1	work	work	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
that	that	cst	that	that	0
noble	noble	j	noble	noble	0
Interest	Interest	n1	Interest	interest	0
and	and	cc	and	and	0
