HOnoured	HOnoured	j-vvn	HOnoured	honour	0
Ladies	Ladies	n2	Ladies	lady	0
,	,	,	,	,	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
not	not	xx	not	not	0
igno	igno	fw-la	igno	igno	0
∣	∣	sy	∣	∣	0
rant	rant	vvi	rant	rant	0
that	that	cst	that	that	0
ingratitude	ingratitude	n1	ingratitude	ingratitude	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
sinne	sinne	n1	sin	sin	0
of	of	pp-f	of	of	0
an	an	dt	and	a	0
high	high	j	high	high	0
nature	nature	n1	nature	nature	0
,	,	,	,	,	0
and	and	cc	and	and	0
none	none	pix	none	none	0
more	more	av-dc	more	more	0
base	base	j	base	base	0
and	and	cc	and	and	0
monstrous	monstrous	j	monstrous	monstrous	0
;	;	;	;	;	0
lest	lest	cs	lest	lest	0
therefore	therefore	av	therefore	therefore	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
seeme	seeme	vvi	seem	seem	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
guilty	guilty	j	guilty	guilty	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
crime	crime	n1	crime	crime	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
alwaies	alwaies	av	always	always	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
heart	heart	n1	heart	heart	0
so	so	av	so	so	0
much	much	av-d	much	much	0
abhorred	abhorred	vvn	abhorred	abhor	0
;	;	;	;	;	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
now	now	av	now	now	0
taken	taken	vvn	taken	take	0
an	an	dt	and	a	0
opportunity	opportunity	n1	opportunity	opportunity	0
to	to	pc-acp	to	to	0
expresse	expresse	vvi	express	express	0
my	my	po11	my	my	0
thankfulnesse	thankfulnesse	n1	thankfulness	thankfulness	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
manifold	manifold	j	manifold	manifold	0
favours	favours	n2	favours	favour	0
and	and	cc	and	and	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
nefits	nefits	n2	nefits	nefit	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
(	(	(	(	(	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
depth	depth	n1	depth	depth	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
afflictions	afflictions	n2	afflictions	affliction	0
)	)	)	)	)	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
received	received	vvn	received	receive	0
from	from	p-acp	from	from	0
you	you	pn22	you	you	0
.	.	.	.	.	1
And	And	cc	And	and	0
no	no	dx	no	no	0
other	other	j-jn	other	other	0
way	way	n1	way	way	0
have	have	vhb	have	have	0
I	I	pns11	I	i	0
really	really	av-j	really	real	0
to	to	pc-acp	to	to	0
expresse	expresse	vvi	express	express	0
it	it	pn31	it	it	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
dedication	dedication	n1	dedication	dedication	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
little	little	j	little	little	0
Book	Book	n1	Book	book	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Ladiships	Ladiships	ng1	Ladyships	ladyship	0
acceptance	acceptance	n1	acceptance	acceptance	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
if	if	cs	if	if	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
condescend	condescend	vvi	condescend	condescend	0
to	to	pc-acp	to	to	0
patronize	patronize	vvi	patronise	patronize	0
,	,	,	,	,	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
your	your	po22	your	your	0
for	for	c-acp	for	for	0
∣	∣	sy	∣	∣	0
mer	mer	uh	mere	mer	0
respects	respects	n2	respects	respect	0
unto	unto	p-acp	unto	unto	0
me	me	pno11	me	i	0
,	,	,	,	,	0
makes	makes	vvz	makes	make	0
me	me	pno11	me	i	0
confident	confident	j	confident	confident	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
)	)	)	)	)	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
rather	rather	av-c	rather	rather	0
increase	increase	vvi	increase	increase	0
,	,	,	,	,	0
than	than	cs	than	than	0
any	any	d	any	any	0
way	way	n1	way	way	0
lessen	lessen	vvi	lessen	lessen	0
my	my	po11	my	my	0
engagements	engagements	n2	engagements	engagement	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
.	.	.	.	.	1
The	The	dt	The	the	0
structure	structure	n1	structure	structure	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
ing	ing	zz	ing	ing	0
so	so	av	so	so	0
small	small	j	small	small	0
and	and	cc	and	and	0
low	low	j	low	low	0
,	,	,	,	,	0
may	may	vmb	may	may	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
eyes	eyes	n2	eyes	eye	0
of	of	pp-f	of	of	0
some	some	d	some	some	0
seem	seem	vvb	seem	seem	0
contemptible	contemptible	j	contemptible	contemptible	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
respect	respect	n1	respect	respect	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
large	large	j	large	large	0
and	and	cc	and	and	0
faire	faire	j	fair	fair	0
buildings	buildings	n2	buildings	building	0
of	of	pp-f	of	of	0
like	like	j	like	like	0
nature	nature	n1	nature	nature	0
,	,	,	,	,	0
that	that	cst	that	that	0
by	by	p-acp	by	by	0
others	others	n2-jn	others	other	0
of	of	pp-f	of	of	0
farre	farre	av-j	far	far	0
richer	richer	jc	richer	rich	0
endowments	endowments	n2	endowments	endowment	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
erected	erected	vvn	erected	erect	0
:	:	:	:	:	0
yet	yet	av	yet	yet	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
often	often	av	often	often	0
seen	seen	vvn	seen	see	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
world	world	n1	world	world	0
described	described	vvn	described	describe	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
little	little	j	little	little	0
Map	Map	n1	Map	map	0
,	,	,	,	,	0
or	or	cc	or	or	0
the	the	dt	the	the	0
lively	lively	j	lively	lively	0
portraicture	portraicture	n1	portraiture	portraiture	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
tall	tall	j	tall	tall	0
Man	Man	n1	Man	man	0
or	or	cc	or	or	0
Woman	Woman	n1	Woman	woman	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
Shillings	Shillings	n2	Shillings	shilling	0
compasse	compasse	vvi	compass	compass	0
,	,	,	,	,	0
so	so	av	so	so	0
is	is	vbz	is	be	0
here	here	av	here	here	0
(	(	(	(	(	0
although	although	cs	although	although	0
I	I	pns11	I	i	0
must	must	vmb	must	must	0
confesse	confesse	vvi	confess	confess	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
manner	manner	n1	manner	manner	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
rudely	rudely	av-j	rudely	rude	0
contrived	contrived	vvn	contrived	contrive	0
)	)	)	)	)	0
yet	yet	av	yet	yet	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
matter	matter	n1	matter	matter	0
,	,	,	,	,	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
body	body	n1	body	body	0
of	of	pp-f	of	of	0
Divinity	Divinity	n1	Divinity	divinity	0
contained	contained	vvn	contained	contain	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
small	small	j	small	small	0
Epitome	Epitome	n1	Epitome	epitome	0
;	;	;	;	;	0
which	which	r-crq	which	which	0
being	being	vbg	being	be	0
so	so	av	so	so	0
little	little	j	little	little	0
and	and	cc	and	and	0
weake	weake	j	weak	weak	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
need	need	n1	need	need	0
of	of	pp-f	of	of	0
succour	succour	n1	succour	succour	0
,	,	,	,	,	0
so	so	av	so	so	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
fa	fa	zz	fa	fa	0
∣	∣	sy	∣	∣	0
cility	cility	n1	cility	cility	0
from	from	p-acp	from	from	0
your	your	po22	your	your	0
Ladiships	Ladiships	ng1	Ladyships	ladyship	0
favour	favour	n1	favour	favour	0
receive	receive	vvi	receive	receive	0
prote	prote	n1	prote	prote	0
∣	∣	sy	∣	∣	0
ction	ction	zz	ction	ction	0
.	.	.	.	.	1
I	I	pns11	I	i	0
know	know	vvb	know	know	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
take	take	vvi	take	take	0
the	the	dt	the	the	0
paines	paines	n2	pains	pain	0
often	often	av	often	often	0
to	to	pc-acp	to	to	0
peruse	peruse	vvi	peruse	peruse	0
it	it	pn31	it	it	0
(	(	(	(	(	0
because	because	c-acp	because	because	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
well	well	av	well	well	0
assured	assured	vvn	assured	assure	0
,	,	,	,	,	0
that	that	cst	that	that	0
