CHriſtian	CHriſtian	np1	CHriſtian	CHriſtian	0
reader	reader	n1	reader	reader	0
,	,	,	,	,	0
I	I	pns11	I	i	0
will	will	vmb	will	will	0
take	take	vvi	take	take	0
it	it	pn31	it	it	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
great	great	j	great	great	0
favour	favour	n1	favour	favour	0
from	from	p-acp	from	from	0
thee	thee	pno21	thee	thou	0
,	,	,	,	,	0
if	if	cs	if	if	0
in	in	p-acp	in	in	0
reading	reading	vvg	reading	read	0
this	this	d	this	this	0
my	my	po11	my	my	0
Anſwer	Anſwer	n1	Anſwer	anſwer	0
thou	thou	pns21	thou	thou	0
wilt	wilt	vm2	wilt	will	0
judge	judge	vvi	judge	judge	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
indeed	indeed	av	indeed	indeed	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
truth	truth	n1	truth	truth	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
,	,	,	,	,	0
an	an	dt	and	a	0
adverſary	adverſary	n1	adverſary	adverſary	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
cauſe	cauſe	n1	cauſe	cauſe	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
perſon	perſon	n1	perſon	perſon	0
.	.	.	.	.	1
He	He	pns31	He	he	0
who	who	r-crq	who	who	0
is	is	vbz	is	be	0
commonly	commonly	av-j	commonly	common	0
reported	reported	vvn	reported	report	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
Author	Author	n1	Author	author	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
foure	foure	crd	foure	four	0
queſtions	queſtions	n2	queſtions	queſtion	0
in	in	p-acp	in	in	0
hand	hand	n1	hand	hand	0
,	,	,	,	,	0
is	is	vbz	is	be	0
one	one	pi	one	one	0
whoſe	whoſe	r-crq	whoſe	whoſe	0
perſon	perſon	n1	perſon	perſon	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
my	my	po11	my	my	0
firſt	firſt	ord	firſt	firſt	0
knowledge	knowledge	n1	knowledge	knowledge	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
,	,	,	,	,	0
dearly	dearly	av-jn	dearly	dear	0
loved	loved	vvn	loved	love	0
,	,	,	,	,	0
honoured	honoured	j-vvn	honoured	honour	0
,	,	,	,	,	0
and	and	cc	and	and	0
admired	admired	vvn	admired	admire	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
excellent	excellent	j	excellent	excellent	0
parts	parts	n2	parts	part	0
,	,	,	,	,	0
profitable	profitable	j	profitable	profitable	0
paines	paines	n2	pains	pain	0
