GReat	GReat	j	GReat	great	0
and	and	cc	and	and	0
manifold	manifold	j	manifold	manifold	0
have	have	vhb	have	have	0
the	the	dt	the	the	0
blessings	blessings	n2	blessings	blessing	0
and	and	cc	and	and	0
favours	favours	n2	favours	favour	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
been	been	vbn	been	be	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
our	our	po12	our	our	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Kingdome	Kingdome	n1	Kingdom	kingdom	0
(	(	(	(	(	0
loving	loving	vvg	loving	love	0
Countrey-men	Countrey-men	n2	Countrymen	countryman	0
and	and	cc	and	and	0
Neighbours	Neighbours	n2	Neighbours	neighbour	0
)	)	)	)	)	0
ever	ever	av	ever	ever	0
since	since	c-acp	since	since	0
the	the	dt	the	the	0
beginning	beginning	n-vvg	beginning	begin	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
miseries	miseries	n2	misery's	misery	0
and	and	cc	and	and	0
distractions	distractions	n2	distractions	distraction	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
though	though	cs	though	though	0
the	the	dt	the	the	0
first	first	ord	first	first	0
spark	spark	n1	spark	spark	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
unquenched	unquenched	j	unquenched	unquenched	0
fire	fire	n1	fire	fire	0
broke	broke	vvd	broke	break	0
out	out	av	out	out	0
the	the	dt	the	the	0
first	first	ord	first	first	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
among	among	p-acp	among	among	0
us	us	pno12	us	we	0
;	;	;	;	;	0
our	our	po12	our	our	0
men	men	n2	men	man	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
ing	ing	zz	ing	ing	0
(	(	(	(	(	0
I	I	pns11	I	i	0
think	think	vvb	think	think	0
)	)	)	)	)	0
the	the	dt	the	the	0
first	first	ord	first	first	0
that	that	cst	that	that	0
were	were	vbdr	were	be	0
called	called	vvn	called	call	0
to	to	pc-acp	to	to	0
stand	stand	vvi	stand	stand	0
Brother	Brother	n1	Brother	brother	0
against	against	p-acp	against	against	0
Brother	Brother	n1	Brother	brother	0
;	;	;	;	;	0
At	At	p-acp	At	at	0
the	the	dt	the	the	0
Leaguer	Leaguer	n1	Leaguer	leaguer	0
at	at	p-acp	at	at	0
Paul	Paul	np1	Paul	Paul	0
in	in	p-acp	in	in	0
Holder	Holder	n1	Holder	holder	0
∣	∣	sy	∣	∣	0
nes	nes	zz	nes	nes	0
a	a	zz	a	a	0
∣	∣	sy	∣	∣	0
gainst	gainst	p-acp	gainst	against	0
Kingston	Kingston	np1	Kingston	Kingston	0
upon	upon	p-acp	upon	upon	0
Hull	Hull	np1	Hull	Hull	0
and	and	cc	and	and	0
we	we	pns12	we	we	0
the	the	dt	the	the	0
first	first	ord	first	first	0
that	that	cst	that	that	0
saw	saw	vvd	saw	see	0
the	the	dt	the	the	0
beginning	beginning	n1	beginning	beginning	0
of	of	pp-f	of	of	0
miseries	miseries	n2	misery's	misery	0
;	;	;	;	;	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
first	first	ord	first	first	0
plant	plant	vvi	plant	plant	0
∣	∣	sy	∣	∣	0
ing	ing	n1	king	king	0
and	and	cc	and	and	0
using	using	vvg	using	use	0
Engines	Engines	n2	Engines	engine	0
of	of	pp-f	of	of	0
Warre	Warre	n1	War	war	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
Beleaguer	Beleaguer	vvi	Beleaguer	beleaguer	0
;	;	;	;	;	0
Batter	Batter	vvb	Batter	batter	0
,	,	,	,	,	0
and	and	cc	and	and	0
Depopulate	Depopulate	j	Depopulate	depopulate	0
,	,	,	,	,	0
our	our	po12	our	our	0
owne	owne	d	own	own	0
Cities	Cities	n2	Cities	city	0
and	and	cc	and	and	0
strong	strong	j	strong	strong	0
Holds	Holds	vvz	Holds	hold	0
:	:	:	:	:	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
,	,	,	,	,	0
had	had	vhd	had	have	0
cause	cause	n1	cause	cause	0
to	to	pc-acp	to	to	0
feare	feare	vvi	fear	fear	0
our	our	po12	our	our	0
troubles	troubles	n2	troubles	trouble	0
would	would	vmd	would	will	0
be	be	vbi	be	be	0
greater	greater	jc	greater	great	0
then	then	cs	then	than	0
wee	wee	pns12	we	we	0
could	could	vmd	could	can	0
avoyde	avoyde	vvi	avoid	avoid	0
;	;	;	;	;	0
yet	yet	av	yet	yet	0
it	it	pn31	it	it	0
pleased	pleased	vvd	pleased	please	0
God	God	np1	God	God	0
on	on	p-acp	on	on	0
a	a	dt	a	a	0
sudden	sudden	j	sudden	sudden	0
to	to	pc-acp	to	to	0
turn	turn	vvi	turn	turn	0
our	our	po12	our	our	0
apparent	apparent	j	apparent	apparent	0
feare	feare	n1	fear	fear	0
into	into	p-acp	into	into	0
more	more	dc	more	more	0
joy	joy	n1	joy	joy	0
then	then	cs	then	than	0
we	we	pns12	we	we	0
could	could	vmd	could	can	0
have	have	vhi	have	have	0
expected	expected	vvn	expected	expect	0
,	,	,	,	,	0
