FOrsmuch	FOrsmuch	av	FOrsmuch	forsmuch	0
,	,	,	,	,	0
my	my	po11	my	my	0
singuler	singuler	j	singular	singular	0
good	good	j	good	good	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
perceiued	perceiued	vvn	perceived	perceive	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
natu	natu	fw-la	natu	natu	0
∣	∣	sy	∣	∣	0
rallie	rallie	vvi	rally	rally	0
inclined	inclined	vvn	inclined	incline	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
art	art	n1	art	art	0
of	of	pp-f	of	of	0
Medi	Medi	fw-la	Medi	medi	0
∣	∣	sy	∣	∣	0
cine	cine	n1	cine	cine	0
,	,	,	,	,	0
and	and	cc	and	and	0
chiefelie	chiefelie	av-jn	chiefly	chief	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
vnder	vnder	p-acp	under	under	0
∣	∣	sy	∣	∣	0
standing	standing	vvg	standing	stand	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
part	part	n1	part	part	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
com	com	vvi	come	come	0
∣	∣	sy	∣	∣	0
monlie	monlie	av-j	monlie	monlie	0
called	called	vvn	called	call	0
Chirurgerie	Chirurgerie	n1	Chirurgery	chirurgery	0
,	,	,	,	,	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
not	not	xx	not	not	0
beene	beene	vbn	been	be	0
a	a	dt	a	a	0
little	little	j	little	little	0
carefull	carefull	j	careful	careful	0
since	since	c-acp	since	since	0
my	my	po11	my	my	0
acquaintance	acquaintance	n1	acquaintance	acquaintance	0
with	with	p-acp	with	with	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
further	further	jc	further	further	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
same	same	d	same	same	0
studie	studie	n1	study	study	0
,	,	,	,	,	0
euen	euen	av	even	even	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
vttermost	vttermost	j	uttermost	uttermost	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
power	power	n1	power	power	0
,	,	,	,	,	0
and	and	cc	and	and	0
forasmuch	forasmuch	av	forasmuch	forasmuch	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
so	so	av	so	so	0
profited	profited	vvn	profited	profit	0
,	,	,	,	,	0
not	not	xx	not	not	0
onelie	onelie	av-j	only	only	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Theorike	Theorike	n1	Theorike	theorike	0
part	part	n1	part	part	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
practike	practike	n-jn	practic	practic	0
,	,	,	,	,	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
thought	thought	vvn	thought	think	0
all	all	d	all	all	0
my	my	po11	my	my	0
paines	paines	n2	pains	pain	0
&	&	cc	&	and	0
labors	labors	n2	labors	labor	0
well	well	av	well	well	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
stowed	stowed	vvn	stowed	stow	0
.	.	.	.	.	1
And	And	cc	And	and	0
although	although	cs	although	although	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
holde	holde	vvi	hold	hold	0
my	my	po11	my	my	0
peace	peace	n1	peace	peace	0
,	,	,	,	,	0
and	and	cc	and	and	0
saie	saie	vvb	say	say	0
no	no	dx	no	no	0
∣	∣	sy	∣	∣	0
thing	thing	n1	thing	thing	0
heerein	heerein	av	herein	herein	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
a	a	dt	a	a	0
great	great	j	great	great	0
number	number	n1	number	number	0
of	of	pp-f	of	of	0
poore	poore	j	poor	poor	0
men	men	n2	men	man	0
,	,	,	,	,	0
and	and	cc	and	and	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
haue	haue	vhb	have	have	0
bene	bene	vbn	be	be	0
cured	cured	vvn	cured	cure	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
sundrie	sundrie	j	sundry	sundry	0
griefes	griefes	n2	griefs	grief	0
and	and	cc	and	and	0
diseases	diseases	n2	diseases	disease	0
,	,	,	,	,	0
will	will	vmb	will	will	0
set	set	vvi	set	set	0
abroade	abroade	av	abroad	abroad	0
and	and	cc	and	and	0
bewraie	bewraie	vvb	bewray	bewray	0
your	your	po22	your	your	0
notori	notori	fw-mi	notori	notori	0
∣	∣	sy	∣	∣	0
ous	ous	j	ous	ous	0
and	and	cc	and	and	0
charitable	charitable	j	charitable	charitable	0
deedes	deedes	n2	deeds	deed	0
.	.	.	.	.	1
And	And	cc	And	and	0
forasmuch	forasmuch	av	forasmuch	forasmuch	0
as	as	c-acp	as	as	0
your	your	po22	your	your	0
Honour	Honour	n1	Honour	honour	0
hath	hath	vhz	hath	have	0
better	better	jc	better	better	0
vnderstanding	vnderstanding	n1	understanding	understanding	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
worthie	worthie	j	worthy	worthy	0
arte	arte	n1	art	art	0
,	,	,	,	,	0
than	than	cs	than	than	0
a	a	dt	a	a	0
greate	greate	j	great	great	0
manie	manie	d	many	many	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
which	which	r-crq	which	which	0
take	take	vvb	take	take	0
vpon	vpon	p-acp	upon	upon	0
them	them	pno32	them	they	0
the	the	dt	the	the	0
name	name	n1	name	name	0
of	of	pp-f	of	of	0
Chirur	Chirur	n1	Chirur	chirur	0
∣	∣	sy	∣	∣	0
gions	gions	j	gions	gions	0
,	,	,	,	,	0
I	I	pns11	I	i	0
might	might	vmd	might	may	0
verie	verie	av	very	very	0
well	well	av	well	well	0
saie	saie	vvi	say	say	0
,	,	,	,	,	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
parte	parte	n1	part	part	0
.	.	.	.	.	1
And	And	cc	And	and	0
forasmuch	forasmuch	av	forasmuch	forasmuch	0
as	as	c-acp	as	as	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
beareth	beareth	vvz	bears	bear	0
such	such	d	such	such	0
a	a	dt	a	a	0
singuler	singuler	j	singular	singular	0
loue	loue	n1	love	love	0
vnto	vnto	p-acp	unto	unto	0
the	the	dt	the	the	0
same	same	d	same	same	0
arte	arte	n1	art	art	0
,	,	,	,	,	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
therefore	therefore	av	therefore	therefore	0
moued	moued	vvn	moved	move	0
to	to	pc-acp	to	to	0
dedicate	dedicate	vvi	dedicate	dedicate	0
these	these	d	these	these	0
my	my	po11	my	my	0
simple	simple	j	simple	simple	0
tra	tra	fw-la	tra	tra	0
∣	∣	sy	∣	∣	0
uailes	uailes	n2	vails	vail	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
Honour	Honour	n1	Honour	honour	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
the	the	dt	the	the	0
patrone	patrone	n1	patron	patron	0
and	and	cc	and	and	0
defender	defender	n1	defender	defender	0
thereof	thereof	av	thereof	thereof	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
I	I	pns11	I	i	0
doe	doe	vdb	do	do	0
perceiue	perceiue	vvi	perceive	perceive	0
,	,	,	,	,	0
that	that	cst	that	that	0
now	now	av	now	now	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
time	time	n1	time	time	0
no	no	dx	no	no	0
good	good	j	good	good	0
en	en	fw-fr	en	en	0
∣	∣	sy	∣	∣	0
